candidate_name,url,constituency,party,criminal_cases,education,assets,liabilities,net_assets,ac_no,reservations,district,sub_region,filed_itr,declared_pan,serious_criminal_cases,gender
Daida. Christoper,http://myneta.info/ap09/candidate.php?candidate_id=593,GHANPUR (STATION) (SC),Ajeya Bharat Party,0,Graduate Professional,382000,0,382000,99,SC,WARANGAL,TELANGANA,,FALSE,FALSE,Male
Eswaraiah Pakala,http://myneta.info/ap09/candidate.php?candidate_id=3015,NARASARAOPET,Ajeya Bharat Party,0,Not Given,250000,0,250000,216,GEN,GUNTUR,COASTAL ANDHRA,,FALSE,FALSE,Male
Kannedari Seshagiri Rao,http://myneta.info/ap09/candidate.php?candidate_id=2841,PEDAKURAPADU,Ajeya Bharat Party,0,Not Given,50000,0,50000,204,GEN,GUNTUR,COASTAL ANDHRA,,FALSE,FALSE,Male
LANKA ANJAIAH,http://myneta.info/ap09/candidate.php?candidate_id=1301,CHOPPADANDI (SC),Ajeya Bharat Party,0,10th Pass,417000,0,417000,27,SC,KARIMANAGAR,TELANGANA,,FALSE,FALSE,Male
Syed Siddique Akbar Ali,http://myneta.info/ap09/candidate.php?candidate_id=27,NAMPALLI,Ajeya Bharat Party,0,8th Pass,40000,20000,20000,63,GEN,HYDERABAD,TELANGANA,,FALSE,FALSE,Male
K. Mahender,http://myneta.info/ap09/candidate.php?candidate_id=1490,UPPAL,Akhil Bharatiya Jan Sangh,0,Graduate,0,485000,-485000,47,GEN,RANGAREDDI,TELANGANA,,FALSE,FALSE,Male
M. Mallikarjuna Rao,http://myneta.info/ap09/candidate.php?candidate_id=1441,MALKAJGIRI,Akhil Bharatiya Jan Sangh,0,Not Given,0,869,-869,44,GEN,RANGAREDDI,TELANGANA,,FALSE,FALSE,Male
Motakatla Bhadra Reddy,http://myneta.info/ap09/candidate.php?candidate_id=1491,UPPAL,AIFB,0,10th Pass,5800000,0,5800000,47,GEN,RANGAREDDI,TELANGANA,,FALSE,FALSE,Male
Akbaruddin Owaisi,http://myneta.info/ap09/candidate.php?candidate_id=1007,CHANDRAYANGUTTA,AIMIM,4,12th Pass,79147524,17867290,61280234,67,GEN,HYDERABAD,TELANGANA,,TRUE,TRUE,Male
MD. MUQTADA KHAN,http://myneta.info/ap09/candidate.php?candidate_id=966,KARWAN,AIMIM,4,12th Pass,36080566,3450000,32630566,64,GEN,HYDERABAD,TELANGANA,,TRUE,TRUE,Male
Mohd. Moazam Khan,http://myneta.info/ap09/candidate.php?candidate_id=1037,BAHDURPURA,AIMIM,2,10th Pass,19174607,0,19174607,69,GEN,HYDERABAD,TELANGANA,,TRUE,TRUE,Male
Mohd. Virasat Rasool Khan,http://myneta.info/ap09/candidate.php?candidate_id=24,NAMPALLI,AIMIM,0,Graduate,64002340,1549000,62453340,63,GEN,HYDERABAD,TELANGANA,,TRUE,FALSE,Male
Syed Ahmed Pasha Quadri,http://myneta.info/ap09/candidate.php?candidate_id=995,CHARMINAR,AIMIM,3,Not Given,450177,0,450177,66,GEN,HYDERABAD,TELANGANA,,TRUE,TRUE,Male
Yenugu Muralidhar Reddy,http://myneta.info/ap09/candidate.php?candidate_id=1547,RAJENDRANAGAR,AIMIM,0,Graduate,14937500,12150,14925350,51,GEN,RANGAREDDI,TELANGANA,,TRUE,FALSE,Male
Ansaruddin MD,http://myneta.info/ap09/candidate.php?candidate_id=936,JUBILEE HILLS,Ambedkar National Congress,0,Graduate Professional,1780000,0,1780000,61,GEN,HYDERABAD,TELANGANA,,FALSE,FALSE,Male
Fareeda Khanam,http://myneta.info/ap09/candidate.php?candidate_id=889,MUSHEERABAD,Ambedkar National Congress,0,Graduate,30000,0,30000,57,GEN,HYDERABAD,TELANGANA,,FALSE,FALSE,Male
Gaddam Yesuraju,http://myneta.info/ap09/candidate.php?candidate_id=2142,PILERU,Ambedkar National Congress,0,Literate,20000,0,20000,282,GEN,CHITTOOR,RAYALA SEEMA,,FALSE,FALSE,Male
Koppula Navaneetha,http://myneta.info/ap09/candidate.php?candidate_id=1472,KUKATPALLY,Ambedkar National Congress,0,Not Given,0,0,0,46,GEN,RANGAREDDI,TELANGANA,,FALSE,FALSE,Female
Md. Yousuf Ali Adil,http://myneta.info/ap09/candidate.php?candidate_id=910,MALAKPET,Ambedkar National Congress,0,Not Given,30000,0,30000,58,GEN,HYDERABAD,TELANGANA,,FALSE,FALSE,Male
Shaik Ameen Peeran,http://myneta.info/ap09/candidate.php?candidate_id=2325,RAYACHOTI,Ambedkar National Congress,0,Post Graduate,128700,40000,88700,247,GEN,KADAPA,RAYALA SEEMA,,FALSE,FALSE,Male
Syed Abdul Muqtadar,http://myneta.info/ap09/candidate.php?candidate_id=923,KHAIRATABAD,Ambedkar National Congress,0,Graduate,25000,0,25000,60,GEN,HYDERABAD,TELANGANA,,FALSE,FALSE,Male
