candidate_name,url,constituency,party,criminal_cases,education,assets,liabilities,net_assets,ac_no,reservations,district,sub_region,filed_itr,declared_pan,serious_criminal_cases,gender,recontest_url,recontest_assets_this,recontest_assets_last,recontest_assets_change,recontest_assets_change_pct,recontest_remarks
Dulapu Punyavathi,http://myneta.info/andhra2014/candidate.php?candidate_id=4057,AMADALAVALASA,BSP,0,Literate,210000,0,210000,125,GEN,SRIKAKULAM,COASTAL ANDHRA,FALSE,TRUE,FALSE,Female,,,,,,
Namala Sri Venkata Padmavathi,http://myneta.info/andhra2014/candidate.php?candidate_id=4140,ANAPARTHY,Rajyadhikara Party,0,Graduate Professional,34546,0,34546,159,GEN,EAST GODAVARI,COASTAL ANDHRA,FALSE,TRUE,FALSE,Female,,,,,,
A Chinna Moulali,http://myneta.info/andhra2014/candidate.php?candidate_id=4343,KURNOOL,BSP,0,10th Pass,1264137,300000,964137,256,GEN,KURNOOL,RAYALA SEEMA,FALSE,TRUE,FALSE,Male,,,,,,
A Chittibabu,http://myneta.info/andhra2014/candidate.php?candidate_id=2185,NAGARI,IND,0,8th Pass,140000,0,140000,289,GEN,CHITTOOR,RAYALA SEEMA,FALSE,FALSE,FALSE,Male,,,,,,
A Noor Ahmed,http://myneta.info/andhra2014/candidate.php?candidate_id=3281,ADONI,AAP,0,Post Graduate,156450,192000,-35550,265,GEN,KURNOOL,RAYALA SEEMA,FALSE,TRUE,FALSE,Male,,,,,,
A Venkata Reddy,http://myneta.info/andhra2014/candidate.php?candidate_id=2031,RAYADURG,IND,0,8th Pass,0,0,0,267,GEN,ANANTAPUR,RAYALA SEEMA,FALSE,FALSE,FALSE,Male,,,,,,
A. K. Srinivasulu,http://myneta.info/andhra2014/candidate.php?candidate_id=2119,CHITTOOR,IND,0,12th Pass,494949,96949,398000,291,GEN,CHITTOOR,RAYALA SEEMA,TRUE,TRUE,FALSE,Male,,,,,,
A. Raveendra,http://myneta.info/andhra2014/candidate.php?candidate_id=2301,TIRUPATI,IND,0,Graduate,20000,0,20000,286,GEN,CHITTOOR,RAYALA SEEMA,TRUE,TRUE,FALSE,Male,,,,,,
A.Bhagavanulu,http://myneta.info/andhra2014/candidate.php?candidate_id=3855,VISAKHAPATNAM EAST,IND,0,Doctorate,0,0,0,140,GEN,VISHAKAPATNAM,COASTAL ANDHRA,FALSE,TRUE,FALSE,Male,,,,,,
A.Hanumantu,http://myneta.info/andhra2014/candidate.php?candidate_id=1946,KADIRI,BSP,0,12th Pass,0,0,0,280,GEN,ANANTAPUR,RAYALA SEEMA,FALSE,FALSE,FALSE,Male,,,,,,
