candidate_name,url,constituency,party,criminal_cases,education,assets,liabilities,net_assets,ac_no,reservations,district,sub_region,filed_itr,declared_pan,serious_criminal_cases,gender
PARO MOLO,http://myneta.info/an2004/candidate.php?candidate_id=97,ANINI,Arunachal Congress,0,10th Pass,597000,0,597000,41,ST,NA,NA,,false,,Male
THUPTEN TEMPA,http://myneta.info/an2004/candidate.php?candidate_id=4,TAWANG,IND,0,Post Graduate,16536000,0,16536000,2,ST,NA,NA,,false,,Male
ANOK WANGSA,http://myneta.info/an2004/candidate.php?candidate_id=10,PONGCHAO_WAKKA,NCP,0,12th Pass,100000,0,100000,60,ST,NA,NA,,false,,Male
ATUM WELLY,http://myneta.info/an2004/candidate.php?candidate_id=21,SEPPA EAST,INC,0,12th Pass,7950000,0,7950000,10,ST,NA,NA,,false,,Male
BALO RAJA,http://myneta.info/an2004/candidate.php?candidate_id=44,PALIN,BJP,0,Graduate,33840000,0,33840000,18,ST,NA,NA,,false,,Male
BAMANG FILIX,http://myneta.info/an2004/candidate.php?candidate_id=47,NYAPIN,Arunachal Congress,0,Graduate,1600000,0,1600000,19,ST,NA,NA,,false,,Male
BOSIRAM SIRAM,http://myneta.info/an2004/candidate.php?candidate_id=102,PASIGHAT EAST,BJP,0,Graduate,7453358,0,7453358,38,ST,NA,NA,,false,,Male
C.C.SINGPHO,http://myneta.info/an2004/candidate.php?candidate_id=80,BORDUMSA_DIYUM,INC,0,Not Given,15854033,0,15854033,49,GEN,NA,NA,,false,,Male
C.P.NAMCHOOM,http://myneta.info/an2004/candidate.php?candidate_id=85,NAMSAI,INC,0,Graduate,56648000,0,56648000,47,ST,NA,NA,,false,,Male
CHOPEI CHIMYANG,http://myneta.info/an2004/candidate.php?candidate_id=43,KHONSA EAST,Arunachal Congress,0,Not Given,353000,0,353000,55,ST,NA,NA,,false,,Male
CHOW INDRAJIT NAMCHOOM,http://myneta.info/an2004/candidate.php?candidate_id=87,CHOWKHAM,IND,0,12th Pass,6093913,0,6093913,46,ST,NA,NA,,false,,Male
CHOW NACHING LOONGCHOT,http://myneta.info/an2004/candidate.php?candidate_id=83,LEKANG,IND,0,12th Pass,3043163,0,3043163,48,ST,NA,NA,,false,,Male
CHOW PINGTHIKA NAMCHOOM,http://myneta.info/an2004/candidate.php?candidate_id=84,NAMSAI,IND,0,10th Pass,7814807,331147,7483660,47,ST,NA,NA,,false,,Male
CHOW TEWA MEIN,http://myneta.info/an2004/candidate.php?candidate_id=86,CHOWKHAM,BJP,0,Graduate,26905685,0,26905685,46,ST,NA,NA,,false,,Male
CHOWAN MEIN,http://myneta.info/an2004/candidate.php?candidate_id=82,LEKANG,INC,0,Graduate,37744990,0,37744990,48,ST,NA,NA,,false,,Male
DAKLO  NIDAK,http://myneta.info/an2004/candidate.php?candidate_id=60,DAPORIJO,Arunachal Congress,0,Graduate,3312570,0,3312570,24,ST,NA,NA,,false,,Male
DIBANG TATAK,http://myneta.info/an2004/candidate.php?candidate_id=114,RUMGONG,INC,0,12th Pass,6502546,0,6502546,32,ST,NA,NA,,false,,Male
DORJEET KHANDU,http://myneta.info/an2004/candidate.php?candidate_id=5,MUKTO,INC,0,Others,41972000,0,41972000,3,ST,NA,NA,,false,,Male
GADAM ETE,http://myneta.info/an2004/candidate.php?candidate_id=78,ALONG WEST,INC,0,12th Pass,2244178,0,2244178,30,ST,NA,NA,,false,,Male
GEGONG APANG,http://myneta.info/an2004/candidate.php?candidate_id=110,TUTING_YINGKIONG,INC,0,Graduate,93650000,640000,93010000,34,ST,NA,NA,,false,,Male
GICHAK THAJI KOIGI,http://myneta.info/an2004/candidate.php?candidate_id=49,TALI,BJP,0,Not Given,754000,0,754000,20,ST,NA,NA,,false,,Male
HARI NOTUNG,http://myneta.info/an2004/candidate.php?candidate_id=24,SEPPA WEST,INC,0,10th Pass,57409271,0,57409271,11,ST,NA,NA,,false,,Male
HONCHUN NGANDAM,http://myneta.info/an2004/candidate.php?candidate_id=9,PONGCHAO_WAKKA,INC,0,Graduate,30000,0,30000,60,ST,NA,NA,,false,,Male
J.K. PANGGENG,http://myneta.info/an2004/candidate.php?candidate_id=98,MARIYANG_GEKU,Arunachal Congress,0,Graduate Professional,3989000,53000,3936000,40,ST,NA,NA,,false,,Male
JAPU DERU,http://myneta.info/an2004/candidate.php?candidate_id=14,BOMDILA,INC,0,10th Pass,11000000,0,11000000,7,ST,NA,NA,,false,,Male
