candidate_name,url,constituency,party,criminal_cases,education,assets,liabilities,net_assets,ac_no,reservations,district,sub_region,filed_itr,declared_pan,serious_criminal_cases,gender,recontest_url,recontest_assets_this,recontest_assets_last,recontest_assets_change,recontest_assets_change_pct,recontest_remarks
Yari Dulom,http://myneta.info/an2009/candidate.php?candidate_id=59,Daporijo,INC,0,Not Given,65498243,0,65498243,24,ST,NA,NA,,false,false,Female,,,,,,
Aath Tacho Kabak,http://myneta.info/an2009/candidate.php?candidate_id=62,Raga,NCP,0,Not Given,5100000,0,5100000,25,ST,NA,NA,,false,false,Male,,,,,,
Ajit Nacho,http://myneta.info/an2009/candidate.php?candidate_id=52,Nacho,BJP,0,10th Pass,0,0,0,22,ST,NA,NA,,false,false,Male,,,,,,
Alo Libang,http://myneta.info/an2009/candidate.php?candidate_id=88,Tuting_Yingkiong,NCP,0,Graduate,3952250,0,3952250,34,ST,NA,NA,,false,false,Male,,,,,,
Atum Welly,http://myneta.info/an2009/candidate.php?candidate_id=24,PAKKE KESSANG,INC,0,12th Pass,44501000,0,44501000,12,ST,NA,NA,,false,false,Male,,,,,,
Bai Gadi,http://myneta.info/an2009/candidate.php?candidate_id=67,Liromoba,BJP,0,8th Pass,15345000,0,15345000,27,ST,NA,NA,,false,false,Male,,,,,,
Balo Raja,http://myneta.info/an2009/candidate.php?candidate_id=43,Palin,INC,0,Graduate,29040000,0,29040000,18,ST,NA,NA,,false,false,Male,,,,,,
Bamang Felix,http://myneta.info/an2009/candidate.php?candidate_id=46,Nyapin,NCP,0,12th Pass,630000,0,630000,19,ST,NA,NA,,false,false,Male,,,,,,
Bamin Kri,http://myneta.info/an2009/candidate.php?candidate_id=114,Hayuliang,BJP,0,10th Pass,3436000,0,3436000,45,ST,NA,NA,,false,false,Male,,,,,,
Baritlum Ama,http://myneta.info/an2009/candidate.php?candidate_id=117,Hayuliang,AITC,0,Graduate Professional,12470000,430000,12040000,45,ST,NA,NA,,true,false,Male,,,,,,
Bosiram Siram,http://myneta.info/an2009/candidate.php?candidate_id=97,Pasighat East,INC,0,Graduate,16015593,0,16015593,38,ST,NA,NA,,false,false,Male,http://myneta.info/an2009/index.php?action=affidavitComparison&myneta_folder2=an2004&id1=97&id2=102,16015593,7453358,8562235,115%,Party in last election was BJP
Bote Yuto,http://myneta.info/an2009/candidate.php?candidate_id=86,Mechuka,PPA,0,Not Given,66000,0,66000,33,ST,NA,NA,,false,false,Male,,,,,,
C.C.Singpho,http://myneta.info/an2009/candidate.php?candidate_id=130,Bordumsa_Diyum,INC,0,Graduate,16146353,0,16146353,49,GEN,NA,NA,,false,false,Male,http://myneta.info/an2009/index.php?action=affidavitComparison&myneta_folder2=an2004&id1=130&id2=80,16146353,15854033,292320,2%,Age Difference=9
Charu Tanam,http://myneta.info/an2009/candidate.php?candidate_id=44,Palin,NCP,0,Not Given,400000,0,400000,18,ST,NA,NA,,true,false,Male,,,,,,
Chau Ambika Enling,http://myneta.info/an2009/candidate.php?candidate_id=120,Namsai,BJP,0,12th Pass,132500,0,132500,47,ST,NA,NA,,true,false,Male,,,,,,
Chow Chandra Mansai,http://myneta.info/an2009/candidate.php?candidate_id=121,Namsai,INC,0,Graduate,2249000,0,2249000,47,ST,NA,NA,,false,false,Male,,,,,,
Chow Chinakong Namchoom,http://myneta.info/an2009/candidate.php?candidate_id=118,Chowkham,NCP,0,Graduate,23803500,549695,23253805,46,ST,NA,NA,,false,false,Male,,,,,,
Chow Pingthika Namchoom,http://myneta.info/an2009/candidate.php?candidate_id=122,Namsai,AITC,0,Graduate,82828800,0,82828800,47,ST,NA,NA,,true,false,Male,,,,,,
Chow Tewa Mein,http://myneta.info/an2009/candidate.php?candidate_id=119,Chowkham,INC,0,Graduate,8788377,4056848,4731529,46,ST,NA,NA,,false,false,Male,,,,,,
Chowna Mein,http://myneta.info/an2009/candidate.php?candidate_id=124,Lekang,INC,0,Graduate,187419184,0,187419184,48,ST,NA,NA,,false,false,Male,http://myneta.info/an2009/index.php?action=affidavitComparison&myneta_folder2=an2004&id1=124&id2=82,187419184,37744990,149674194,397%,
Daklo Nidak,http://myneta.info/an2009/candidate.php?candidate_id=60,Daporijo,AITC,0,Graduate,6900000,0,6900000,24,ST,NA,NA,,false,false,Male,http://myneta.info/an2009/index.php?action=affidavitComparison&myneta_folder2=an2004&id1=60&id2=60,6900000,3312570,3587430,108%,"Party in last election was Arunachal Congress  bad_scan for immovable  asset in Arunachal Pradesh 2009 ,"
Dakter Basar,http://myneta.info/an2009/candidate.php?candidate_id=75,Basar,AITC,0,Graduate,32898729,0,32898729,29,ST,NA,NA,,true,false,Female,,,,,,
Dana Pertin,http://myneta.info/an2009/candidate.php?candidate_id=102,Mariyang_Geku,BJP,0,Post Graduate,16560000,0,16560000,40,ST,NA,NA,,false,false,Male,,,,,,
Dibang Tatak,http://myneta.info/an2009/candidate.php?candidate_id=80,Rumgong,INC,0,12th Pass,20961218,0,20961218,32,ST,NA,NA,,false,false,Male,http://myneta.info/an2009/index.php?action=affidavitComparison&myneta_folder2=an2004&id1=80&id2=114,20961218,6502546,14458672,222%,Age Difference=7
DORJEE KHANDU,http://myneta.info/an2009/candidate.php?candidate_id=162,MUKTO,INC,0,8th Pass,229659000,0,229659000,3,ST,NA,NA,,false,false,Male,http://myneta.info/an2009/index.php?action=affidavitComparison&myneta_folder2=an2004&id1=162&id2=5,229659000,41972000,187687000,447%,
Dr. Tangor Tapak,http://myneta.info/an2009/candidate.php?candidate_id=96,Pasighat West,BJP,0,Graduate Professional,21517813,1157952,20359861,37,ST,NA,NA,,false,false,Male,,,,,,
Duter Padu,http://myneta.info/an2009/candidate.php?candidate_id=77,Along west,AITC,0,12th Pass,7168451,0,7168451,30,ST,NA,NA,,false,false,Female,,,,,,
Er. Markio Tado,http://myneta.info/an2009/candidate.php?candidate_id=49,Tali,NCP,0,Graduate,20305000,751755,19553245,20,ST,NA,NA,,false,false,Male,,,,,,
Eri Tayu,http://myneta.info/an2009/candidate.php?candidate_id=106,Anini,NCP,0,12th Pass,957195,0,957195,41,ST,NA,NA,,false,false,Male,,,,,,
Gabriel Denwang Wangsu,http://myneta.info/an2009/candidate.php?candidate_id=155,Kanubari,PPA,0,Graduate,5990439,731447,5258992,58,ST,NA,NA,,false,false,Male,,,,,,
Gadam Ete,http://myneta.info/an2009/candidate.php?candidate_id=76,Along west,INC,0,12th Pass,12944000,0,12944000,30,ST,NA,NA,,false,false,Male,http://myneta.info/an2009/index.php?action=affidavitComparison&myneta_folder2=an2004&id1=76&id2=78,12944000,2244178,10699822,477%,
Gegong Apang,http://myneta.info/an2009/candidate.php?candidate_id=89,Tuting_Yingkiong,INC,0,Graduate,79239061,0,79239061,34,ST,NA,NA,,false,false,Male,http://myneta.info/an2009/index.php?action=affidavitComparison&myneta_folder2=an2004&id1=89&id2=110,79239061,93650000,-14410939,-15%,Age Difference=1
Gojen Gadi,http://myneta.info/an2009/candidate.php?candidate_id=73,Basar,INC,0,Literate,192160000,0,192160000,29,ST,NA,NA,,false,false,Male,,,,,,
Gumke Riba,http://myneta.info/an2009/candidate.php?candidate_id=69,Likabali,NCP,0,Graduate,4470000,0,4470000,28,ST,NA,NA,,false,false,Male,,,,,,
Hamjong Tangha,http://myneta.info/an2009/candidate.php?candidate_id=136,Changlang South,NCP,0,Not Given,51700,0,51700,52,ST,NA,NA,,false,false,Male,,,,,,
Happa Taidong,http://myneta.info/an2009/candidate.php?candidate_id=139,Changlang North,NCP,0,8th Pass,685000,0,685000,53,ST,NA,NA,,false,false,Male,,,,,,
Hari Notung,http://myneta.info/an2009/candidate.php?candidate_id=22,SEPPA WEST,INC,0,10th Pass,36970000,0,36970000,11,ST,NA,NA,,false,false,Male,,,,,,
J.K.Panggeng,http://myneta.info/an2009/candidate.php?candidate_id=103,Mariyang_Geku,INC,0,Graduate Professional,6324000,0,6324000,40,ST,NA,NA,,false,false,Male,http://myneta.info/an2009/index.php?action=affidavitComparison&myneta_folder2=an2004&id1=103&id2=98,6324000,3989000,2335000,59%,Age Difference=7  Party in last election was Arunachal Congress
