candidate_name,url,constituency,party,criminal_cases,education,assets,liabilities,net_assets,match,ac_no,reservations,district,sub_region,filed_itr,declared_pan,serious_criminal_cases,gender,recontest_url,recontest_assets_this,recontest_assets_last,recontest_assets_change,recontest_assets_change_pct,recontest_remarks
Alo Libang,http://myneta.info/arunachal2014/candidate.php?candidate_id=82,TUTING-YINGKIONG,INC,0,Graduate,7522409,0,7522409,TUTING-YINGKIONG,34,ST,NA,NA,false,true,false,Male,http://myneta.info/arunachal2014/index.php?action=affidavitComparison&myneta_folder2=an2009&id1=82&id2=88,7522409,3952250,3570159,90%,PAN was missing last time Party in last election was NCP
Arun Namati,http://myneta.info/arunachal2014/candidate.php?candidate_id=109,NAMSANG,PPA,0,Graduate,1415895,0,1415895,NAMSANG,54,ST,NA,NA,false,true,false,Male,,,,,,
Bai Gadi,http://myneta.info/arunachal2014/candidate.php?candidate_id=180,LIROMOBA : BYE- ELECTION ON 13-02-2015,BJP,0,12th Pass,39000000,0,39000000,LIROMOBA,27,ST,NA,NA,false,false,false,Male,,,,,,
Bai Gadi,http://myneta.info/arunachal2014/candidate.php?candidate_id=12,LIROMOBA,BJP,0,12th Pass,705000,0,705000,LIROMOBA,27,ST,NA,NA,false,true,false,Male,,,,,,
Bamang Felix,http://myneta.info/arunachal2014/candidate.php?candidate_id=63,NYAPIN,INC,0,12th Pass,11149034,0,11149034,NYAPIN,19,ST,NA,NA,false,true,false,Male,http://myneta.info/arunachal2014/index.php?action=affidavitComparison&myneta_folder2=an2009&id1=63&id2=46,11149034,630000,10519034,1670%,Age Difference=3 PAN was missing last time Party in last election was NCP
Banim Kri,http://myneta.info/arunachal2014/candidate.php?candidate_id=136,HAYULIANG,BJP,0,10th Pass,2609526,0,2609526,HAYULIANG,45,ST,NA,NA,false,false,false,Male,,,,,,
Bida Taku,http://myneta.info/arunachal2014/candidate.php?candidate_id=176,LEKANG,PPA,0,12th Pass,3540,0,3540,LEKANG,48,ST,NA,NA,false,false,false,Male,,,,,,
Bosiram Siram,http://myneta.info/arunachal2014/candidate.php?candidate_id=170,PASIGHAT EAST,INC,0,Graduate,33706942,0,33706942,PASIGHAT EAST,38,ST,NA,NA,false,true,false,Male,http://myneta.info/arunachal2014/index.php?action=affidavitComparison&myneta_folder2=an2009&id1=170&id2=97,33706942,16015593,17691349,110%,PAN was missing last time
Bote Yuto,http://myneta.info/arunachal2014/candidate.php?candidate_id=122,MECHUKA,NPF,0,Graduate Professional,170000,0,170000,MECHUKA,33,ST,NA,NA,false,false,false,Male,,,,,,
C. C. Singpho,http://myneta.info/arunachal2014/candidate.php?candidate_id=6,BORDUMSA,INC,0,Graduate,46102683,0,46102683,BORDUMSA,49,GEN,NA,NA,false,true,false,Male,http://myneta.info/arunachal2014/index.php?action=affidavitComparison&myneta_folder2=an2009&id1=6&id2=130,46102683,16146353,29956330,186%,PAN was missing last time
Chaphung Wangsu,http://myneta.info/arunachal2014/candidate.php?candidate_id=114,BORDURIA- BOGAPANI,IND,0,Graduate Professional,2540444,221000,2319444,BORDURIA- BOGAPANI,57,ST,NA,NA,false,true,false,Male,,,,,,
