candidate_name,url,constituency,party,criminal_cases,education,assets,liabilities,net_assets,ac_no,reservations,district,sub_region,filed_itr,declared_pan,serious_criminal_cases,gender,recontest_url,recontest_assets_this,recontest_assets_last,recontest_assets_change,recontest_remarks
ABDUL AZIZ,http://myneta.info/assam2006/candidate.php?candidate_id=189,Rupohihat,AGP,0,Graduate,1567320,0,1567320,85,GEN,NA,NA,,false,false,Male,,,,,
ABDUL HAI NAGORI,http://myneta.info/assam2006/candidate.php?candidate_id=21,Abhayapuri North,INC,0,Graduate Professional,763024,0,763024,34,GEN,NA,NA,,false,false,Male,,,,,
ABDUL JALIL,http://myneta.info/assam2006/candidate.php?candidate_id=172,Laharighat,AGP,0,Graduate,545000,0,545000,81,GEN,NA,NA,,false,false,Male,,,,,
ABDUL KHALEQUE,http://myneta.info/assam2006/candidate.php?candidate_id=9,Jania,INC,0,Post Graduate,1038031,51500,986531,44,GEN,NA,NA,,true,false,Male,,,,,
ABDUR RASHID MANDAL,http://myneta.info/assam2006/candidate.php?candidate_id=83,Goalpara West,INC,2,Graduate Professional,2727836,133092,2594744,38,GEN,NA,NA,,true,false,Male,,,,,
ABHIJIT HAZARIKA,http://myneta.info/assam2006/candidate.php?candidate_id=227,Rangapara,BJP,0,Post Graduate,5042325,0,5042325,74,GEN,NA,NA,,true,false,Male,,,,,
ABU TAHER BEPARI,http://myneta.info/assam2006/candidate.php?candidate_id=59,Golakganj,INC,0,Post Graduate,1714112,0,1714112,25,GEN,NA,NA,,true,false,Male,,,,,
ABUL KALAM HUSSAIN,http://myneta.info/assam2006/candidate.php?candidate_id=82,Goalpara East,AUDF,0,12th Pass,669000,0,669000,37,GEN,NA,NA,,false,false,Male,,,,,
AFTAB UDDIN  MOLLAH,http://myneta.info/assam2006/candidate.php?candidate_id=86,Jaleswar,INC,0,Post Graduate,1240212,224964,1015248,39,GEN,NA,NA,,true,false,Male,,,,,
AFZALUR RAHMAN,http://myneta.info/assam2006/candidate.php?candidate_id=85,Jaleswar,LKS,0,Graduate Professional,3602000,542000,3060000,39,GEN,NA,NA,,false,false,Male,,,,,
AHAMMAD ALI,http://myneta.info/assam2006/candidate.php?candidate_id=84,Goalpara West,AUDF,0,12th Pass,673500,0,673500,38,GEN,NA,NA,,false,false,Male,,,,,
AJANTA NEOG,http://myneta.info/assam2006/candidate.php?candidate_id=91,Golaghat,INC,0,Post Graduate,4671419,250040,4421379,95,GEN,NA,NA,,true,false,Female,,,,,
AJIT SINGH,http://myneta.info/assam2006/candidate.php?candidate_id=31,Udharbond,INC,0,Graduate,1690178,404184,1285994,12,GEN,NA,NA,,true,false,Male,,,,,
AKLIUS TIRKEY,http://myneta.info/assam2006/candidate.php?candidate_id=90,Sarupathar,INC,0,Graduate Professional,345000,0,345000,94,GEN,NA,NA,,false,false,Male,,,,,
AKON BORA,http://myneta.info/assam2006/candidate.php?candidate_id=127,Dispur,INC,0,Graduate,1660000,0,1660000,52,GEN,NA,NA,,true,false,Male,,,,,
ALAK KUMAR GHOSE,http://myneta.info/assam2006/candidate.php?candidate_id=110,Mariani,NCP,1,10th Pass,3682872,0,3682872,101,GEN,NA,NA,,true,false,Male,,,,,
ALAKA SARMA,http://myneta.info/assam2006/candidate.php?candidate_id=199,Nalbari,AGP,0,Doctorate,5561300,1196560,4364740,59,GEN,NA,NA,,true,false,Female,,,,,
ALHAJ KHALILUR RAHMAN CHOWDHURY,http://myneta.info/assam2006/candidate.php?candidate_id=180,Jamunamukh,AGP,0,Not Given,9843092,0,9843092,90,GEN,NA,NA,,true,false,Male,,,,,
ALI AKBAR MIAH,http://myneta.info/assam2006/candidate.php?candidate_id=62,Bilasipara West,NCP,2,Not Given,922936,0,922936,26,GEN,NA,NA,,false,true,Male,,,,,
ANANTA DEKA,http://myneta.info/assam2006/candidate.php?candidate_id=123,Rangiya,CPM,0,Post Graduate,641415,0,641415,57,GEN,NA,NA,,false,false,Male,,,,,
ANIL NATH,http://myneta.info/assam2006/candidate.php?candidate_id=98,Katlicherra,AUDF,0,10th Pass,480000,0,480000,7,GEN,NA,NA,,false,false,Male,,,,,
ANJAN DUTTA,http://myneta.info/assam2006/candidate.php?candidate_id=210,Amguri,INC,0,10th Pass,26254083,5399073,20855010,103,GEN,NA,NA,,true,false,Male,,,,,
ANUP PHUKAN,http://myneta.info/assam2006/candidate.php?candidate_id=73,Tingkhong,AGP,0,Post Graduate,1102787,649000,453787,119,GEN,NA,NA,,true,false,Male,,,,,
ANWARUL HOQUE,http://myneta.info/assam2006/candidate.php?candidate_id=149,Badarpur,AUDF,0,Graduate Professional,8024756,0,8024756,5,GEN,NA,NA,,true,false,Male,,,,,
ARDHENDU KR. DEY,http://myneta.info/assam2006/candidate.php?candidate_id=178,Hojai,INC,0,Graduate Professional,9268621,2560115,6708506,91,GEN,NA,NA,,true,false,Male,,,,,
ARJUN  DAS,http://myneta.info/assam2006/candidate.php?candidate_id=44,Mangaldoi,AUDF,0,Graduate,472619,78000,394619,67,SC,NA,NA,,false,false,Male,,,,,
AROTI HAZARIKA KACHARI,http://myneta.info/assam2006/candidate.php?candidate_id=102,Dergaon,INC,0,12th Pass,845608,0,845608,97,SC,NA,NA,,false,false,Female,,,,,
ATAUR RAHMAN MAZARBHUIYA,http://myneta.info/assam2006/candidate.php?candidate_id=37,Katigora,AUDF,0,12th Pass,1262837,382741,880096,15,GEN,NA,NA,,true,false,Male,,,,,
ATUL BORA,http://myneta.info/assam2006/candidate.php?candidate_id=92,Golaghat,AGP,0,Post Graduate,1338600,221483,1117117,95,GEN,NA,NA,,true,false,Male,,,,,
ATUL BORA,http://myneta.info/assam2006/candidate.php?candidate_id=128,Dispur,TNGP,0,Graduate,2495522,66869,2428653,52,GEN,NA,NA,,true,false,Male,,,,,
ATUL KUMAR SARMAH,http://myneta.info/assam2006/candidate.php?candidate_id=184,Samaguri,AGP,0,12th Pass,3696195,250000,3446195,88,GEN,NA,NA,,true,false,Male,,,,,
AUDESH KUMAR SINGH,http://myneta.info/assam2006/candidate.php?candidate_id=28,Sonai,BJP,0,Graduate,1335222,0,1335222,10,GEN,NA,NA,,true,false,Male,,,,,
AYODHYA RAM DAS,http://myneta.info/assam2006/candidate.php?candidate_id=24,Abhayapuri South,AUDF,0,Post Graduate,1314984,0,1314984,35,SC,NA,NA,,false,false,Male,,,,,
BADRUDDIN  AJMAL,http://myneta.info/assam2006/candidate.php?candidate_id=179,Jamunamukh,AUDF,0,12th Pass,144705336,0,144705336,90,GEN,NA,NA,,true,false,Male,,,,,
BADRUDDIN AJMAL,http://myneta.info/assam2006/candidate.php?candidate_id=53,Salmara South,AUDF,0,12th Pass,144695150,0,144695150,22,GEN,NA,NA,,true,false,Male,,,,,
BANDANA GOGOI,http://myneta.info/assam2006/candidate.php?candidate_id=94,Khumtai,INC,0,10th Pass,840029,6638,833391,96,GEN,NA,NA,,true,false,Female,,,,,
BANENDRA KUMAR MUSHAHARY,http://myneta.info/assam2006/candidate.php?candidate_id=58,Gauripur,AGP,0,12th Pass,3881439,236947,3644492,24,GEN,NA,NA,,true,false,Male,,,,,
BHABEN BORUAH,http://myneta.info/assam2006/candidate.php?candidate_id=78,Chabua,AGP,0,12th Pass,1361500,220000,1141500,121,GEN,NA,NA,,true,false,Male,,,,,
BHARAT CHANDRA NARAH,http://myneta.info/assam2006/candidate.php?candidate_id=165,Dhakuakhana,INC,0,Post Graduate,8877722,0,8877722,112,ST,NA,NA,,true,false,Male,,,,,
Bhimananda Tanti,http://myneta.info/assam2006/candidate.php?candidate_id=255,Dhekiajuli (Bye-election on 07-11-2009),INC,0,Graduate,780722,0,780722,71,GEN,NA,NA,,true,false,Male,,,,,
BHIMANANDA TANTI,http://myneta.info/assam2006/candidate.php?candidate_id=228,Rangapara,INC,0,Graduate,471118,0,471118,74,GEN,NA,NA,,false,false,Male,,,,,
BHUBANESWAR KALITA,http://myneta.info/assam2006/candidate.php?candidate_id=124,Rangiya,INC,0,Post Graduate,15596507,777186,14819321,57,GEN,NA,NA,,true,false,Male,,,,,
