candidate_name,url,constituency,party,criminal_cases,education,assets,liabilities,net_assets,ac_no,reservations,district,sub_region,filed_itr,declared_pan,serious_criminal_cases,gender,recontest_url,recontest_assets_this,recontest_assets_last,recontest_assets_change,recontest_remarks,state,year,winner,so_do,age,address,profession,spouse_profession,party_eci
ABDUL AZIZ,http://myneta.info/assam2006/candidate.php?candidate_id=189,Rupohihat,AGP,0,Graduate,1567320,0,1567320,85,GEN,NA,NA,,false,false,Male,,,,,,Assam,2006,true,LATE ABDUS SAMAD,46,VILL & PO HATIPUKHURI P.S RUPAHIHAT DIST NAGAON ASSAM,,,Asom Gana Parishad
ABDUL HAI NAGORI,http://myneta.info/assam2006/candidate.php?candidate_id=21,Abhayapuri North,INC,0,Graduate Professional,763024,0,763024,34,GEN,NA,NA,,false,false,Male,,,,,,Assam,2006,true,Late Yushub Ali Nagori,50,"VILLAGE NO.-1, NACHANGURI, MONAKOSHA",,,Indian National Congress
ABDUL JALIL,http://myneta.info/assam2006/candidate.php?candidate_id=172,Laharighat,AGP,0,Graduate,545000,0,545000,81,GEN,NA,NA,,false,false,Male,,,,,,Assam,2006,false,Haji Tamiruddin Ahmed,58,"Village - Dighaliati, P.O. - Bhuregaon, strict - Morigaon",,,Asom Gana Parishad
ABDUL KHALEQUE,http://myneta.info/assam2006/candidate.php?candidate_id=9,Jania,INC,0,Post Graduate,1038031,51500,986531,44,GEN,NA,NA,,true,false,Male,,,,,,Assam,2006,true,Sohrab Ali,31,"Village bartari,PS Barbagh,Dist.Barpeta",,,Indian National Congress
ABDUR RASHID MANDAL,http://myneta.info/assam2006/candidate.php?candidate_id=83,Goalpara West,INC,2,Graduate Professional,2727836,133092,2594744,38,GEN,NA,NA,,true,false,Male,,,,,,Assam,2006,true,Late Sontosh Ali Mandal,43,"Village - Chakla, Distt. Goalpara",,,Indian National Congress
ABHIJIT HAZARIKA,http://myneta.info/assam2006/candidate.php?candidate_id=227,Rangapara,BJP,0,Post Graduate,5042325,0,5042325,74,GEN,NA,NA,,true,false,Male,,,,,,Assam,2006,true,SHRI KIRON CH. HAZARIKA ALIAS,37,"PO. & PS. TEZPUR, DIST. SONITPUR,ASSAM",,,Bharatiya Janata Party
ABU TAHER BEPARI,http://myneta.info/assam2006/candidate.php?candidate_id=59,Golakganj,INC,0,Post Graduate,1714112,0,1714112,25,GEN,NA,NA,,true,false,Male,,,,,,Assam,2006,true,Late Jassomuddin Bepari,41,"Village Chagolia-II,Chagolia,District -Dhubri, Assam",,,Indian National Congress
ABUL KALAM HUSSAIN,http://myneta.info/assam2006/candidate.php?candidate_id=82,Goalpara East,AUDF,0,12th Pass,669000,0,669000,37,GEN,NA,NA,,false,false,Male,,,,,,Assam,2006,false,Albaj Aminuddin SK,41,"Hasilapara, District - Goalpara",,,Assam United Democratic Front
AFTAB UDDIN  MOLLAH,http://myneta.info/assam2006/candidate.php?candidate_id=86,Jaleswar,INC,0,Post Graduate,1240212,224964,1015248,39,GEN,NA,NA,,true,false,Male,,,,,,Assam,2006,false,Late Alhaj Tahaj Uddin,39,"Village - Superibhita, P.O.- Tulsibari, Dist. Goalpara",,,Indian National Congress
AFZALUR RAHMAN,http://myneta.info/assam2006/candidate.php?candidate_id=85,Jaleswar,LKS,0,Graduate Professional,3602000,542000,3060000,39,GEN,NA,NA,,false,false,Male,,,,,,Assam,2006,true,Late Habibar Rahman,60,"Village - Eashmura, District - Goalpara",,,Loko Sanmilon
