candidate_name,url,constituency,party,criminal_cases,education,assets,liabilities,net_assets,ac_no,reservations,district,sub_region,filed_itr,declared_pan,serious_criminal_cases,gender,recontest_url,recontest_assets_this,recontest_assets_last,recontest_assets_change,recontest_assets_change_pct,recontest_remarks
A.Rahim Ahmed,http://myneta.info/assam2016/candidate.php?candidate_id=897,BARPETA,INC,1,Graduate,1262080,0,1262080,43,GEN,BARPETA,LOWER ASSAM,true,true,true,Male,,,,,,
Abdul Ahad Choudhury,http://myneta.info/assam2016/candidate.php?candidate_id=21,KARIMGANJ NORTH,IND,5,8th Pass,43387624,2987626,40399998,3,GEN,KARIMGANJ,SOUTHERN ASSAM (BARAK VALLEY),true,true,true,Male,,,,,,
Abdul Ali,http://myneta.info/assam2016/candidate.php?candidate_id=1036,BARHAMPUR,IND,0,Graduate,718731,0,718731,87,GEN,NAGAON,CENTRAL ASSAM,false,true,false,Male,,,,,,
Abdul Aziz,http://myneta.info/assam2016/candidate.php?candidate_id=102,BADARPUR,AIUDF,0,12th Pass,23457881,13665226,9792655,5,GEN,KARIMGANJ,SOUTHERN ASSAM (BARAK VALLEY),true,true,false,Male,,,,,,
Abdul Batin Khandakar,http://myneta.info/assam2016/candidate.php?candidate_id=627,ABHAYAPURI NORTH,AIUDF,0,Graduate Professional,8839135,1800000,7039135,34,GEN,NORTH SALMARA,LOWER ASSAM,true,true,false,Male,,,,,,
Abdul Hai Nagori,http://myneta.info/assam2016/candidate.php?candidate_id=844,ABHAYAPURI NORTH,INC,0,Graduate Professional,21936591,25989,21910602,34,GEN,NORTH SALMARA,LOWER ASSAM,true,true,false,Male,,,,,,
Abdul Hakim Ahmed,http://myneta.info/assam2016/candidate.php?candidate_id=889,SORBHOG,IND,0,10th Pass,1771000,0,1771000,40,GEN,BARPETA,LOWER ASSAM,true,true,false,Male,,,,,,
Abdul Hamid,http://myneta.info/assam2016/candidate.php?candidate_id=5,KARIMGANJ SOUTH,IND,0,8th Pass,65000,0,65000,4,GEN,KARIMGANJ,SOUTHERN ASSAM (BARAK VALLEY),false,false,false,Male,,,,,,
Abdul Hamid,http://myneta.info/assam2016/candidate.php?candidate_id=635,GOALPARA EAST,SUCI(C),0,Graduate,14000,0,14000,37,GEN,GOALPARA,LOWER ASSAM,false,true,false,Male,,,,,,
Abdul Khaleque,http://myneta.info/assam2016/candidate.php?candidate_id=906,JANIA,INC,0,Post Graduate,4525056,0,4525056,44,GEN,BARPETA,LOWER ASSAM,true,true,false,Male,,,,,,
Abdul Sabur,http://myneta.info/assam2016/candidate.php?candidate_id=1108,KALAIGAON,IND,0,Not Given,90000,0,90000,65,GEN,MANGALDOI,NORTH ASSAM,false,true,false,Male,,,,,,
Abdul Salam Shah,http://myneta.info/assam2016/candidate.php?candidate_id=777,MANKACHAR,BJP,0,12th Pass,2746000,0,2746000,21,GEN,SOUTH SALMARA,LOWER ASSAM,true,true,false,Male,,,,,,
Abdul Samad Choudhury,http://myneta.info/assam2016/candidate.php?candidate_id=984,RANGIYA,AIUDF,1,10th Pass,8484735,1248000,7236735,57,GEN,RANGIA,NORTH ASSAM,true,true,true,Male,,,,,,
Abdul Wahab Sheikh,http://myneta.info/assam2016/candidate.php?candidate_id=882,JALESWAR,Bhartiya Rashtrawadi Party,0,12th Pass,2500,0,2500,39,GEN,GOALPARA,LOWER ASSAM,false,true,false,Male,,,,,,
Abdul Wahid,http://myneta.info/assam2016/candidate.php?candidate_id=1020,JAMUNAMUKH,IND,0,Others,382000,0,382000,90,GEN,HOJAI,CENTRAL ASSAM,false,false,false,Male,,,,,,
Abdur Rahim Ajmal,http://myneta.info/assam2016/candidate.php?candidate_id=1018,JAMUNAMUKH,AIUDF,0,Post Graduate,131099386,14956567,116142819,90,GEN,HOJAI,CENTRAL ASSAM,true,true,false,Male,http://myneta.info/assam2016/index.php?action=affidavitComparison&myneta_folder2=assam2011&id1=1018&id2=477,131099386,68438383,62661003,92%,Age Difference=2 PAN is Different
Abdur Rahim Khan,http://myneta.info/assam2016/candidate.php?candidate_id=899,BARPETA,AIUDF,2,Post Graduate,7546485,535722,7010763,43,GEN,BARPETA,LOWER ASSAM,true,true,true,Male,http://myneta.info/assam2016/index.php?action=affidavitComparison&myneta_folder2=assam2011&id1=899&id2=590,7546485,2368660,5177825,219%,PAN was missing last time
Abdur Rahim Zibran,http://myneta.info/assam2016/candidate.php?candidate_id=881,JALESWAR,BJP,0,10th Pass,4530000,0,4530000,39,GEN,GOALPARA,LOWER ASSAM,false,true,false,Male,,,,,,
Abdur Rashid Mandal,http://myneta.info/assam2016/candidate.php?candidate_id=876,GOALPARA WEST,INC,0,Others,2811000,0,2811000,38,GEN,GOALPARA,LOWER ASSAM,true,true,false,Male,,,,,,
Abdur Razzaque Sheikh,http://myneta.info/assam2016/candidate.php?candidate_id=796,GAURIPUR,IND,0,Post Graduate,2242500,0,2242500,24,GEN,DHUBRI,LOWER ASSAM,false,true,false,Male,,,,,,
