candidate_name,url,constituency,party,criminal_cases,education,assets,liabilities,net_assets,ac_no,reservations,district,sub_region,filed_itr,declared_pan,serious_criminal_cases,gender,recontest_url,recontest_assets_this,recontest_assets_last,recontest_assets_change,recontest_remarks
AADITYA SINGH,http://myneta.info/bih2005/candidate.php?candidate_id=302,Hisua,INC,20,10th Pass,1535029,0,1535029,243,GEN,NA,NA,,true,true,Male,,,,,
ABADH KISOR PRASAD,http://myneta.info/bih2005/candidate.php?candidate_id=1553,Surajgarha,IND,2,10th Pass,187769,0,187769,169,GEN,NA,NA,,false,true,Male,,,,,
ABAS,http://myneta.info/bih2005/candidate.php?candidate_id=784,Madhubani,BSP,0,Literate,28000,0,28000,78,GEN,NA,NA,,false,false,Male,,,,,
ABDUL  AHAD,http://myneta.info/bih2005/candidate.php?candidate_id=497,Arrah,LJP,0,Literate,296739,0,296739,198,GEN,NA,NA,,false,false,Male,,,,,
ABDUL ALLAM,http://myneta.info/bih2005/candidate.php?candidate_id=1252,Darbhanga,JP,0,Literate,10000,0,10000,89,GEN,NA,NA,,false,false,Male,,,,,
ABDUL BARI SIDDIQUI,http://myneta.info/bih2005/candidate.php?candidate_id=91,Bahera,RJD,0,12th Pass,3085204,445096,2640108,85,GEN,NA,NA,,true,false,Male,,,,,
ABDUL JALIL,http://myneta.info/bih2005/candidate.php?candidate_id=189,Kadwa,NCP,3,10th Pass,732610,8527,724083,143,GEN,NA,NA,,false,true,Male,,,,,
ABDUL JALIL MASTAN,http://myneta.info/bih2005/candidate.php?candidate_id=335,Amour,INC,0,12th Pass,852000,105150,746850,136,GEN,NA,NA,,false,false,Male,,,,,
Abdul Kalam,http://myneta.info/bih2005/candidate.php?candidate_id=961,Nautan : Bye-election on 15-09-2009,NCP,1,12th Pass,1501000,42000,1459000,9,GEN,NA,NA,,false,false,Male,,,,,
ABDUL KALAM DEWAN,http://myneta.info/bih2005/candidate.php?candidate_id=1413,Kateya,IND,0,Literate,95500,0,95500,21,GEN,NA,NA,,true,false,Male,,,,,
ABDUL SATAR,http://myneta.info/bih2005/candidate.php?candidate_id=911,Sasaram,LJP,2,Graduate,2065000,15000,2050000,214,GEN,NA,NA,,false,true,Male,,,,,
ABDUR RAHMAN,http://myneta.info/bih2005/candidate.php?candidate_id=2014,Sheohar,IND,0,Graduate,699000,0,699000,66,GEN,NA,NA,,false,false,Male,,,,,
ABDUS SUBHAN,http://myneta.info/bih2005/candidate.php?candidate_id=753,Pranpur,LJP,0,10th Pass,1473000,202463,1270537,145,GEN,NA,NA,,false,false,Male,,,,,
ABDUS SUBHAN,http://myneta.info/bih2005/candidate.php?candidate_id=338,Baisi,RJD,0,10th Pass,615000,0,615000,137,GEN,NA,NA,,false,false,Male,,,,,
ABHAY KUMAR,http://myneta.info/bih2005/candidate.php?candidate_id=258,Aurai,IND,0,12th Pass,1341000,907800,433200,62,GEN,NA,NA,,false,false,Male,,,,,
ABHAY KUMAR ANIL,http://myneta.info/bih2005/candidate.php?candidate_id=1427,Ghosi,IND,1,Graduate,131500,0,131500,228,GEN,NA,NA,,false,false,Male,,,,,
ABHAY KUMAR RAM,http://myneta.info/bih2005/candidate.php?candidate_id=867,Kishunpur,BSP,0,Graduate,176556,0,176556,111,GEN,NA,NA,,false,false,Male,,,,,
ABHAY KUMAR SINGH,http://myneta.info/bih2005/candidate.php?candidate_id=42,Matihani,INC,2,12th Pass,2562653,800000,1762653,104,GEN,NA,NA,,false,true,Male,,,,,
Abhay Kumar Singh,http://myneta.info/bih2005/candidate.php?candidate_id=1008,Ramgarh : Bye-election on 10-09-2009,BJP,1,Post Graduate,1233798,200000,1033798,210,GEN,NA,NA,,false,false,Male,,,,,
ABHAY KUMAR YADAV,http://myneta.info/bih2005/candidate.php?candidate_id=1164,Nathnagar,SP,0,Graduate,175892,270000,-94108,149,GEN,NA,NA,,false,false,Male,,,,,
ABHAY SINGH,http://myneta.info/bih2005/candidate.php?candidate_id=171,Jamui,JD(U),0,12th Pass,766821,0,766821,170,GEN,NA,NA,,true,false,Male,,,,,
ABHIMANYU SHARMA,http://myneta.info/bih2005/candidate.php?candidate_id=662,Obra,LJP,0,Graduate,5045800,0,5045800,222,GEN,NA,NA,,false,false,Male,,,,,
ABINASH SINGH,http://myneta.info/bih2005/candidate.php?candidate_id=1196,Jagdishpur,CPI(ML)(L),6,12th Pass,18000,80000,-62000,204,GEN,NA,NA,,false,true,Male,,,,,
ABITABH JHA,http://myneta.info/bih2005/candidate.php?candidate_id=1273,Jale,IND,0,12th Pass,1252000,7000,1245000,91,GEN,NA,NA,,false,false,Male,,,,,
ADALAT CHOUDHARY,http://myneta.info/bih2005/candidate.php?candidate_id=1414,Kateya,IND,0,5th Pass,280000,0,280000,21,GEN,NA,NA,,false,false,Male,,,,,
ADHIR KUMAR,http://myneta.info/bih2005/candidate.php?candidate_id=1700,Chandi,IJP,0,10th Pass,74100,0,74100,181,GEN,NA,NA,,false,false,Male,,,,,
AFAQUE ALAM,http://myneta.info/bih2005/candidate.php?candidate_id=493,Amour,BJP,0,Post Graduate,79700,10000,69700,136,GEN,NA,NA,,false,false,Male,,,,,
AFTAB ALAM,http://myneta.info/bih2005/candidate.php?candidate_id=539,Barauli,BSP,0,8th Pass,1532000,0,1532000,25,GEN,NA,NA,,false,false,Male,,,,,
AFTAB AZIM,http://myneta.info/bih2005/candidate.php?candidate_id=10,Sikti,LJP,0,Graduate,2760793,212537,2548256,131,GEN,NA,NA,,true,false,Male,,,,,
AGHANOO YADAV,http://myneta.info/bih2005/candidate.php?candidate_id=1604,Pandaul,SP,0,Graduate Professional,2514359,15250,2499109,79,GEN,NA,NA,,false,false,Male,,,,,
AHMAD ALI TAMANNE,http://myneta.info/bih2005/candidate.php?candidate_id=694,Jale,CPI,0,Post Graduate,0,0,0,91,GEN,NA,NA,,false,false,Male,,,,,
AJAY  YADAV,http://myneta.info/bih2005/candidate.php?candidate_id=1376,Gaya Mufassil,IND,0,12th Pass,703100,23347,679753,231,GEN,NA,NA,,false,false,Male,,,,,
AJAY KUMAR,http://myneta.info/bih2005/candidate.php?candidate_id=1807,Paliganj,IND,0,10th Pass,462000,0,462000,195,GEN,NA,NA,,false,false,Male,,,,,
AJAY KUMAR,http://myneta.info/bih2005/candidate.php?candidate_id=2006,Barbigha,IND,0,12th Pass,45000,0,45000,174,SC,NA,NA,,false,false,Male,,,,,
AJAY KUMAR,http://myneta.info/bih2005/candidate.php?candidate_id=2033,Belsand,IND,0,12th Pass,1295000,0,1295000,65,GEN,NA,NA,,false,false,Male,,,,,
AJAY KUMAR MANDAL,http://myneta.info/bih2005/candidate.php?candidate_id=55,Colgong,JD(U),3,8th Pass,280500,50000,230500,148,GEN,NA,NA,,false,true,Male,,,,,
AJAY KUMAR PASWAN,http://myneta.info/bih2005/candidate.php?candidate_id=1635,Baruraj,IND,0,Graduate,20200,0,20200,55,GEN,NA,NA,,false,false,Male,,,,,
AJAY KUMAR RAI,http://myneta.info/bih2005/candidate.php?candidate_id=1415,Kateya,IND,0,Literate,35000,20000,15000,21,GEN,NA,NA,,false,false,Male,,,,,
AJAY KUMAR RAVIKANT,http://myneta.info/bih2005/candidate.php?candidate_id=822,Warsaliganj,JD(U),1,Graduate Professional,620000,0,620000,242,GEN,NA,NA,,false,true,Male,,,,,
AJAY KUMAR SINGH,http://myneta.info/bih2005/candidate.php?candidate_id=846,Ziradei,BSP,0,Post Graduate,1000,0,1000,32,GEN,NA,NA,,false,false,Male,,,,,
AJAY KUMAR SINGH,http://myneta.info/bih2005/candidate.php?candidate_id=681,Jagdishpur,LJP,0,Post Graduate,928015,0,928015,204,GEN,NA,NA,,false,false,Male,,,,,
AJAY KUMAR SINGH,http://myneta.info/bih2005/candidate.php?candidate_id=1117,Amarpur,IND,0,12th Pass,4491970,971469,3520501,154,GEN,NA,NA,,true,false,Male,,,,,
AJAY KUMAR YADAV,http://myneta.info/bih2005/candidate.php?candidate_id=1359,Belaganj,IND,0,10th Pass,655000,0,655000,229,GEN,NA,NA,,false,false,Male,,,,,
AJAY MAHTO,http://myneta.info/bih2005/candidate.php?candidate_id=1797,Mokameh,SHS,2,12th Pass,147355,0,147355,183,GEN,NA,NA,,false,false,Male,,,,,
AJAY NISHAD,http://myneta.info/bih2005/candidate.php?candidate_id=268,Kurhani,RJD,0,10th Pass,9055395,838395,8217000,57,GEN,NA,NA,,true,false,Male,,,,,
