candidate_name,url,constituency,party,criminal_cases,education,assets,liabilities,net_assets,ac_no,reservations,district,sub_region,filed_itr,declared_pan,serious_criminal_cases,gender,recontest_url,recontest_assets_this,recontest_assets_last,recontest_assets_change,recontest_remarks,state,year,winner,so_do,age,address,profession,spouse_profession,party_eci
AADITYA SINGH,http://myneta.info/bih2005/candidate.php?candidate_id=302,Hisua,INC,20,10th Pass,1535029,0,1535029,243,GEN,NA,NA,,true,true,Male,,,,,,Bihar,2005,false,Dirik Singh,74,VILLAGE AND POST.-NARHAR,,,Indian National Congress
ABADH KISOR PRASAD,http://myneta.info/bih2005/candidate.php?candidate_id=1553,Surajgarha,IND,2,10th Pass,187769,0,187769,169,GEN,NA,NA,,false,true,Male,,,,,,Bihar,2005,false,Ramsharan Prasad,39,Village.Kshpur P.S.Kariya Dist.Lakhisaria,,,Independent
ABAS,http://myneta.info/bih2005/candidate.php?candidate_id=784,Madhubani,BSP,0,Literate,28000,0,28000,78,GEN,NA,NA,,false,false,Male,,,,,,Bihar,2005,false,Suleman,39,"Village - Sakri, District - Madhubani",,,Bahujan Samaj Party
ABDUL  AHAD,http://myneta.info/bih2005/candidate.php?candidate_id=497,Arrah,LJP,0,Literate,296739,0,296739,198,GEN,NA,NA,,false,false,Male,,,,,,Bihar,2005,false,Ati Hussain,54,"Dudhkatora, PS Ara Town, Bhojpur",,,Lok Janshakti Party
ABDUL ALLAM,http://myneta.info/bih2005/candidate.php?candidate_id=1252,Darbhanga,JP,0,Literate,10000,0,10000,89,GEN,NA,NA,,false,false,Male,,,,,,Bihar,2005,false,Hafigur Rahman,41,"Vill.Karahliya P.S.Sadba ,Darbhanga",,,Janta Party
ABDUL BARI SIDDIQUI,http://myneta.info/bih2005/candidate.php?candidate_id=91,Bahera,RJD,0,12th Pass,3085204,445096,2640108,85,GEN,NA,NA,,true,false,Male,,,,,,Bihar,2005,true,Ali Ahmad,56,"RUPASPUR, P.S.-ALINAGAR, DISTT.-DARBHANGA",,,Rashtriya Janata Dal
ABDUL JALIL,http://myneta.info/bih2005/candidate.php?candidate_id=189,Kadwa,NCP,3,10th Pass,732610,8527,724083,143,GEN,NA,NA,,false,true,Male,,,,,,Bihar,2005,true,ZAMEERUDDIN,52,"VILL, PO & PS-AKAMNAGAR DIST KATIHAR",,,Nationalist Congress Party
ABDUL JALIL MASTAN,http://myneta.info/bih2005/candidate.php?candidate_id=335,Amour,INC,0,12th Pass,852000,105150,746850,136,GEN,NA,NA,,false,false,Male,,,,,,Bihar,2005,true,LATE AMIRUDDIN,48,VILL SILLA RAGHUNATHPUR,,,Indian National Congress
Abdul Kalam,http://myneta.info/bih2005/candidate.php?candidate_id=961,Nautan : Bye-election on 15-09-2009,NCP,1,12th Pass,1501000,42000,1459000,9,GEN,NA,NA,,false,false,Male,,,,,,Bihar,2005,false,Nathu Mian,44,"Vill.Bagli Begampura, P.S Srinagar, Dist. W.Champaran",,,Nationalist Congress Party
ABDUL KALAM DEWAN,http://myneta.info/bih2005/candidate.php?candidate_id=1413,Kateya,IND,0,Literate,95500,0,95500,21,GEN,NA,NA,,true,false,Male,,,,,,Bihar,2005,false,Hasim Dewan,29,"Vill. Lahpur, Po. Ratanpura, P.S. Gopalpur, Dist. Gopalganj",,,Independent
ABDUL SATAR,http://myneta.info/bih2005/candidate.php?candidate_id=911,Sasaram,LJP,2,Graduate,2065000,15000,2050000,214,GEN,NA,NA,,false,true,Male,,,,,,Bihar,2005,false,Md. sharif,43,"Mohalla - Kabirganj, Distt. Rohtas",,,Lok Janshakti Party
