candidate_name,url,constituency,party,criminal_cases,education,assets,liabilities,net_assets,ac_no,reservations,district,sub_region,filed_itr,declared_pan,serious_criminal_cases,gender
A. SANJAY RAMCHAND,http://myneta.info/2008Chhattisgarh/candidate.php?candidate_id=146,Sakti,IND,0,Post Graduate,127000,0,127000,35,GEN,JANJGIR-CHAMPA,CHHATTISGARH PLAINS,,true,false,Male
ABDUL HANNAN RAZA,http://myneta.info/2008Chhattisgarh/candidate.php?candidate_id=954,Raipur City South,IND,0,Not Given,59900,56000,3900,51,GEN,RAIPUR,CHHATTISGARH PLAINS,,false,false,Male
ABHIMANYU SINGH PAIKRA,http://myneta.info/2008Chhattisgarh/candidate.php?candidate_id=1021,Sitapur,IND,0,10th Pass,2067287,314000,1753287,11,ST,SURGUJA,NOTHERN HILLS,,false,false,Male
ADV. GOPIRAM SAHU,http://myneta.info/2008Chhattisgarh/candidate.php?candidate_id=191,Korba,BSP,0,Graduate Professional,1556000,35000,1521000,21,GEN,KORBA,CHHATTISGARH PLAINS,,false,false,Male
ADVOCATE LOKESH MISHRA,http://myneta.info/2008Chhattisgarh/candidate.php?candidate_id=588,Bhilai Nagar,IND,0,Post Graduate,750000,0,750000,65,GEN,DURG,CHHATTISGARH PLAINS,,false,false,Male
ADVOCATE MANISH BHARADWAJ,http://myneta.info/2008Chhattisgarh/candidate.php?candidate_id=894,Masturi,BJSH,0,Graduate Professional,1802000,0,1802000,32,SC,BILASPUR,CHHATTISGARH PLAINS,,false,false,Male
ADVOCATE SADANAND,http://myneta.info/2008Chhattisgarh/candidate.php?candidate_id=268,Arang,BSP,0,Not Given,40500,0,40500,52,SC,RAIPUR,CHHATTISGARH PLAINS,,false,false,Male
AGAR KUMAR,http://myneta.info/2008Chhattisgarh/candidate.php?candidate_id=455,Lormi,LJP,0,8th Pass,715000,0,715000,26,GEN,MUNGELI,CHHATTISGARH PLAINS,,false,false,Male
AGARMAN DAS SONVANI,http://myneta.info/2008Chhattisgarh/candidate.php?candidate_id=629,Ahiwara,CGVP,2,Literate,750000,0,750000,67,SC,DURG,CHHATTISGARH PLAINS,,false,true,Male
AGNI CHANDRAKAR,http://myneta.info/2008Chhattisgarh/candidate.php?candidate_id=225,Mahasamund,INC,0,Graduate Professional,13025637,188638,12836999,42,GEN,MAHASAMUND,CHHATTISGARH PLAINS,,false,false,Male
AJAY CHANDRAKAR (DALA),http://myneta.info/2008Chhattisgarh/candidate.php?candidate_id=38,Kurud,BJP,1,Post Graduate,29263782,14622000,14641782,57,GEN,DHAMTARI,CHHATTISGARH PLAINS,,true,false,Male
AJAY SINGH,http://myneta.info/2008Chhattisgarh/candidate.php?candidate_id=641,Ambikapur,IND,0,10th Pass,1330000,0,1330000,10,GEN,SURGUJA,NOTHERN HILLS,,true,false,Male
AJEET SINGH BEDI,http://myneta.info/2008Chhattisgarh/candidate.php?candidate_id=557,Basna,SHS,0,8th Pass,733000,0,733000,40,GEN,MAHASAMUND,CHHATTISGARH PLAINS,,false,false,Male
AJIT JOGI,http://myneta.info/2008Chhattisgarh/candidate.php?candidate_id=13,Marwahi,INC,2,Graduate Professional,45548495,0,45548495,24,ST,BILASPUR,CHHATTISGARH PLAINS,,true,true,Male
AJOO RAM CHANDRAWANSHI,http://myneta.info/2008Chhattisgarh/candidate.php?candidate_id=912,Pandariya,IND,0,Not Given,1368000,0,1368000,71,GEN,KABIRDHAM,CHHATTISGARH PLAINS,,false,false,Male
AJU RAM CHANDRAVANSHI,http://myneta.info/2008Chhattisgarh/candidate.php?candidate_id=807,Kawardha,IND,0,Illiterate,1368000,0,1368000,72,GEN,KABIRDHAM,CHHATTISGARH PLAINS,,false,false,Male
AKBAR BHAI,http://myneta.info/2008Chhattisgarh/candidate.php?candidate_id=169,Pandariya,INC,0,Graduate,12536319,404105,12132214,71,GEN,KABIRDHAM,CHHATTISGARH PLAINS,,true,false,Male
ALAM SINGH CARPY,http://myneta.info/2008Chhattisgarh/candidate.php?candidate_id=645,Ambikapur,RGOP,0,10th Pass,700000,25000,675000,10,GEN,SURGUJA,NOTHERN HILLS,,false,false,Male
ALPANA YADAW(STUDENT OF POLYTECHNIC,http://myneta.info/2008Chhattisgarh/candidate.php?candidate_id=736,Chandrapur,IND,0,Not Given,0,0,0,36,GEN,JANJGIR-CHAMPA,CHHATTISGARH PLAINS,,false,false,Female
AMAR AGRAWAL,http://myneta.info/2008Chhattisgarh/candidate.php?candidate_id=25,Bilaspur,BJP,0,Graduate,18178143,1147165,17030978,30,GEN,BILASPUR,CHHATTISGARH PLAINS,,true,false,Male
AMAR DAS MAHANT,http://myneta.info/2008Chhattisgarh/candidate.php?candidate_id=819,Kharsia,IND,0,5th Pass,591500,0,591500,18,GEN,RAIGARH,CHHATTISGARH PLAINS,,false,false,Male
AMAR KUMAR RATHIYA,http://myneta.info/2008Chhattisgarh/candidate.php?candidate_id=749,Dharamjaigarh,IND,0,8th Pass,525000,0,525000,19,ST,RAIGARH,CHHATTISGARH PLAINS,,false,false,Male
AMAR NATH PANDEY,http://myneta.info/2008Chhattisgarh/candidate.php?candidate_id=356,Ambikapur,CPI,3,Graduate Professional,71000,0,71000,10,GEN,SURGUJA,NOTHERN HILLS,,true,true,Male
AMAR SINGH KHUSRO,http://myneta.info/2008Chhattisgarh/candidate.php?candidate_id=447,Marwahi,BSP,0,Literate,2560000,300000,2260000,24,ST,BILASPUR,CHHATTISGARH PLAINS,,false,false,Male
AMAR SINGH RATHIYA,http://myneta.info/2008Chhattisgarh/candidate.php?candidate_id=861,Lailunga,CSP,0,Not Given,1925000,120000,1805000,15,ST,RAIGARH,CHHATTISGARH PLAINS,,false,false,Male
AMARDEEP MINJ,http://myneta.info/2008Chhattisgarh/candidate.php?candidate_id=991,Ramanujganj,IND,0,8th Pass,761487,0,761487,7,ST,BALRAMPUR,NOTHERN HILLS,,false,false,Male
AMARJEET BHAGAT,http://myneta.info/2008Chhattisgarh/candidate.php?candidate_id=357,Sitapur,INC,0,12th Pass,12572829,2947591,9625238,11,ST,SURGUJA,NOTHERN HILLS,,true,false,Male
AMARJEET SINGH NAGRA,http://myneta.info/2008Chhattisgarh/candidate.php?candidate_id=379,Manendragarh,SHS,2,Others,210000,0,210000,2,GEN,KORIA,NOTHERN HILLS,,false,true,Male
AMBESH JANGDE,http://myneta.info/2008Chhattisgarh/candidate.php?candidate_id=76,Pamgarh,BJP,0,Graduate,1276650,0,1276650,38,SC,JANJGIR-CHAMPA,CHHATTISGARH PLAINS,,false,false,Male
AMBIKA MARKAM,http://myneta.info/2008Chhattisgarh/candidate.php?candidate_id=35,Sihawa,INC,0,Post Graduate,2922000,0,2922000,56,ST,DHAMTARI,CHHATTISGARH PLAINS,,false,false,Female
AMBIKADEVI MARAVI,http://myneta.info/2008Chhattisgarh/candidate.php?candidate_id=433,Rampur,GGP,0,8th Pass,50000,0,50000,20,ST,KORBA,CHHATTISGARH PLAINS,,false,false,Female
AMIR SINGH SHYAM,http://myneta.info/2008Chhattisgarh/candidate.php?candidate_id=207,Manendragarh,GGP,0,8th Pass,440000,18000,422000,2,GEN,KORIA,NOTHERN HILLS,,true,false,Male
AMIT GAUR,http://myneta.info/2008Chhattisgarh/candidate.php?candidate_id=959,Raipur City West,BJSH,0,12th Pass,4028250,2278100,1750150,49,GEN,RAIPUR,CHHATTISGARH PLAINS,,false,false,Male
AMITESH SHUKL,http://myneta.info/2008Chhattisgarh/candidate.php?candidate_id=257,Rajim,INC,0,Graduate Professional,41526324,0,41526324,54,GEN,GARIABAND,CHHATTISGARH PLAINS,,false,false,Male
AMRIT LAL JOSHI,http://myneta.info/2008Chhattisgarh/candidate.php?candidate_id=563,Arang,JMM,0,Post Graduate,1700000,0,1700000,52,SC,RAIPUR,CHHATTISGARH PLAINS,,false,false,Male
AMRIT TIRKEY,http://myneta.info/2008Chhattisgarh/candidate.php?candidate_id=252,Dharamjaigarh,IND,0,Not Given,30000,0,30000,19,ST,RAIGARH,CHHATTISGARH PLAINS,,false,false,Male
AMULYA PUJARI,http://myneta.info/2008Chhattisgarh/candidate.php?candidate_id=935,Raigarh,IND,0,12th Pass,1000,0,1000,16,GEN,RAIGARH,CHHATTISGARH PLAINS,,false,false,Male
ANAND GAUTAM,http://myneta.info/2008Chhattisgarh/candidate.php?candidate_id=760,Durg City,IND,0,Graduate,159000,0,159000,64,GEN,DURG,CHHATTISGARH PLAINS,,false,false,Male
ANAND GILHARE,http://myneta.info/2008Chhattisgarh/candidate.php?candidate_id=709,Bilaigarh,IND,0,12th Pass,3307500,25000,3282500,43,SC,BALODABAZAR,CHHATTISGARH PLAINS,,false,false,Male
ANAND JAISWAL,http://myneta.info/2008Chhattisgarh/candidate.php?candidate_id=805,Kawardha,IND,0,10th Pass,94000,0,94000,72,GEN,KABIRDHAM,CHHATTISGARH PLAINS,,false,false,Male
ANAND RAM UIKE,http://myneta.info/2008Chhattisgarh/candidate.php?candidate_id=577,Bhanupratappur,SHS,0,8th Pass,80000,0,80000,80,ST,UTTAR BASTAR KANKER,BASTAR PLATEAU,,false,false,Male
ANAND RAMESHWAR KANWAR,http://myneta.info/2008Chhattisgarh/candidate.php?candidate_id=797,Katghora,IND,0,Graduate,9070000,0,9070000,22,GEN,KORBA,CHHATTISGARH PLAINS,,false,false,Male
ANIL BURKA,http://myneta.info/2008Chhattisgarh/candidate.php?candidate_id=702,Bijapur,IND,0,8th Pass,785000,0,785000,89,ST,BIJAPUR,BASTAR PLATEAU,,false,false,Male
