candidate_name,url,constituency,party,criminal_cases,education,assets,liabilities,net_assets,ac_no,reservations,district,sub_region,filed_itr,declared_pan,serious_criminal_cases,gender,recontest_url,recontest_assets_this,recontest_assets_last,recontest_assets_change,recontest_assets_change_pct,recontest_remarks
Aajuram Jagat,http://myneta.info/chhattisgarh2013/candidate.php?candidate_id=1238,KOTA,IND,0,10th Pass,616143,0,616143,25,GEN,BILASPUR,CHHATTISGARH PLAINS,false,false,false,Male,,,,,,
Aashish Singh Thakur,http://myneta.info/chhattisgarh2013/candidate.php?candidate_id=385,TAKHATPUR,INC,0,Graduate Professional,61796526,8642719,53153807,28,GEN,BILASPUR,CHHATTISGARH PLAINS,true,true,false,Male,,,,,,
Abdul Nayeem Khan,http://myneta.info/chhattisgarh2013/candidate.php?candidate_id=1163,RAIPUR CITY SOUTH,IND,0,10th Pass,1107310,800000,307310,51,GEN,RAIPUR,CHHATTISGARH PLAINS,false,true,false,Male,,,,,,
Abdul Washim,http://myneta.info/chhattisgarh2013/candidate.php?candidate_id=262,RAIPUR CITY SOUTH,IND,0,10th Pass,237700,0,237700,51,GEN,RAIPUR,CHHATTISGARH PLAINS,false,false,false,Male,,,,,,
Abraham Tirkey,http://myneta.info/chhattisgarh2013/candidate.php?candidate_id=415,KUNKURI,INC,1,Graduate,19116717,846481,18270236,13,ST,JASHPUR,NOTHERN HILLS,true,true,false,Male,,,,,,
Ad Udho Ram Koshaley,http://myneta.info/chhattisgarh2013/candidate.php?candidate_id=253,SARANGARH,NPP,0,Graduate Professional,1040000,0,1040000,17,SC,RAIGARH,CHHATTISGARH PLAINS,false,false,false,Male,,,,,,
Agar Kumar Sahu,http://myneta.info/chhattisgarh2013/candidate.php?candidate_id=1017,LORMI,LJP,0,10th Pass,3400000,800000,2600000,26,GEN,MUNGELI,CHHATTISGARH PLAINS,false,true,false,Male,,,,,,
Agni Chandrakar,http://myneta.info/chhattisgarh2013/candidate.php?candidate_id=1069,MAHASAMUND,INC,0,Graduate Professional,16534473,2058050,14476423,42,GEN,MAHASAMUND,CHHATTISGARH PLAINS,true,true,false,Male,http://myneta.info/chhattisgarh2013/index.php?action=affidavitComparison&myneta_folder2=2008Chhattisgarh&id1=1069&id2=225,16534473,13025637,3508836,27%,PAN was missing last time
Ahfaz Rashid,http://myneta.info/chhattisgarh2013/candidate.php?candidate_id=1144,RAIPUR CITY WEST,Bhartiya Sarvajan Hitay Samaj Party,0,Graduate,117000,0,117000,49,GEN,RAIPUR,CHHATTISGARH PLAINS,false,true,false,Male,,,,,,
Ajay Chandrakar,http://myneta.info/chhattisgarh2013/candidate.php?candidate_id=478,KURUD,BJP,0,Post Graduate,83362232,25014255,58347977,57,GEN,DHAMTARI,CHHATTISGARH PLAINS,true,true,false,Male,,,,,,
