candidate_name,url,constituency,party,criminal_cases,education,assets,liabilities,net_assets,ac_no,reservations,district,sub_region,filed_itr,declared_pan,serious_criminal_cases,gender,recontest_url,recontest_assets_this,recontest_assets_last,recontest_assets_change,recontest_assets_change_pct,recontest_remarks,party_eci
Kochara Jagdishbhai Kanjibhai,http://myneta.info/Gujarat2017/candidate.php?candidate_id=4347,ANJAR,BSP,0,Graduate Professional,826000,0,826000,4,GEN,Kachchh,Kutch,true,true,false,Male,NA,NA,NA,NA,NA,NA,Bahujan Samaj Party
Aahir Manubhai Mayabhai,http://myneta.info/Gujarat2017/candidate.php?candidate_id=4150,LIMBAYAT,BSP,0,12th Pass,9049000,0,9049000,163,GEN,Surat,South Gujarat,true,true,false,Male,NA,NA,NA,NA,NA,NA,Bahujan Samaj Party
Aakashbhai Chhotabhai Hirvani,http://myneta.info/Gujarat2017/candidate.php?candidate_id=5185,SAVLI,BSP,0,12th Pass,219900,0,219900,135,GEN,Vadodara,Central Gujarat,false,false,false,Male,NA,NA,NA,NA,NA,NA,Bahujan Samaj Party
Aarethiya Santokben Bhachubhai,http://myneta.info/Gujarat2017/candidate.php?candidate_id=3916,RAPAR,INC,0,Illiterate,820267696,199568877,620698819,6,GEN,Kachchh,Kutch,true,true,false,Female,NA,NA,NA,NA,NA,NA,Indian National Congress
Aarya Indravadan Bhimsinh,http://myneta.info/Gujarat2017/candidate.php?candidate_id=4069,JAMBUSAR,IND,0,Not Given,3725000,200000,3525000,150,GEN,Bharuch,Central Gujarat,false,true,false,Male,NA,NA,NA,NA,NA,NA,Independent
Abbaji Dhyanu Jadav,http://myneta.info/Gujarat2017/candidate.php?candidate_id=4317,PARDI,SHS,0,Literate,1515000,3100000,-1585000,180,GEN,Valsad,South Gujarat,true,true,false,Male,NA,NA,NA,NA,NA,NA,Shivsena
Acharya Dr.Nimaben Bhaveshbhai,http://myneta.info/Gujarat2017/candidate.php?candidate_id=3647,BHUJ,BJP,1,Post Graduate,347418010,107416776,240001234,3,GEN,Kachchh,Kutch,true,true,true,Female,http://myneta.info/Gujarat2017/index.php?action=affidavitComparison&myneta_folder2=gujarat2012&id1=3647&id2=1506,347418010,346463236,954774,0%,Age Difference=3 PAN is Different,Bharatiya Janata Party
Acharya Keyur Chimanbhai,http://myneta.info/Gujarat2017/candidate.php?candidate_id=4967,GANDHINAGAR SOUTH,Bahujan Mukti Party,0,10th Pass,62000,0,62000,35,GEN,Gandhinagar,North Gujarat,true,true,false,Male,NA,NA,NA,NA,NA,NA,Bahujan Mukti Party
Adiyesha Rutil,http://myneta.info/Gujarat2017/candidate.php?candidate_id=4732,AMRELI,IND,0,10th Pass,588147,0,588147,95,GEN,Amreli,Saurashtra,true,true,false,Male,NA,NA,NA,NA,NA,NA,Independent
Advocate Purva Pradip Gajare,http://myneta.info/Gujarat2017/candidate.php?candidate_id=4319,PARDI,IND,0,Graduate Professional,2702000,985000,1717000,180,GEN,Valsad,South Gujarat,true,true,false,Female,NA,NA,NA,NA,NA,NA,Independent
Aftabahmed Saradarahmed Saiyed,http://myneta.info/Gujarat2017/candidate.php?candidate_id=5551,JAMALPUR - KHADIA,IND,0,Graduate,3000000,270000,2730000,52,GEN,Ahmedabad,Central Gujarat,true,true,false,Male,NA,NA,NA,NA,NA,NA,Independent
Agavan Sadik Karim,http://myneta.info/Gujarat2017/candidate.php?candidate_id=4714,VISAVADAR,IND,0,8th Pass,505125,0,505125,87,GEN,Junagarh,Saurashtra,false,true,false,Male,NA,NA,NA,NA,NA,NA,Independent
Ahir (Bharwad) Jethabhai Ghelabhai,http://myneta.info/Gujarat2017/candidate.php?candidate_id=5501,SHEHRA,BJP,1,Graduate,67132165,7931564,59200601,124,GEN,Panchmahal,Central Gujarat,true,true,true,Male,http://myneta.info/Gujarat2017/index.php?action=affidavitComparison&myneta_folder2=gujarat2012&id1=5501&id2=1612,67132165,21840467,45291698,207%,NA,Bharatiya Janata Party
Ahir Meraman Markhi,http://myneta.info/Gujarat2017/candidate.php?candidate_id=3981,DWARKA,INC,2,8th Pass,9144010,207000,8937010,82,GEN,Devbhumi Dwarka,Saurashtra,true,true,false,Male,http://myneta.info/Gujarat2017/index.php?action=affidavitComparison&myneta_folder2=gujaratbye2014&id1=3981&id2=128,9144010,18317255,-9173245,-50%,NA,Indian National Congress
Ahir Vasanbhai Gopalbhai,http://myneta.info/Gujarat2017/candidate.php?candidate_id=3637,ANJAR,BJP,0,5th Pass,31527120,250000,31277120,4,GEN,Kachchh,Kutch,true,true,false,Male,http://myneta.info/Gujarat2017/index.php?action=affidavitComparison&myneta_folder2=gujarat2012&id1=3637&id2=1507,31527120,24216626,7310494,30%,NA,Bharatiya Janata Party
Ajaybhai Gomanbhai Vasava,http://myneta.info/Gujarat2017/candidate.php?candidate_id=4566,ANKLESHWAR,IND,0,12th Pass,436410,0,436410,154,GEN,Bharuch,Central Gujarat,false,false,false,Male,NA,NA,NA,NA,NA,NA,Independent
Ajitbhai Devabhai Khorani,http://myneta.info/Gujarat2017/candidate.php?candidate_id=3660,CHOTILA,BSP,0,8th Pass,56000,0,56000,63,GEN,Surendranagar,Saurashtra,false,true,false,Male,NA,NA,NA,NA,NA,NA,Bahujan Samaj Party
Ajitbhai Ghushabhai Lokhil,http://myneta.info/Gujarat2017/candidate.php?candidate_id=4242,RAJKOT EAST,AAP,0,12th Pass,39042529,30408401,8634128,68,GEN,Rajkot,Saurashtra,true,true,false,Male,NA,NA,NA,NA,NA,NA,Aam Aadmi Party
Ajitsinh Parvatsinh Chauhan,http://myneta.info/Gujarat2017/candidate.php?candidate_id=5049,BALASINOR,INC,1,Graduate Professional,5827500,450000,5377500,121,GEN,Mahisagar,Central Gujarat,true,true,true,Male,NA,NA,NA,NA,NA,NA,Indian National Congress
Ajmeri Sulemanbhai Hasanbhai,http://myneta.info/Gujarat2017/candidate.php?candidate_id=3782,GARIADHAR,IND,1,5th Pass,7400000,0,7400000,101,GEN,Bhavnagar,Saurashtra,false,false,false,Male,NA,NA,NA,NA,NA,NA,Independent
Akshay Kumar Iswarbhai Patel,http://myneta.info/Gujarat2017/candidate.php?candidate_id=5344,KARJAN,INC,0,10th Pass,20423594,1304795,19118799,147,GEN,Vadodara,Central Gujarat,true,true,false,Male,NA,NA,NA,NA,NA,NA,Indian National Congress
Alpesh Khodaji Thakor,http://myneta.info/Gujarat2017/candidate.php?candidate_id=5482,RADHANPUR,INC,0,12th Pass,13088660,460000,12628660,16,GEN,Patan,North Gujarat,true,true,false,Male,NA,NA,NA,NA,NA,NA,Indian National Congress
Alpesh Vallabhbhai Vadoliya,http://myneta.info/Gujarat2017/candidate.php?candidate_id=3693,JETPUR,IND,0,Graduate,141210,0,141210,74,GEN,Rajkot,Saurashtra,false,false,false,Male,NA,NA,NA,NA,NA,NA,Independent
Alpeshbhai Haribhai Italiya,http://myneta.info/Gujarat2017/candidate.php?candidate_id=3838,KATARGAM,IND,0,8th Pass,16348904,6208321,10140583,166,GEN,Surat,South Gujarat,true,true,false,Male,NA,NA,NA,NA,NA,NA,Independent
Alpeshsinh Surubha Vaghela,http://myneta.info/Gujarat2017/candidate.php?candidate_id=4831,DHOLKA,IND,1,Graduate,1191000,30000,1161000,58,GEN,Ahmedabad,Central Gujarat,false,true,false,Male,NA,NA,NA,NA,NA,NA,Independent
Altafkhan Daudkhan Pathan,http://myneta.info/Gujarat2017/candidate.php?candidate_id=4546,VAGRA,All India Hindustan Congress Party,0,Others,125000,0,125000,151,GEN,Bharuch,Central Gujarat,false,false,false,Male,NA,NA,NA,NA,NA,NA,All India Hindustan Congress Party
Amaroniya Inus Mamad,http://myneta.info/Gujarat2017/candidate.php?candidate_id=4657,JAMNAGAR NORTH,IND,1,5th Pass,218261,70000,148261,78,GEN,Jamnagar,Saurashtra,false,true,false,Male,NA,NA,NA,NA,NA,NA,Independent
Ambaliya Nagajibhai Bhikhabhai,http://myneta.info/Gujarat2017/candidate.php?candidate_id=3840,KATARGAM,AAP,3,Literate,27441404,3841206,23600198,166,GEN,Surat,South Gujarat,true,true,true,Male,NA,NA,NA,NA,NA,NA,Aam Aadmi Party
Ambaliya Ravibhai Jamanadas,http://myneta.info/Gujarat2017/candidate.php?candidate_id=3597,JETPUR,INC,0,10th Pass,295870692,298918942,-3048250,74,GEN,Rajkot,Saurashtra,true,true,false,Male,NA,NA,NA,NA,NA,NA,Indian National Congress
Amin Vinubhai Bahadurbhai,http://myneta.info/Gujarat2017/candidate.php?candidate_id=5452,DAHEGAM,All India Hindustan Congress Party,0,Graduate,5040000,0,5040000,34,GEN,Gandhinagar,North Gujarat,false,true,false,Male,NA,NA,NA,NA,NA,NA,All India Hindustan Congress Party
Amitbhai Ajitbhai Chavada,http://myneta.info/Gujarat2017/candidate.php?candidate_id=4432,ANKLAV,INC,0,Others,15190959,747495,14443464,110,GEN,Anand,Central Gujarat,true,true,false,Male,http://myneta.info/Gujarat2017/index.php?action=affidavitComparison&myneta_folder2=gujarat2012&id1=4432&id2=1555,15190959,8058259,7132700,89%,NA,Indian National Congress
