candidate_name,url,constituency,party,criminal_cases,education,assets,liabilities,net_assets,ac_no,reservations,district,sub_region,filed_itr,declared_pan,serious_criminal_cases,gender,recontest_url,recontest_assets_this,recontest_assets_last,recontest_assets_change,recontest_assets_change_pct,recontest_remarks,party_eci
Abhimanu,http://myneta.info/hp2012/candidate.php?candidate_id=84,DHARAMPUR,HLP,0,Graduate Professional,510000,0,510000,32,GEN,MANDI,BEAS RIVER REGION,false,false,false,Male,NA,NA,NA,NA,NA,NA,Himachal Lokhit Party
Ajay K. Dharwal,http://myneta.info/hp2012/candidate.php?candidate_id=45,JOGINDERNAGAR,IND,0,Graduate,250000,0,250000,31,GEN,MANDI,BEAS RIVER REGION,false,true,false,Male,NA,NA,NA,NA,NA,NA,Independent
Ajay Kumar,http://myneta.info/hp2012/candidate.php?candidate_id=99,SARKAGHAT,AITC,0,Graduate Professional,120000,0,120000,35,GEN,MANDI,BEAS RIVER REGION,false,true,false,Male,NA,NA,NA,NA,NA,NA,All India Trinamool Congress
Ajay Mahajan,http://myneta.info/hp2012/candidate.php?candidate_id=132,NURPUR,INC,0,Graduate,29620829,897178,28723651,6,GEN,KANGRA,BEAS RIVER REGION,true,true,false,Male,NA,NA,NA,NA,NA,NA,Indian National Congress
Aman Guleria,http://myneta.info/hp2012/candidate.php?candidate_id=426,KANGRA,CPI,0,Graduate Professional,500000,1000000,-500000,16,GEN,KANGRA,BEAS RIVER REGION,true,true,false,Male,NA,NA,NA,NA,NA,NA,Communist Party of India
Aman Kumar,http://myneta.info/hp2012/candidate.php?candidate_id=502,JAWALI,NCP,0,Post Graduate,7162525,190000,6972525,9,GEN,KANGRA,BEAS RIVER REGION,true,true,false,Male,NA,NA,NA,NA,NA,NA,Nationalist Congress Party
Amar Chand Pal,http://myneta.info/hp2012/candidate.php?candidate_id=415,ARKI,IND,0,Doctorate,8683000,1050000,7633000,50,GEN,SOLAN,SHIVALIK REGION,true,true,false,Male,NA,NA,NA,NA,NA,NA,Independent
Amar Dass,http://myneta.info/hp2012/candidate.php?candidate_id=186,DHARAMSHALA,IND,0,10th Pass,12985792,173308,12812484,18,GEN,KANGRA,BEAS RIVER REGION,true,true,false,Male,NA,NA,NA,NA,NA,NA,Independent
Amer Singh Thakur,http://myneta.info/hp2012/candidate.php?candidate_id=276,DOON,IND,0,Post Graduate,19635050,2550000,17085050,52,GEN,SOLAN,SHIVALIK REGION,true,true,false,Male,NA,NA,NA,NA,NA,NA,Independent
Anant Ram,http://myneta.info/hp2012/candidate.php?candidate_id=86,NALAGARH,BSP,0,10th Pass,1870000,700000,1170000,51,GEN,SOLAN,SHIVALIK REGION,false,true,false,Male,NA,NA,NA,NA,NA,NA,Bahujan Samaj Party
