candidate_name,constituency,party,criminal_cases,education,assets,liabilities,net_assets
Aditya Vikram Singh,BANJAR,INC,0,Post Graduate,43424987,0,43424987
Ajay Bhatti,SOLAN,CPI(M),2,Post Graduate,11000,0,11000
Ajay Mahajan,NURPUR,INC,0,Graduate,54166574,10755974,43410600
Ajay Solanki,NAHAN,INC,0,12th Pass,6069512,0,6069512
Amar Singh,BILASPUR,Lok Gathbandhan Party,0,Graduate,1246883,834000,412883
Amit Kumar,JASWAN-PRAGPUR,IND,0,12th Pass,575000,80000,495000
Anil Kumar Mankotia,HAMIRPUR,CPI(M),2,Graduate,575000,0,575000
Anil Sharma,MANDI,BJP,1,12th Pass,402482216,20944395,381537821
Anirudh Singh,KASUMPTI,INC,0,Graduate,162217508,10999355,151218153
Anita Alias Nitu,KARSOG,IND,1,12th Pass,9755000,95000,9660000
Anup Dhiman,DHARAMSHALA,IND,0,Others,8730000,100000,8630000
Anup Kumar,JASWAN-PRAGPUR,IND,0,12th Pass,1150000,0,1150000
Arjun Singh,JAWALI,BJP,0,Post Graduate,38871330,0,38871330
Arun Kumar,NAGROTA,BJP,0,10th Pass,9129606,0,9129606
Asha Kumari,DALHOUSIE,INC,1,Graduate,45310570,6066090,39244480
Ashish Butail,PALAMPUR,INC,0,Graduate,219458723,34592831,184865892
Ashish Kumar,HAMIRPUR,IND,0,Graduate Professional,10500,0,10500
Ashwani Kajal,DHARAMSHALA,Bahujan Mukti Party,0,Graduate,14826000,2750000,12076000
Baini Parshad,PALAMPUR,IND,1,Post Graduate,17432768,1200000,16232768
Bal Krishan Chauhan,CHAMBA,IND,1,Post Graduate,18061322,0,18061322
Bal Mukund,PALAMPUR,BSP,0,5th Pass,5220000,0,5220000
Balak Ram Sharma,SRI NAINA DEVIJI,All India Forward Bloc,0,12th Pass,6042543,1214000,4828543
Balbir Singh,CHINTPURNI,BJP,1,Graduate,45411401,51766017,-6354616
Balbir Singh,SRI RENUKAJI,BJP,0,Post Graduate,7815428,330812,7484616
