candidate_name,url,constituency,party,criminal_cases,education,assets,liabilities,net_assets,ac_no,reservations,district,sub_region
Aditya Vikram Singh,http://myneta.info/HimachalPradesh2017/candidate.php?candidate_id=3059,BANJAR,INC,0,Post Graduate,43424987,0,43424987,24,GEN,KULLU,BEAS RIVER REGION
Ajay Bhatti,http://myneta.info/HimachalPradesh2017/candidate.php?candidate_id=3092,SOLAN,CPI(M),2,Post Graduate,11000,0,11000,53,SC,SOLAN,SHIVALIK REGION
Ajay Mahajan,http://myneta.info/HimachalPradesh2017/candidate.php?candidate_id=3209,NURPUR,INC,0,Graduate,54166574,10755974,43410600,6,GEN,KANGRA,BEAS RIVER REGION
Ajay Solanki,http://myneta.info/HimachalPradesh2017/candidate.php?candidate_id=3213,NAHAN,INC,0,12th Pass,6069512,0,6069512,56,GEN,SIRMOUR,SHIVALIK REGION
Amar Singh,http://myneta.info/HimachalPradesh2017/candidate.php?candidate_id=3338,BILASPUR,Lok Gathbandhan Party,0,Graduate,1246883,834000,412883,48,GEN,BILASPUR,SHIVALIK REGION
Amit Kumar,http://myneta.info/HimachalPradesh2017/candidate.php?candidate_id=3153,JASWAN-PRAGPUR,IND,0,12th Pass,575000,80000,495000,11,GEN,KANGRA,BEAS RIVER REGION
Anil Kumar Mankotia,http://myneta.info/HimachalPradesh2017/candidate.php?candidate_id=3308,HAMIRPUR,CPI(M),2,Graduate,575000,0,575000,38,GEN,HAMIRPUR,SHIVALIK REGION
Anil Sharma,http://myneta.info/HimachalPradesh2017/candidate.php?candidate_id=3289,MANDI,BJP,1,12th Pass,402482216,20944395,381537821,33,GEN,MANDI,BEAS RIVER REGION
Anirudh Singh,http://myneta.info/HimachalPradesh2017/candidate.php?candidate_id=3189,KASUMPTI,INC,0,Graduate,162217508,10999355,151218153,62,GEN,SHIMLA,SHIMLA REGION
Anita Alias Nitu,http://myneta.info/HimachalPradesh2017/candidate.php?candidate_id=3274,KARSOG,IND,1,12th Pass,9755000,95000,9660000,26,SC,MANDI,BEAS RIVER REGION
Anup Dhiman,http://myneta.info/HimachalPradesh2017/candidate.php?candidate_id=3257,DHARAMSHALA,IND,0,Others,8730000,100000,8630000,18,GEN,KANGRA,BEAS RIVER REGION
