candidate_name,constituency,party,criminal_cases,education,assets,liabilities,net_assets,filed_itr,ac_no,reservations,district,sub_region
Ajay Mahajan,NURPUR,INC,0,Graduate,54166574,10755974,43410600,true,6,GEN,KANGRA,BEAS RIVER REGION
Anil Sharma,MANDI,BJP,1,12th Pass,402482216,20944395,381537821,true,33,GEN,MANDI,BEAS RIVER REGION
Anirudh Singh,KASUMPTI,INC,0,Graduate,162217508,10999355,151218153,true,62,GEN,SHIMLA,SHIMLA REGION
Anup Dhiman,DHARAMSHALA,IND,0,Others,8730000,100000,8630000,true,18,GEN,KANGRA,BEAS RIVER REGION
Arjun Singh,JAWALI,BJP,0,Post Graduate,38871330,0,38871330,true,9,GEN,KANGRA,BEAS RIVER REGION
Arun Kumar,NAGROTA,BJP,0,10th Pass,9129606,0,9129606,true,15,GEN,KANGRA,BEAS RIVER REGION
Asha Kumari,DALHOUSIE,INC,1,Graduate,45310570,6066090,39244480,true,4,GEN,CHAMBA,BEAS RIVER REGION
Ashish Butail,PALAMPUR,INC,0,Graduate,219458723,34592831,184865892,true,19,GEN,KANGRA,BEAS RIVER REGION
Ashwani Kajal,DHARAMSHALA,Bahujan Mukti Party,0,Graduate,14826000,2750000,12076000,true,18,GEN,KANGRA,BEAS RIVER REGION
Baini Parshad,PALAMPUR,IND,1,Post Graduate,17432768,1200000,16232768,true,19,GEN,KANGRA,BEAS RIVER REGION
Bal Krishan Chauhan,CHAMBA,IND,1,Post Graduate,18061322,0,18061322,true,3,GEN,CHAMBA,BEAS RIVER REGION
Balak Ram Sharma,SRI NAINA DEVIJI,All India Forward Bloc,0,12th Pass,6042543,1214000,4828543,true,49,GEN,BILASPUR,SHIVALIK REGION
Balbir Singh,CHINTPURNI,BJP,1,Graduate,45411401,51766017,-6354616,true,41,SC,UNA,BEAS RIVER REGION
Balbir Singh,SRI RENUKAJI,BJP,0,Post Graduate,7815428,330812,7484616,true,57,SC,SIRMOUR,SHIVALIK REGION
Baldev Sharma,BARSAR,BJP,0,12th Pass,29975141,7565895,22409246,true,39,GEN,HAMIRPUR,SHIVALIK REGION
Baldev Singh,SHILLAI,BJP,0,Graduate,58788254,20800000,37988254,true,59,GEN,SIRMOUR,SHIVALIK REGION
Balvir Singh Verma,CHOPAL,BJP,0,12th Pass,907329000,267334000,639995000,true,60,GEN,SHIMLA,SHIMLA REGION
Beeru Ram Kishore,JHANDUTA,INC,0,Graduate Professional,15776008,7143169,8632839,true,46,SC,BILASPUR,SHIVALIK REGION
Bidhi Chand,FATEHPUR,IND,0,Post Graduate,10706489,0,10706489,true,8,GEN,KANGRA,BEAS RIVER REGION
Bikram Singh,JASWAN-PRAGPUR,BJP,1,Graduate Professional,7433840,2219713,5214127,true,11,GEN,KANGRA,BEAS RIVER REGION
Bikram Singh Jaryal,BHATTIYAT,BJP,1,Graduate,6448000,5000000,1448000,true,5,GEN,CHAMBA,BEAS RIVER REGION
Bikram Singh Rana,SULLAH,IND,0,10th Pass,8793116,2604910,6188206,true,14,GEN,KANGRA,BEAS RIVER REGION
Bumber Thakur,BILASPUR,INC,1,Graduate Professional,44683505,5744834,38938671,true,48,GEN,BILASPUR,SHIVALIK REGION
Champa Thakur,MANDI,INC,0,Post Graduate,17761708,2383329,15378379,true,33,GEN,MANDI,BEAS RIVER REGION
Chander Kumar,JAWALI,INC,0,Post Graduate,61260532,2099140,59161392,true,9,GEN,KANGRA,BEAS RIVER REGION
Chander Shekhar,DHARAMPUR,INC,0,Graduate Professional,2249357,161000,2088357,true,32,GEN,MANDI,BEAS RIVER REGION
