candidate_name,constituency,party,criminal_cases,education,assets,liabilities,net_assets,declared_pan,ac_no,reservations,district,sub_region
Ashish Kumar,HAMIRPUR,IND,0,Graduate Professional,10500,0,10500,false,38,GEN,HAMIRPUR,SHIVALIK REGION
Bal Mukund,PALAMPUR,BSP,0,5th Pass,5220000,0,5220000,false,19,GEN,KANGRA,BEAS RIVER REGION
Basant Ram Sandhu,BILASPUR,IND,0,12th Pass,2006000,0,2006000,false,48,GEN,BILASPUR,SHIVALIK REGION
Bir Singh,BAIJNATH,IND,0,Graduate,96636,0,96636,false,20,SC,KANGRA,BEAS RIVER REGION
Chaman Lal,KARSOG,BSP,0,10th Pass,190120,0,190120,false,26,SC,MANDI,BEAS RIVER REGION
Churamani,DARANG,IND,0,10th Pass,3788,0,3788,false,30,GEN,MANDI,BEAS RIVER REGION
Hari Singh Panwar,CHOPAL,IND,0,Graduate Professional,3593000,0,3593000,false,60,GEN,SHIMLA,SHIMLA REGION
Harnam Singh,NURPUR,BSP,0,8th Pass,705955,0,705955,false,6,GEN,KANGRA,BEAS RIVER REGION
Hem Raj,SARKAGHAT,IND,0,10th Pass,3046000,64000,2982000,false,35,GEN,MANDI,BEAS RIVER REGION
Joginder Kumar,SUJANPUR,CPI(M),0,Graduate Professional,7545864,0,7545864,false,37,GEN,HAMIRPUR,SHIVALIK REGION
Lekh Raj Katnoria,GAGRET,BSP,0,10th Pass,680000,200000,480000,false,42,GEN,UNA,BEAS RIVER REGION
Madan Lal,BHORANJ,Samaj Adhikar Kalyan Party,0,8th Pass,290000,0,290000,false,36,SC,HAMIRPUR,SHIVALIK REGION
Paras Ram,CHAMBA,BSP,0,12th Pass,1010000,0,1010000,false,3,GEN,CHAMBA,BEAS RIVER REGION
Ramesh Kumar,DARANG,BSP,0,8th Pass,73709,50000,23709,false,30,GEN,MANDI,BEAS RIVER REGION
Saju Ram,DHARAMPUR,IND,0,8th Pass,210000,10000,200000,false,32,GEN,MANDI,BEAS RIVER REGION
Saroti Devi,BARSAR,BSP,0,5th Pass,681000,650000,31000,false,39,GEN,HAMIRPUR,SHIVALIK REGION
Sh. Mehar Singh Khukhaliya,KARSOG,Rashtriya Azad Manch,3,10th Pass,6560000,25000,6535000,false,26,SC,MANDI,BEAS RIVER REGION
Sh. Pawan Kumar,KARSOG,IND,0,Post Graduate,311000,0,311000,false,26,SC,MANDI,BEAS RIVER REGION
Sunder Lal,SERAJ,BSP,0,8th Pass,9000,0,9000,false,29,GEN,MANDI,BEAS RIVER REGION
Surender,PAONTA SAHIB,IND,0,8th Pass,22000,50000,-28000,false,58,GEN,SIRMOUR,SHIVALIK REGION
