candidate_name,party,url_comparison,url_candidate,assets_this,assets_last,assets_change,assets_change_pct,remarks,constituency,criminal_cases,education,ac_no,reservations,district,sub_region
Balvir Singh Verma,BJP,http://myneta.info/HimachalPradesh2017/index.php?action=affidavitComparison&myneta_folder2=hp2012&id1=3359&id2=347,http://myneta.info/HimachalPradesh2017/candidate.php?candidate_id=3359,907329000,412037000,495292000,120%,Party in last election was IND,CHOPAL,0,12th Pass,60,GEN,SHIMLA,SHIMLA REGION
Rohit Thakur,INC,http://myneta.info/HimachalPradesh2017/index.php?action=affidavitComparison&myneta_folder2=hp2012&id1=3381&id2=299,http://myneta.info/HimachalPradesh2017/candidate.php?candidate_id=3381,278237915,47383843,230854072,487%,Age Difference=-38,JUBBAL-KOTKHAI,0,Graduate,65,GEN,SHIMLA,SHIMLA REGION
G S Bali,INC,http://myneta.info/HimachalPradesh2017/index.php?action=affidavitComparison&myneta_folder2=hp2012&id1=3245&id2=163,http://myneta.info/HimachalPradesh2017/candidate.php?candidate_id=3245,449644670,248554692,201089978,81%,,NAGROTA,0,Not Given,15,GEN,KANGRA,BEAS RIVER REGION
Mahender Singh,BJP,http://myneta.info/HimachalPradesh2017/index.php?action=affidavitComparison&myneta_folder2=hp2012&id1=3105&id2=493,http://myneta.info/HimachalPradesh2017/candidate.php?candidate_id=3105,156335376,15813888,140521488,889%,,DHARAMPUR,1,12th Pass,32,GEN,MANDI,BEAS RIVER REGION
Maheshwar Singh,BJP,http://myneta.info/HimachalPradesh2017/index.php?action=affidavitComparison&myneta_folder2=hp2012&id1=3192&id2=307,http://myneta.info/HimachalPradesh2017/candidate.php?candidate_id=3192,179950412,50997060,128953352,253%,Party in last election was HLP,KULLU,0,12th Pass,23,GEN,KULLU,BEAS RIVER REGION
Sujan Singh Pathania,INC,http://myneta.info/HimachalPradesh2017/index.php?action=affidavitComparison&myneta_folder2=hp2012&id1=3124&id2=397,http://myneta.info/HimachalPradesh2017/candidate.php?candidate_id=3124,191577529,62844666,128732863,205%,,FATEHPUR,0,Graduate,8,GEN,KANGRA,BEAS RIVER REGION
Rakesh Kalia,INC,http://myneta.info/HimachalPradesh2017/index.php?action=affidavitComparison&myneta_folder2=hp2012&id1=3137&id2=549,http://myneta.info/HimachalPradesh2017/candidate.php?candidate_id=3137,189600646,79910832,109689814,137%,,GAGRET,0,Graduate,42,GEN,UNA,BEAS RIVER REGION
Anil Sharma,BJP,http://myneta.info/HimachalPradesh2017/index.php?action=affidavitComparison&myneta_folder2=hp2012&id1=3289&id2=40,http://myneta.info/HimachalPradesh2017/candidate.php?candidate_id=3289,402482216,297094970,105387246,35%,Party in last election was INC,MANDI,1,12th Pass,33,GEN,MANDI,BEAS RIVER REGION
Anirudh Singh,INC,http://myneta.info/HimachalPradesh2017/index.php?action=affidavitComparison&myneta_folder2=hp2012&id1=3189&id2=211,http://myneta.info/HimachalPradesh2017/candidate.php?candidate_id=3189,162217508,77830000,84387508,108%,,KASUMPTI,0,Graduate,62,GEN,SHIMLA,SHIMLA REGION
Mukesh Agnihotri,INC,http://myneta.info/HimachalPradesh2017/index.php?action=affidavitComparison&myneta_folder2=hp2012&id1=3143&id2=130,http://myneta.info/HimachalPradesh2017/candidate.php?candidate_id=3143,77507137,16607786,60899351,367%,,HAROLI,0,Graduate,43,GEN,UNA,BEAS RIVER REGION
Baldev Singh,BJP,http://myneta.info/HimachalPradesh2017/index.php?action=affidavitComparison&myneta_folder2=hp2012&id1=3439&id2=80,http://myneta.info/HimachalPradesh2017/candidate.php?candidate_id=3439,58788254,5613072,53175182,947%,,SHILLAI,0,Graduate,59,GEN,SIRMOUR,SHIVALIK REGION
Govind Singh Thakur,BJP,http://myneta.info/HimachalPradesh2017/index.php?action=affidavitComparison&myneta_folder2=hp2012&id1=3268&id2=517,http://myneta.info/HimachalPradesh2017/candidate.php?candidate_id=3268,68235051,18607242,49627809,267%,PAN is Different,MANALI,3,Graduate,22,GEN,KULLU,BEAS RIVER REGION
Pawan Kumar Kajal,INC,http://myneta.info/HimachalPradesh2017/index.php?action=affidavitComparison&myneta_folder2=hp2012&id1=3246&id2=544,http://myneta.info/HimachalPradesh2017/candidate.php?candidate_id=3246,75733767,29663794,46069973,155%,Party in last election was IND,KANGRA,0,10th Pass,16,GEN,KANGRA,BEAS RIVER REGION
Kaul Singh,INC,http://myneta.info/HimachalPradesh2017/index.php?action=affidavitComparison&myneta_folder2=hp2012&id1=3098&id2=474,http://myneta.info/HimachalPradesh2017/candidate.php?candidate_id=3098,80384352,35456640,44927712,127%,,DARANG,0,Graduate Professional,30,GEN,MANDI,BEAS RIVER REGION
Ram Kumar,INC,http://myneta.info/HimachalPradesh2017/index.php?action=affidavitComparison&myneta_folder2=hp2012&id1=3342&id2=270,http://myneta.info/HimachalPradesh2017/candidate.php?candidate_id=3342,408144720,364431106,43713614,12%,,DOON,3,Post Graduate,52,GEN,SOLAN,SHIVALIK REGION
Rajinder Singh,INC,http://myneta.info/HimachalPradesh2017/index.php?action=affidavitComparison&myneta_folder2=hp2012&id1=3301&id2=122,http://myneta.info/HimachalPradesh2017/candidate.php?candidate_id=3301,264833629,223187546,41646083,19%,Party in last election was IND,SUJANPUR,0,Graduate,37,GEN,HAMIRPUR,SHIVALIK REGION
Inder Dutt Lakhanpal,INC,http://myneta.info/HimachalPradesh2017/index.php?action=affidavitComparison&myneta_folder2=hp2012&id1=3063&id2=248,http://myneta.info/HimachalPradesh2017/candidate.php?candidate_id=3063,44098037,3852250,40245787,1045%,PAN is Different,BARSAR,0,Graduate,39,GEN,HAMIRPUR,SHIVALIK REGION
Bumber Thakur,INC,http://myneta.info/HimachalPradesh2017/index.php?action=affidavitComparison&myneta_folder2=hp2012&id1=3339&id2=323,http://myneta.info/HimachalPradesh2017/candidate.php?candidate_id=3339,44683505,10210000,34473505,338%,Age Difference=-43,BILASPUR,1,Graduate Professional,48,GEN,BILASPUR,SHIVALIK REGION
Thakur Singh Bharmouri,INC,http://myneta.info/HimachalPradesh2017/index.php?action=affidavitComparison&myneta_folder2=hp2012&id1=3217&id2=367,http://myneta.info/HimachalPradesh2017/candidate.php?candidate_id=3217,65784511,31954377,33830134,106%,,BHARMOUR,0,Graduate,2,ST,CHAMBA,BEAS RIVER REGION
Kirnesh Jung,INC,http://myneta.info/HimachalPradesh2017/index.php?action=affidavitComparison&myneta_folder2=hp2012&id1=3354&id2=350,http://myneta.info/HimachalPradesh2017/candidate.php?candidate_id=3354,83889425,50311813,33577612,67%,Party in last election was IND,PAONTA SAHIB,0,12th Pass,58,GEN,SIRMOUR,SHIVALIK REGION
Kishori Lal,INC,http://myneta.info/HimachalPradesh2017/index.php?action=affidavitComparison&myneta_folder2=hp2012&id1=3261&id2=466,http://myneta.info/HimachalPradesh2017/candidate.php?candidate_id=3261,41455034,9879869,31575165,320%,,BAIJNATH,0,10th Pass,20,SC,KANGRA,BEAS RIVER REGION
Virender Singh Kanwar,BJP,http://myneta.info/HimachalPradesh2017/index.php?action=affidavitComparison&myneta_folder2=hp2012&id1=3329&id2=363,http://myneta.info/HimachalPradesh2017/candidate.php?candidate_id=3329,33821430,7687681,26133749,340%,,KUTLEHAR,0,Graduate Professional,45,GEN,UNA,BEAS RIVER REGION
Ajay Mahajan,INC,http://myneta.info/HimachalPradesh2017/index.php?action=affidavitComparison&myneta_folder2=hp2012&id1=3209&id2=132,http://myneta.info/HimachalPradesh2017/candidate.php?candidate_id=3209,54166574,29620829,24545745,83%,,NURPUR,0,Graduate,6,GEN,KANGRA,BEAS RIVER REGION
Vinay Kumar,INC,http://myneta.info/HimachalPradesh2017/index.php?action=affidavitComparison&myneta_folder2=hp2012&id1=3352&id2=89,http://myneta.info/HimachalPradesh2017/candidate.php?candidate_id=3352,33044987,10637000,22407987,211%,,SRI RENUKAJI,0,10th Pass,57,SC,SIRMOUR,SHIVALIK REGION
Nand Lal,INC,http://myneta.info/HimachalPradesh2017/index.php?action=affidavitComparison&myneta_folder2=hp2012&id1=3384&id2=376,http://myneta.info/HimachalPradesh2017/candidate.php?candidate_id=3384,30504900,9454454,21050446,223%,,RAMPUR,0,Post Graduate,66,SC,SHIMLA,SHIMLA REGION
Inder Singh,BJP,http://myneta.info/HimachalPradesh2017/index.php?action=affidavitComparison&myneta_folder2=hp2012&id1=3133&id2=96,http://myneta.info/HimachalPradesh2017/candidate.php?candidate_id=3133,27844813,6988519,20856294,298%,,SARKAGHAT,0,Post Graduate,35,GEN,MANDI,BEAS RIVER REGION
Sarveen,BJP,http://myneta.info/HimachalPradesh2017/index.php?action=affidavitComparison&myneta_folder2=hp2012&id1=3108&id2=428,http://myneta.info/HimachalPradesh2017/candidate.php?candidate_id=3108,41948982,21697350,20251632,93%,,SHAHPUR,0,Post Graduate,17,GEN,KANGRA,BEAS RIVER REGION
Ravi Thakur,INC,http://myneta.info/HimachalPradesh2017/index.php?action=affidavitComparison&myneta_folder2=hp2012&id1=3265&id2=111,http://myneta.info/HimachalPradesh2017/candidate.php?candidate_id=3265,187551060,167507216,20043844,12%,,LAHAUL & SPITI,0,Graduate,21,ST,LAHAUL & SPITI,GREATER HIMALAYAS
Sudhir Sharma,INC,http://myneta.info/HimachalPradesh2017/index.php?action=affidavitComparison&myneta_folder2=hp2012&id1=3117&id2=433,http://myneta.info/HimachalPradesh2017/candidate.php?candidate_id=3117,47713829,28425954,19287875,68%,,DHARAMSHALA,0,Graduate,18,GEN,KANGRA,BEAS RIVER REGION
Jai Ram Thakur,BJP,http://myneta.info/HimachalPradesh2017/index.php?action=affidavitComparison&myneta_folder2=hp2012&id1=3120&id2=31,http://myneta.info/HimachalPradesh2017/candidate.php?candidate_id=3120,32799144,14190820,18608324,131%,,SERAJ,0,Graduate,29,GEN,MANDI,BEAS RIVER REGION
Asha Kumari,INC,http://myneta.info/HimachalPradesh2017/index.php?action=affidavitComparison&myneta_folder2=hp2012&id1=3221&id2=227,http://myneta.info/HimachalPradesh2017/candidate.php?candidate_id=3221,45310570,27723103,17587467,63%,PAN is Different,DALHOUSIE,1,Graduate,4,GEN,CHAMBA,BEAS RIVER REGION
