candidate_name,url,constituency,party,criminal_cases,education,assets,liabilities,net_assets,ac_no,reservations,district,sub_region,filed_itr,declared_pan,serious_criminal_cases,gender
A GANESHA,http://myneta.info/karnatka2008/candidate.php?candidate_id=1832,Narasimharaja,SKP,0,Graduate,793887,153751,640136,218,GEN,MYSORE,MYSORE DIVISION,,true,false,Male
A NARAYANASWAMY,http://myneta.info/karnatka2008/candidate.php?candidate_id=41,Anekal,BJP,0,Not Given,31100000,0,31100000,177,SC,BANGALORE,BANGALORE DIVISION,,false,false,Male
A PANCHAKSHARI REDDY,http://myneta.info/karnatka2008/candidate.php?candidate_id=1413,Sidlaghatta,IND,0,10th Pass,735000,425000,310000,142,GEN,CHIKBALLAPUR,BANGALORE DIVISION,,true,false,Male
A RAVI,http://myneta.info/karnatka2008/candidate.php?candidate_id=52,Byatarayanapura,BJP,0,12th Pass,64858000,2070026,62787974,152,GEN,BANGALORE,BANGALORE DIVISION,,true,false,Male
A SOMASHEKAR,http://myneta.info/karnatka2008/candidate.php?candidate_id=1901,Bangalore South,IND,0,Graduate,14706500,160000,14546500,176,GEN,BANGALORE,BANGALORE DIVISION,,false,false,Male
A. LAKSHMINARAYANA,http://myneta.info/karnatka2008/candidate.php?candidate_id=161,Hebbal,RPI(A),0,10th Pass,2000000,0,2000000,158,GEN,BANGALORE,BANGALORE DIVISION,,false,false,Male
A. LOKESH GOWDA,http://myneta.info/karnatka2008/candidate.php?candidate_id=155,Hebbal,JD(S),0,12th Pass,41430000,17500000,23930000,158,GEN,BANGALORE,BANGALORE DIVISION,,false,false,Male
A. PAPANNA,http://myneta.info/karnatka2008/candidate.php?candidate_id=105,B.T.M. Layout,BSP,0,5th Pass,14300000,2300000,12000000,172,GEN,BANGALORE,BANGALORE DIVISION,,true,false,Male
A. T. RAMASWAMY,http://myneta.info/karnatka2008/candidate.php?candidate_id=1664,Arkalgud,JD(S),0,Graduate Professional,16735363,0,16735363,198,GEN,HASSAN,MYSORE DIVISION,,false,false,Male
A.ANANDRAJ,http://myneta.info/karnatka2008/candidate.php?candidate_id=1467,Kolar Gold Field,ADMK,0,Graduate,255000,547829,-292829,146,SC,KOLAR,BANGALORE DIVISION,,true,false,Male
A.B. MAALAKRADDY,http://myneta.info/karnatka2008/candidate.php?candidate_id=548,Yadgir,INC,0,Not Given,11528300,0,11528300,38,GEN,YADGIR,GULBARGA REGION,,true,false,Male
A.B.HOSAMANI,http://myneta.info/karnatka2008/candidate.php?candidate_id=601,Gulbarga Dakshin,RPI,0,12th Pass,220000,0,220000,44,GEN,GULBARGA,GULBARGA REGION,,false,false,Male
A.B.RAMESHA BANDISIDDEGOWDA,http://myneta.info/karnatka2008/candidate.php?candidate_id=1602,Shrirangapattana,JD(S),0,12th Pass,5669250,0,5669250,190,GEN,MANDYA,MYSORE DIVISION,,true,false,Male
A.C. RANGASWAMY,http://myneta.info/karnatka2008/candidate.php?candidate_id=1364,Madhugiri,IND,0,Not Given,57545000,0,57545000,138,GEN,TUMKUR,BANGALORE DIVISION,,false,false,Male
A.C.S.CYCLIST BABU,http://myneta.info/karnatka2008/candidate.php?candidate_id=1125,Channagiri,IND,0,12th Pass,0,0,0,109,GEN,DAVANAGERE,BANGALORE DIVISION,,false,false,Male
A.DAYANANDA,http://myneta.info/karnatka2008/candidate.php?candidate_id=1164,Shimoga,IND,0,Not Given,165000,50000,115000,113,GEN,SHIMOGA,BANGALORE DIVISION,,false,false,Male
A.K.HANUMANTHAPPA DUGGAPPANAVARU,http://myneta.info/karnatka2008/candidate.php?candidate_id=1120,Mayakonda,CPI(ML)(L),0,12th Pass,1280000,490000,790000,108,SC,DAVANAGERE,BANGALORE DIVISION,,false,false,Male
