candidate_name,url,constituency,party,criminal_cases,education,assets,liabilities,net_assets,ac_no,reservations,district,sub_region,filed_itr,declared_pan,serious_criminal_cases,gender,recontest_url,recontest_assets_this,recontest_assets_last,recontest_assets_change,recontest_assets_change_pct,recontest_remarks
Ankush Lingappa  Chitta,http://myneta.info/karnataka2013/candidate.php?candidate_id=1718,HUMNABAD,BSP,0,12th Pass,3656000,400000,3256000,48,GEN,BIDAR,GULBARGA REGION,true,true,false,Male,,,,,,
Fairoz Ali Khan,http://myneta.info/karnataka2013/candidate.php?candidate_id=2747,RAMANAGARAM,SDPI,1,8th Pass,2550000,0,2550000,183,GEN,RAMANAGARA,BANGALORE DIVISION,false,false,false,Male,,,,,,
K. Govinda Raju,http://myneta.info/karnataka2013/candidate.php?candidate_id=2631,CHAMUNDESHWARI,SJP(K),0,Graduate,1536195,0,1536195,215,GEN,MYSORE,MYSORE DIVISION,false,true,false,Male,,,,,,
Nanjegowda R.,http://myneta.info/karnataka2013/candidate.php?candidate_id=2865,TUMKUR CITY,IND,0,Graduate,686525,90000,596525,132,GEN,TUMKUR,BANGALORE DIVISION,false,true,false,Male,,,,,,
Patanakar Ganesh,http://myneta.info/karnataka2013/candidate.php?candidate_id=2948,YELLAPUR,IND,0,10th Pass,3170300,32980,3137320,81,GEN,UTTARA KANNADA,BELGAUM DIVISION,false,false,false,Male,,,,,,
Umakanth S Kshatriya,http://myneta.info/karnataka2013/candidate.php?candidate_id=2947,YELLAPUR,IND,0,5th Pass,1165000,420520,744480,81,GEN,UTTARA KANNADA,BELGAUM DIVISION,false,false,false,Male,,,,,,
1 R.P.Nanjundaswamy,http://myneta.info/karnataka2013/candidate.php?candidate_id=1859,CHAMARAJANAGAR,BSP,2,12th Pass,150000,100000,50000,223,GEN,CHAMARAJANAGAR,MYSORE DIVISION,false,false,false,Male,,,,,,
A Anthoni,http://myneta.info/karnataka2013/candidate.php?candidate_id=1502,DASARAHALLI,IND,0,10th Pass,229000,0,229000,155,GEN,BANGALORE,BANGALORE DIVISION,false,false,false,Male,,,,,,
A C S Cyclist Babu,http://myneta.info/karnataka2013/candidate.php?candidate_id=2135,CHANNAGIRI,IND,0,12th Pass,835000,350000,485000,109,GEN,DAVANAGERE,BANGALORE DIVISION,false,false,false,Male,,,,,,
A C Srinivas,http://myneta.info/karnataka2013/candidate.php?candidate_id=380,MAHADEVAPURA,INC,1,Graduate,883989816,99073215,784916601,174,SC,BANGALORE,BANGALORE DIVISION,true,true,true,Male,,,,,,
A G Vishwanath,http://myneta.info/karnataka2013/candidate.php?candidate_id=854,HARAPANAHALLI,JD(S),0,Graduate Professional,8321000,475000,7846000,104,GEN,DAVANAGERE,BANGALORE DIVISION,false,false,false,Male,,,,,,
A R Srinivasamurthy,http://myneta.info/karnataka2013/candidate.php?candidate_id=2833,GUBBI,IND,0,10th Pass,1080000,435000,645000,135,GEN,TUMKUR,BANGALORE DIVISION,false,true,false,Male,,,,,,
A T Ramaswamy,http://myneta.info/karnataka2013/candidate.php?candidate_id=577,ARAKALGUD,JD(S),0,Graduate,32438077,0,32438077,198,GEN,HASSAN,MYSORE DIVISION,true,true,false,Male,,,,,,
A V Byregowda,http://myneta.info/karnataka2013/candidate.php?candidate_id=305,CHIKKABALLAPUR,BJP,0,Graduate,5146672,650000,4496672,141,GEN,CHIKBALLAPUR,BANGALORE DIVISION,true,true,false,Male,,,,,,
A Venkatesh Naik,http://myneta.info/karnataka2013/candidate.php?candidate_id=364,DEVADURGA,INC,0,12th Pass,18974790,1000000,17974790,56,ST,RAICHUR,GULBARGA REGION,true,true,false,Male,,,,,,
A. Chowarappa,http://myneta.info/karnataka2013/candidate.php?candidate_id=1527,BANGALORE SOUTH,IND,0,10th Pass,7080000,0,7080000,176,GEN,BANGALORE,BANGALORE DIVISION,false,false,false,Male,,,,,,
A. Devadas,http://myneta.info/karnataka2013/candidate.php?candidate_id=1662,BELLARY,SUCI(C),0,10th Pass,251394,0,251394,93,ST,BELLARY,GULBARGA REGION,false,false,false,Male,,,,,,
A. Hemanthkumar  Gowda,http://myneta.info/karnataka2013/candidate.php?candidate_id=508,CHAMUNDESHWARI,BJP,0,12th Pass,8163394,0,8163394,215,GEN,MYSORE,MYSORE DIVISION,true,false,false,Male,,,,,,
A. Kantharubhan,http://myneta.info/karnataka2013/candidate.php?candidate_id=2479,KOLAR GOLD FIELD,IND,0,Post Graduate,254500,0,254500,146,SC,KOLAR,BANGALORE DIVISION,false,false,false,Male,,,,,,
A. Keshavamurthy,http://myneta.info/karnataka2013/candidate.php?candidate_id=2013,CHITRADURGA,IND,0,12th Pass,325000,0,325000,99,GEN,CHITRADURGA,BANGALORE DIVISION,false,false,false,Male,,,,,,
A. Narayanaswamy,http://myneta.info/karnataka2013/candidate.php?candidate_id=1533,ANEKAL,IND,0,10th Pass,4070000,0,4070000,177,SC,BANGALORE,BANGALORE DIVISION,false,false,false,Male,,,,,,
A. Narayanaswamy,http://myneta.info/karnataka2013/candidate.php?candidate_id=384,ANEKAL,BJP,0,Graduate,79202895,41003370,38199525,177,SC,BANGALORE,BANGALORE DIVISION,true,true,false,Male,http://myneta.info/karnataka2013/index.php?action=affidavitComparison&myneta_folder2=karnatka2008&id1=384&id2=41,79202895,31100000,48102895,155%,PAN was missing last time
A. Prakash Jain,http://myneta.info/karnataka2013/candidate.php?candidate_id=2379,RANEBENNUR,IND,1,8th Pass,5252864,0,5252864,87,GEN,HAVERI,BELGAUM DIVISION,false,true,true,Male,,,,,,
A. Ravi Kumar,http://myneta.info/karnataka2013/candidate.php?candidate_id=623,C.V. RAMANNNAGAR,KJP,0,10th Pass,1351750,0,1351750,161,SC,BANGALORE,BANGALORE DIVISION,false,true,false,Male,,,,,,
A. Sreenivasa Reddy,http://myneta.info/karnataka2013/candidate.php?candidate_id=772,DEVARA HIPPARGI,BSRC,0,Graduate,4480000,25000,4455000,27,GEN,BIJAPUR,BELGAUM DIVISION,true,true,false,Male,,,,,,
A.Angara,http://myneta.info/karnataka2013/candidate.php?candidate_id=2057,SULLIA,IND,0,5th Pass,1125848,122000,1003848,207,SC,DAKSHINA KANNADA,MYSORE DIVISION,false,false,false,Male,,,,,,
A.B. Hosmani,http://myneta.info/karnataka2013/candidate.php?candidate_id=2264,GULBARGA DAKSHIN,RPI(A),0,12th Pass,210000,0,210000,44,GEN,GULBARGA,GULBARGA REGION,false,false,false,Male,,,,,,
A.Byregowda,http://myneta.info/karnataka2013/candidate.php?candidate_id=1486,BYATARAYANAPURA,IND,0,12th Pass,2810212,0,2810212,152,GEN,BANGALORE,BANGALORE DIVISION,false,false,false,Male,,,,,,
A.Chittappa Yadav,http://myneta.info/karnataka2013/candidate.php?candidate_id=1969,HOSADURGA,SP,0,Post Graduate,1990000,390000,1600000,101,GEN,CHITRADURGA,BANGALORE DIVISION,false,false,false,Male,,,,,,
A.G.Krishnamurthy,http://myneta.info/karnataka2013/candidate.php?candidate_id=2754,MAGADI,Bharatiya Dr. B.R. Ambedkar Janata Party,0,Literate,50000,0,50000,182,GEN,RAMANAGARA,BANGALORE DIVISION,false,false,false,Male,,,,,,
A.Hanumanthappa,http://myneta.info/karnataka2013/candidate.php?candidate_id=660,DEVANAHALLI,KJP,0,Post Graduate,10243000,4500000,5743000,179,SC,BANGALORE RURAL,BANGALORE DIVISION,true,true,false,Male,,,,,,
A.Hemalatha,http://myneta.info/karnataka2013/candidate.php?candidate_id=1344,PULAKESHINAGAR,SDPI,0,Post Graduate,4775000,820000,3955000,159,SC,BANGALORE,BANGALORE DIVISION,false,true,false,Female,,,,,,
A.K. Manjappa,http://myneta.info/karnataka2013/candidate.php?candidate_id=2117,MAYAKONDA,HND,0,10th Pass,750000,0,750000,108,SC,DAVANAGERE,BANGALORE DIVISION,false,false,false,Male,,,,,,
A.Krishnappa,http://myneta.info/karnataka2013/candidate.php?candidate_id=828,HIRIYUR,JD(S),0,Graduate,543060693,175865011,367195682,100,GEN,CHITRADURGA,BANGALORE DIVISION,true,true,false,Male,,,,,,
A.L.Nanjappa,http://myneta.info/karnataka2013/candidate.php?candidate_id=2873,KUNIGAL,IND,1,5th Pass,2560000,0,2560000,131,GEN,TUMKUR,BANGALORE DIVISION,false,false,false,Male,,,,,,
A.M. Veeraiah,http://myneta.info/karnataka2013/candidate.php?candidate_id=2100,DAVANAGERE NORTH,IND,0,12th Pass,6048994,0,6048994,106,GEN,DAVANAGERE,BANGALORE DIVISION,false,false,false,Male,,,,,,
A.Manjunath,http://myneta.info/karnataka2013/candidate.php?candidate_id=489,MAGADI,INC,3,Graduate Professional,39650000,3975000,35675000,182,GEN,RAMANAGARA,BANGALORE DIVISION,true,true,true,Male,,,,,,
