candidate_name,url,constituency,party,criminal_cases,education,assets,liabilities,net_assets,ac_no,reservations,district,sub_region,filed_itr,declared_pan,serious_criminal_cases,gender,party_eci
A. HAI KHAN URF BABBU PATEL,http://myneta.info/2008mp/candidate.php?candidate_id=2520,Paraswada,IND,0,5th Pass,3098018,328397,2769621,110,GEN,BALAGHAT,CHHATTISGARH PLAINS,,FALSE,FALSE,Male,Independent
A.GAFOOR (GUDDU PEERJI),http://myneta.info/2008mp/candidate.php?candidate_id=1328,Badwah,IND,0,5th Pass,344000,0,344000,182,GEN,KHARGONE,NIMAR VALLEY,,TRUE,FALSE,Male,Independent
A.K.KHAN,http://myneta.info/2008mp/candidate.php?candidate_id=1337,Bahoriband,AIFB,1,12th Pass,1375000,0,1375000,94,GEN,KATNI,NOTHERN HILLS ZONE OF CHHATTISGARH,,FALSE,FALSE,Male,All India Forward Bloc
A.P.GOSWAMI,http://myneta.info/2008mp/candidate.php?candidate_id=3012,Singrauli,IND,0,12th Pass,67000,700000,-633000,80,GEN,SINGRAULI,KYMORE PLEATEAU AND SATPURA HILLS,,TRUE,FALSE,Male,Independent
AABLYA,http://myneta.info/2008mp/candidate.php?candidate_id=2866,Sendhawa,IND,0,8th Pass,391000,0,391000,187,ST,BARWANI,NIMAR VALLEY,,FALSE,FALSE,Male,Independent
AADAN SINGH SALAME,http://myneta.info/2008mp/candidate.php?candidate_id=1409,Barghat,IND,0,Not Given,681000,0,681000,114,ST,SEONI,KYMORE PLEATEAU AND SATPURA HILLS,,FALSE,FALSE,Male,Independent
AAZAD CHANDRA SHEKHER PANDOLE SAMAJ SEVEK,http://myneta.info/2008mp/candidate.php?candidate_id=680,Betul,IND,1,Graduate,11900,20000,-8100,131,GEN,BETUL,SATPURA PLATEAU,,FALSE,TRUE,Male,Independent
ABADHRAJ SINGH,http://myneta.info/2008mp/candidate.php?candidate_id=1033,Deori,GGP,0,10th Pass,755000,0,755000,38,GEN,SAGAR,VINDHYAN PLEATEAU,,FALSE,FALSE,Male,Gondvana Gantantra Party
ABDUL HAMID KHAN (BABAN),http://myneta.info/2008mp/candidate.php?candidate_id=1971,Jabalpur Uttar,IND,0,5th Pass,900000,0,900000,98,GEN,JABALPUR,KYMORE PLEATEAU AND SATPURA HILLS,,FALSE,FALSE,Male,Independent
ABDUL HAQ,http://myneta.info/2008mp/candidate.php?candidate_id=1188,Balaghat,GGP,0,Literate,3201200,0,3201200,111,GEN,BALAGHAT,CHHATTISGARH PLAINS,,FALSE,FALSE,Male,Gondvana Gantantra Party
ABDUL JABBAR,http://myneta.info/2008mp/candidate.php?candidate_id=2927,Shamshabad,IND,0,Literate,539000,0,539000,148,GEN,VIDISHA,VINDHYAN PLEATEAU,,FALSE,FALSE,Male,Independent
ABDUL JABBAR,http://myneta.info/2008mp/candidate.php?candidate_id=1543,Budhni,IND,0,Literate,539000,0,539000,156,GEN,SEHORE,VINDHYAN PLEATEAU,,FALSE,FALSE,Male,Independent
ABDUL NAIM,http://myneta.info/2008mp/candidate.php?candidate_id=1518,Bhopal Uttar,GMS,0,12th Pass,0,0,0,150,GEN,BHOPAL,VINDHYAN PLEATEAU,,FALSE,FALSE,Male,Gondwana Mukti Sena
