candidate_name,url,constituency,party,criminal_cases,education,assets,liabilities,net_assets,ac_no,reservations,district,sub_region,filed_itr,declared_pan,serious_criminal_cases,gender,recontest_url,recontest_assets_this,recontest_assets_last,recontest_assets_change,recontest_assets_change_pct,recontest_remarks,party_eci
A P Khosla,http://myneta.info/mp2013/candidate.php?candidate_id=2390,JABALPUR CANTT,IND,0,Graduate,77527,0,77527,99,GEN,JABALPUR,KYMORE PLEATEAU AND SATPURA HILLS,false,true,false,Male,,,,,,,Independent
A. Anies Tank,http://myneta.info/mp2013/candidate.php?candidate_id=1593,JAWAD,NCP,0,Others,88150,0,88150,230,GEN,NEEMUCH,MALWA PLATEAU,false,false,false,Male,,,,,,,Nationalist Congress Party
A. Rajak Khan,http://myneta.info/mp2013/candidate.php?candidate_id=987,UJJAIN NORTH,BSP,0,8th Pass,15000,0,15000,216,GEN,UJJAIN,MALWA PLATEAU,false,false,false,Male,,,,,,,Bahujan Samaj Party
Aary Ravi Parihar,http://myneta.info/mp2013/candidate.php?candidate_id=2267,GADARWARA,IND,0,8th Pass,154527,100000,54527,121,GEN,NARSINGHPUR,CENTRAL NARMADA VALLEY,true,true,false,Male,,,,,,,Independent
Aasha,http://myneta.info/mp2013/candidate.php?candidate_id=1467,BAIHAR,BSP,0,Post Graduate,1186291,108500,1077791,108,ST,BALAGHAT,CHHATTISGARH PLAINS,true,true,false,Female,,,,,,,Bahujan Samaj Party
Aasheesh Mahesh Patidar,http://myneta.info/mp2013/candidate.php?candidate_id=2421,KHARGONE,IND,0,12th Pass,796500,100000,696500,185,GEN,KHARGONE,NIMAR VALLEY,false,false,false,Male,,,,,,,Independent
Aashiq,http://myneta.info/mp2013/candidate.php?candidate_id=1750,SAGAR,SP,0,Graduate,1465000,0,1465000,41,GEN,SAGAR,VINDHYAN PLEATEAU,false,false,false,Male,,,,,,,Samajwadi Party
Aathya Jitendra Kumar,http://myneta.info/mp2013/candidate.php?candidate_id=2445,SANCHI,Aarthik Samanta Party,0,Post Graduate,48437,0,48437,142,SC,RAISEN,VINDHYAN PLEATEAU,false,false,false,Male,,,,,,,Aarthik Samanta Party
Abdul Alim,http://myneta.info/mp2013/candidate.php?candidate_id=436,DAMOH,IND,0,12th Pass,7486500,100000,7386500,55,GEN,DAMOH,VINDHYAN PLEATEAU,true,true,false,Male,,,,,,,Independent
Abdul Irsad Qureshi,http://myneta.info/mp2013/candidate.php?candidate_id=159,BURHANPUR,BSP,0,12th Pass,9880000,0,9880000,180,GEN,BURHANPUR,NIMAR VALLEY,false,false,false,Male,,,,,,,Bahujan Samaj Party
Abdul Kadeer,http://myneta.info/mp2013/candidate.php?candidate_id=1342,REWA,IND,0,Literate,250000,0,250000,74,GEN,REWA,KYMORE PLEATEAU AND SATPURA HILLS,false,false,false,Male,,,,,,,Independent
Abdul Mujib Khan,http://myneta.info/mp2013/candidate.php?candidate_id=765,REWA,INC,0,Graduate Professional,10209662,1300000,8909662,74,GEN,REWA,KYMORE PLEATEAU AND SATPURA HILLS,true,true,false,Male,,,,,,,Indian National Congress
Abdul Rauf,http://myneta.info/mp2013/candidate.php?candidate_id=1078,INDORE - 5,SOCIAL DEMOCRATIC PARTY OF INDIA,0,12th Pass,7398100,0,7398100,208,GEN,INDORE,MALWA PLATEAU,true,true,false,Male,,,,,,,SOCIAL DEMOCRATIC PARTY OF INDIA
Abdul Rauf Mev,http://myneta.info/mp2013/candidate.php?candidate_id=1980,INDORE - 1,IND,0,8th Pass,3560000,0,3560000,204,GEN,INDORE,MALWA PLATEAU,true,true,false,Male,,,,,,,Independent
Abdul Samad,http://myneta.info/mp2013/candidate.php?candidate_id=2710,SIHAWAL,IND,0,5th Pass,1500,0,1500,78,GEN,SIDHI,KYMORE PLEATEAU AND SATPURA HILLS,false,false,false,Male,,,,,,,Independent
Abdul Samad Khan (Patel),http://myneta.info/mp2013/candidate.php?candidate_id=2354,CHHINDWARA,IND,0,12th Pass,3712900,140000,3572900,126,GEN,CHHINDWARA,SATPURA PLATEAU,false,true,false,Male,,,,,,,Independent
Abdul Sameer,http://myneta.info/mp2013/candidate.php?candidate_id=1818,CHHATARPUR,NCP,3,8th Pass,10069224,0,10069224,51,GEN,CHHATARPUR,BUNDELKHAND ZONE,true,true,true,Male,,,,,,,Nationalist Congress Party
Abdul Wafati Ansari,http://myneta.info/mp2013/candidate.php?candidate_id=2063,REWA,Samata Party,0,5th Pass,1104000,180000,924000,74,GEN,REWA,KYMORE PLEATEAU AND SATPURA HILLS,false,false,false,Male,,,,,,,Samata Party
Abhilash Tripathi,http://myneta.info/mp2013/candidate.php?candidate_id=2089,KOTAMA,IND,0,Post Graduate,13119246,1357973,11761273,86,GEN,ANUPPUR,NOTHERN HILLS ZONE OF CHHATTISGARH,true,true,false,Male,,,,,,,Independent
Abhir Param  Bhakt Yadav,http://myneta.info/mp2013/candidate.php?candidate_id=1803,MAHARAJPUR,IND,0,10th Pass,1362000,500000,862000,48,GEN,CHHATARPUR,BUNDELKHAND ZONE,false,false,false,Male,,,,,,,Independent
Abhishek Kumar Patel,http://myneta.info/mp2013/candidate.php?candidate_id=511,GURH,Apna Dal,0,Post Graduate,2518000,910841,1607159,75,GEN,REWA,KYMORE PLEATEAU AND SATPURA HILLS,true,true,false,Male,,,,,,,Apna Dal
Abhishek Shrivastav,http://myneta.info/mp2013/candidate.php?candidate_id=2252,PATAN,IND,0,Post Graduate,236000,0,236000,95,GEN,JABALPUR,KYMORE PLEATEAU AND SATPURA HILLS,true,true,false,Male,,,,,,,Independent
Abhishek Singh Visen,http://myneta.info/mp2013/candidate.php?candidate_id=1933,SATNA,ABHM,0,Post Graduate,174146,0,174146,63,GEN,SATNA,KYMORE PLEATEAU AND SATPURA HILLS,true,true,false,Male,,,,,,,Akhil Bharat Hindu Mahasabha
Abhishek Tiwari,http://myneta.info/mp2013/candidate.php?candidate_id=1350,REWA,Rashtriya Kisan Vikas Party,0,Post Graduate,125000,0,125000,74,GEN,REWA,KYMORE PLEATEAU AND SATPURA HILLS,false,true,false,Male,,,,,,,Rashtriya Kisan Vikas Party
Abid Shah,http://myneta.info/mp2013/candidate.php?candidate_id=124,NEEMUCH,IND,0,Post Graduate,58207,44100,14107,229,GEN,NEEMUCH,MALWA PLATEAU,false,false,false,Male,,,,,,,Independent
Ad. B. M. Koushik,http://myneta.info/mp2013/candidate.php?candidate_id=1507,TENDUKHEDA,BSP,1,Graduate Professional,2775961,116000,2659961,120,GEN,NARSINGHPUR,CENTRAL NARMADA VALLEY,false,true,true,Male,,,,,,,Bahujan Samaj Party
Adal Singh,http://myneta.info/mp2013/candidate.php?candidate_id=584,SUMAOLI,INC,5,8th Pass,12874873,3214250,9660623,5,GEN,MORENA,GIRD ZONE,false,true,true,Male,http://myneta.info/mp2013/index.php?action=affidavitComparison&myneta_folder2=2008mp&id1=584&id2=261,12874873,10334084,2540789,25%,Age Difference=15 PAN was missing last time,Indian National Congress
Adheer Paul,http://myneta.info/mp2013/candidate.php?candidate_id=1945,DR.AMBEDHKAR NAGAR - MHOW,IND,1,12th Pass,1073000,0,1073000,209,GEN,INDORE,MALWA PLATEAU,true,true,false,Male,,,,,,,Independent
Aditi Devsar,http://myneta.info/mp2013/candidate.php?candidate_id=1138,RATLAM CITY,INC,0,Post Graduate,6380696,384806,5995890,220,GEN,RATLAM,MALWA PLATEAU,true,true,false,Female,,,,,,,Indian National Congress
Aditya Kumar Singh Kushwah,http://myneta.info/mp2013/candidate.php?candidate_id=2566,MEHGAON,IND,0,12th Pass,690000,0,690000,12,GEN,BHIND,GIRD ZONE,false,false,false,Male,,,,,,,Independent
Aditya Narayan,http://myneta.info/mp2013/candidate.php?candidate_id=1541,SEONI MALWA,NCP,1,Others,2766940,0,2766940,136,GEN,HOSHANGABAD,CENTRAL NARMADA VALLEY,true,true,true,Male,,,,,,,Nationalist Congress Party
Aditya Rajawat,http://myneta.info/mp2013/candidate.php?candidate_id=1602,GWALIOR EAST,SP,0,Post Graduate,9354296,0,9354296,16,GEN,GWALIOR,GIRD ZONE,true,true,false,Male,,,,,,,Samajwadi Party
Advocate Ajay Kushwah,http://myneta.info/mp2013/candidate.php?candidate_id=2377,VIDISHA,IND,0,Graduate Professional,8480140,280000,8200140,144,GEN,VIDISHA,VINDHYAN PLEATEAU,true,true,false,Male,,,,,,,Independent
Advocate Bharat Patel Chandpur,http://myneta.info/mp2013/candidate.php?candidate_id=2751,REHLI,IND,0,Graduate Professional,238039,0,238039,39,GEN,SAGAR,VINDHYAN PLEATEAU,true,false,false,Male,,,,,,,Independent
Advocate Jaypal Singh Yadav,http://myneta.info/mp2013/candidate.php?candidate_id=1706,CHANDERI,SP,0,Graduate Professional,13393000,1345853,12047147,33,GEN,ASHOK NAGAR,GIRD ZONE,false,true,false,Male,,,,,,,Samajwadi Party
Advocate Siddhartha Gupta,http://myneta.info/mp2013/candidate.php?candidate_id=55,BARGI,Akhil Bhartiya Gondwana Party,1,Post Graduate,118515000,350000,118165000,96,GEN,JABALPUR,KYMORE PLEATEAU AND SATPURA HILLS,true,true,false,Male,,,,,,,Akhil Bhartiya Gondwana Party
Agnihotri Kamlapat,http://myneta.info/mp2013/candidate.php?candidate_id=1815,RAJNAGAR,IND,0,12th Pass,2101651,0,2101651,50,GEN,CHHATARPUR,BUNDELKHAND ZONE,false,true,false,Male,,,,,,,Independent
Aheer Pahalwan Singh,http://myneta.info/mp2013/candidate.php?candidate_id=1845,MALHARA,SP,0,Literate,10537328,0,10537328,53,GEN,CHHATARPUR,BUNDELKHAND ZONE,false,true,false,Male,,,,,,,Samajwadi Party
Ahir Lakhan Yadav,http://myneta.info/mp2013/candidate.php?candidate_id=418,KHURAI,IND,0,12th Pass,844000,0,844000,36,GEN,SAGAR,VINDHYAN PLEATEAU,false,true,false,Male,,,,,,,Independent
Ahirwar Brijesh Kumar,http://myneta.info/mp2013/candidate.php?candidate_id=2106,RAJNAGAR,IND,0,12th Pass,10000,0,10000,50,GEN,CHHATARPUR,BUNDELKHAND ZONE,false,false,false,Male,,,,,,,Independent
Ahirwar Dinesh,http://myneta.info/mp2013/candidate.php?candidate_id=427,JATARA,Akhil Bhartiya Gondwana Party,5,8th Pass,277000,50000,227000,44,SC,TIKAMGARH,BUNDELKHAND ZONE,false,true,true,Male,,,,,,,Akhil Bhartiya Gondwana Party
Ahirwar Dinesh,http://myneta.info/mp2013/candidate.php?candidate_id=1143,PRITHVIPUR,IND,0,8th Pass,500,0,500,45,GEN,TIKAMGARH,BUNDELKHAND ZONE,false,false,false,Male,,,,,,,Independent
Ahirwar Laxman Bhaeya,http://myneta.info/mp2013/candidate.php?candidate_id=1836,BIJAWAR,IND,0,8th Pass,1049700,450000,599700,52,GEN,CHHATARPUR,BUNDELKHAND ZONE,false,false,false,Male,,,,,,,Independent
Ahirwar Naresh Kumar,http://myneta.info/mp2013/candidate.php?candidate_id=632,BINA,BSP,2,Post Graduate,4295000,100000,4195000,35,SC,SAGAR,VINDHYAN PLEATEAU,false,true,true,Male,,,,,,,Bahujan Samaj Party
Ahmad Shaheed Qureshi,http://myneta.info/mp2013/candidate.php?candidate_id=1495,KEOLARI,IND,1,Post Graduate,8716000,386000,8330000,116,GEN,SEONI,KYMORE PLEATEAU AND SATPURA HILLS,true,true,true,Male,,,,,,,Independent
Ajab Lilhare,http://myneta.info/mp2013/candidate.php?candidate_id=295,WARASEONI,IND,0,Post Graduate,7467,0,7467,112,GEN,BALAGHAT,CHHATTISGARH PLAINS,false,false,false,Male,,,,,,,Independent
Ajab Singh,http://myneta.info/mp2013/candidate.php?candidate_id=7,SUMAOLI,BSP,5,Graduate,25508000,0,25508000,5,GEN,MORENA,GIRD ZONE,true,true,true,Male,,,,,,,Bahujan Samaj Party
Ajab Singh Mevada,http://myneta.info/mp2013/candidate.php?candidate_id=2275,ICHHAWAR,IND,0,Graduate,113104,25000,88104,158,GEN,SEHORE,VINDHYAN PLEATEAU,false,true,false,Male,,,,,,,Independent
Ajablal,http://myneta.info/mp2013/candidate.php?candidate_id=296,WARASEONI,BSP,0,Graduate,1657000,720000,937000,112,GEN,BALAGHAT,CHHATTISGARH PLAINS,false,false,false,Male,,,,,,,Bahujan Samaj Party
Ajay Arjun Singh,http://myneta.info/mp2013/candidate.php?candidate_id=258,CHURHAT,INC,2,Post Graduate,254586772,13939632,240647140,76,GEN,SIDHI,KYMORE PLEATEAU AND SATPURA HILLS,true,true,false,Male,http://myneta.info/mp2013/index.php?action=affidavitComparison&myneta_folder2=2008mp&id1=258&id2=409,254586772,70810252,183776520,260%,PAN is Different,Indian National Congress
Ajay Bahya,http://myneta.info/mp2013/candidate.php?candidate_id=1723,KHURAI,IND,0,5th Pass,435000,0,435000,36,GEN,SAGAR,VINDHYAN PLEATEAU,false,false,false,Male,,,,,,,Independent
Ajay Bahya Jhunnilal,http://myneta.info/mp2013/candidate.php?candidate_id=1721,KHURAI,IND,0,12th Pass,73000,0,73000,36,GEN,SAGAR,VINDHYAN PLEATEAU,false,true,false,Male,,,,,,,Independent
Ajay Dubey,http://myneta.info/mp2013/candidate.php?candidate_id=1369,VIDISHA,Samata Samadhan Party,0,Graduate,198800,273625,-74825,144,GEN,VIDISHA,VINDHYAN PLEATEAU,true,true,false,Male,,,,,,,Samata Samadhan Party
Ajay Kumar,http://myneta.info/mp2013/candidate.php?candidate_id=1690,KOLARAS,IND,0,Post Graduate,4945215,600000,4345215,27,GEN,SHIVPURI,GIRD ZONE,true,true,false,Male,,,,,,,Independent
Ajay Raghuwanshi,http://myneta.info/mp2013/candidate.php?candidate_id=930,BURHANPUR,INC,2,Graduate,6679927,1533857,5146070,180,GEN,BURHANPUR,NIMAR VALLEY,true,true,true,Male,,,,,,,Indian National Congress
Ajay Rawat,http://myneta.info/mp2013/candidate.php?candidate_id=2042,MANAWAR,BSP,0,12th Pass,0,0,0,199,ST,DHAR,MALWA PLATEAU,false,false,false,Male,,,,,,,Bahujan Samaj Party
Ajay Sharma,http://myneta.info/mp2013/candidate.php?candidate_id=2529,BHIND,IND,0,10th Pass,50000,0,50000,10,GEN,BHIND,GIRD ZONE,false,true,false,Male,,,,,,,Independent
Ajay Singh (Annu),http://myneta.info/mp2013/candidate.php?candidate_id=1720,KHURAI,IND,0,10th Pass,507231,0,507231,36,GEN,SAGAR,VINDHYAN PLEATEAU,false,true,false,Male,,,,,,,Independent
Ajay Urf Ramkumar Nagpure,http://myneta.info/mp2013/candidate.php?candidate_id=56,WARASEONI,SP,2,12th Pass,6135956,360000,5775956,112,GEN,BALAGHAT,CHHATTISGARH PLAINS,true,true,true,Male,,,,,,,Samajwadi Party
Ajay Vishnoi,http://myneta.info/mp2013/candidate.php?candidate_id=848,PATAN,BJP,1,Graduate Professional,47415903,1697910,45717993,95,GEN,JABALPUR,KYMORE PLEATEAU AND SATPURA HILLS,true,true,true,Male,http://myneta.info/mp2013/index.php?action=affidavitComparison&myneta_folder2=2008mp&id1=848&id2=193,47415903,23400067,24015836,103%,PAN is Different,Bharatiya Janata Party
Ajaz Sheikh Mama,http://myneta.info/mp2013/candidate.php?candidate_id=2419,KHARGONE,SP,0,Post Graduate,2825984,0,2825984,185,GEN,KHARGONE,NIMAR VALLEY,false,false,false,Male,,,,,,,Samajwadi Party
Ajeet Kumar Jain,http://myneta.info/mp2013/candidate.php?candidate_id=114,INDORE - 1,IND,0,10th Pass,1560000,0,1560000,204,GEN,INDORE,MALWA PLATEAU,false,false,false,Male,,,,,,,Independent
Ajit Borasi,http://myneta.info/mp2013/candidate.php?candidate_id=2485,ALOTE,INC,0,12th Pass,19596193,364083,19232110,223,SC,RATLAM,MALWA PLATEAU,true,true,false,Male,,,,,,,Indian National Congress
Ajit Chamoli,http://myneta.info/mp2013/candidate.php?candidate_id=2251,PATAN,IND,0,10th Pass,816600,0,816600,95,GEN,JABALPUR,KYMORE PLEATEAU AND SATPURA HILLS,true,true,false,Male,,,,,,,Independent
Ajit Rai,http://myneta.info/mp2013/candidate.php?candidate_id=1086,KHURAI,SP,2,10th Pass,1016244,0,1016244,36,GEN,SAGAR,VINDHYAN PLEATEAU,false,false,true,Male,,,,,,,Samajwadi Party
Ajmer Singh Puri,http://myneta.info/mp2013/candidate.php?candidate_id=2609,DABARA,Bahujan Sangharshh Dal,0,Graduate,14003320,0,14003320,19,SC,GWALIOR,GIRD ZONE,false,true,false,Male,,,,,,,Bahujan Sangharshh Dal
Akbar,http://myneta.info/mp2013/candidate.php?candidate_id=2729,SEONI,IND,0,8th Pass,1980000,0,1980000,115,GEN,SEONI,KYMORE PLEATEAU AND SATPURA HILLS,false,false,false,Male,,,,,,,Independent
