candidate_name,url,constituency,party,criminal_cases,education,assets,liabilities,net_assets,ac_no,reservations,district,sub_region,filed_itr,declared_pan,serious_criminal_cases,gender
A. H. SCOTT LYNGDOH,http://myneta.info/2008Meghalaya/candidate.php?candidate_id=70,Jaiaw,INC,0,Graduate,6679578,0,6679578,19,ST,NA,NA,,false,false,Male
A.L. HEK,http://myneta.info/2008Meghalaya/candidate.php?candidate_id=71,Pynthorumkhrah,BJP,0,12th Pass,3952890,5272620,-1319730,18,GEN,NA,NA,,false,false,Male
ABDUS SALEH,http://myneta.info/2008Meghalaya/candidate.php?candidate_id=5,Mahendraganj,INC,0,Graduate,3164815,0,3164815,60,GEN,NA,NA,,true,false,Male
ABU TAHER MONDAL,http://myneta.info/2008Meghalaya/candidate.php?candidate_id=103,Phulbari,IND,0,Graduate Professional,2274053,264500,2009553,48,GEN,NA,NA,,true,false,Male
ADMIRAL K. SANGMA,http://myneta.info/2008Meghalaya/candidate.php?candidate_id=90,Dalamgiri,NCP,0,12th Pass,7476800,20000,7456800,56,ST,NA,NA,,false,false,Male
ADOLF LU HITLER R. MARAK,http://myneta.info/2008Meghalaya/candidate.php?candidate_id=109,Rangsakona,NCP,0,12th Pass,18068801,5937000,12131801,57,ST,NA,NA,,false,false,Male
AIDALIS RANEE,http://myneta.info/2008Meghalaya/candidate.php?candidate_id=178,Nongspung,LJP,0,Post Graduate,24000,0,24000,13,ST,NA,NA,,false,false,Male
ALBERT A. SANGMA,http://myneta.info/2008Meghalaya/candidate.php?candidate_id=240,Tura,BJP,0,Graduate,84805,113000,-28195,52,ST,NA,NA,,false,false,Male
ALEXANDER MARWEIN,http://myneta.info/2008Meghalaya/candidate.php?candidate_id=147,Mawkyrwat,LJP,0,12th Pass,191500,0,191500,32,ST,NA,NA,,false,false,Male
ALOYSIUS ARENGH,http://myneta.info/2008Meghalaya/candidate.php?candidate_id=221,Mawsynram,IND,0,Graduate,592521,0,592521,31,ST,NA,NA,,false,false,Male
ANDREAS T.SANGMA,http://myneta.info/2008Meghalaya/candidate.php?candidate_id=243,Rongram,IND,0,Graduate,233325,0,233325,51,ST,NA,NA,,false,false,Male
ARDENT MILLER BASAIAWMOIT,http://myneta.info/2008Meghalaya/candidate.php?candidate_id=57,Nongkrem,UDP,0,Graduate,4438977,0,4438977,26,ST,NA,NA,,false,false,Male
ARJUN KR. HAJONG,http://myneta.info/2008Meghalaya/candidate.php?candidate_id=333,Selsella,BJP,0,10th Pass,552500,0,552500,50,ST,NA,NA,,false,false,Male
ARJUN W. MOMIN,http://myneta.info/2008Meghalaya/candidate.php?candidate_id=270,Baghmara,INC,0,Graduate,520025,0,520025,37,ST,NA,NA,,false,false,Male
ARLENE N SANGMA,http://myneta.info/2008Meghalaya/candidate.php?candidate_id=127,Chokpot,UDP,0,Post Graduate,568032,220000,348032,53,ST,NA,NA,,false,false,Female
