candidate_name,url,constituency,party,criminal_cases,education,assets,liabilities,net_assets,ac_no,reservations,district,sub_region,filed_itr,declared_pan,serious_criminal_cases,gender,recontest_url,recontest_assets_this,recontest_assets_last,recontest_assets_change,recontest_assets_change_pct,recontest_remarks
Abdus Saffur Mondal,http://myneta.info/meghalaya2013/candidate.php?candidate_id=333,PHULBARI,IND,1,12th Pass,27488594,4398335,23090259,46,GEN,NA,NA,true,true,true,Male,,,,,,
Abdus Saffur Mondal,http://myneta.info/meghalaya2013/candidate.php?candidate_id=335,RAJABALA,IND,1,12th Pass,27488594,4398335,23090259,47,GEN,NA,NA,true,true,true,Male,,,,,,
Abdus Saleh,http://myneta.info/meghalaya2013/candidate.php?candidate_id=336,RAJABALA,IND,0,Graduate,12074555,0,12074555,47,GEN,NA,NA,true,true,false,Male,http://myneta.info/meghalaya2013/index.php?action=affidavitComparison&myneta_folder2=2008Meghalaya&id1=336&id2=5,12074555,3164815,8909740,282%,Age Difference=9  Party in last election was INC
Abraham S. Sangma,http://myneta.info/meghalaya2013/candidate.php?candidate_id=30,JIRANG (ST),NCP,0,8th Pass,11630000,80000,11550000,10,ST,NA,NA,false,false,false,Male,,,,,,
Abu Taher Mondal,http://myneta.info/meghalaya2013/candidate.php?candidate_id=254,PHULBARI,INC,0,Graduate Professional,8241947,0,8241947,46,GEN,NA,NA,true,true,false,Male,http://myneta.info/meghalaya2013/index.php?action=affidavitComparison&myneta_folder2=2008Meghalaya&id1=254&id2=103,8241947,2274053,5967894,262%,Party in last election was IND
Adamkid M. Sangma,http://myneta.info/meghalaya2013/candidate.php?candidate_id=69,NORTH TURA (ST),IND,0,12th Pass,8313337,19000,8294337,50,ST,NA,NA,false,true,false,Male,,,,,,
Adelbert Nongrum,http://myneta.info/meghalaya2013/candidate.php?candidate_id=212,NORTH SHILLONG (ST),KHNAM,0,12th Pass,386644,0,386644,17,ST,NA,NA,false,false,false,Male,,,,,,
Aderina K Sangma,http://myneta.info/meghalaya2013/candidate.php?candidate_id=73,SOUTH TURA (ST),IND,0,10th Pass,450971,0,450971,51,ST,NA,NA,false,true,false,Female,,,,,,
Adolf Lu Hitler R Marak,http://myneta.info/meghalaya2013/candidate.php?candidate_id=132,BAJENGDOBA (ST),INC,0,12th Pass,43146407,7585711,35560696,40,ST,NA,NA,false,true,false,Male,http://myneta.info/meghalaya2013/index.php?action=affidavitComparison&myneta_folder2=2008Meghalaya&id1=132&id2=109,43146407,18068801,25077606,139%,PAN was missing last time Party in last election was NCP
Adviser Pariong,http://myneta.info/meghalaya2013/candidate.php?candidate_id=49,NONGSTOIN (ST),INC,0,Graduate Professional,8738886,0,8738886,32,ST,NA,NA,false,false,false,Male,,,,,,
Ajithson G. Momin,http://myneta.info/meghalaya2013/candidate.php?candidate_id=82,RONGARA SIJU (ST),IND,0,10th Pass,3933440,0,3933440,58,ST,NA,NA,false,false,false,Male,,,,,,
Albinush R. Marak,http://myneta.info/meghalaya2013/candidate.php?candidate_id=81,RONGARA SIJU (ST),IND,0,Graduate Professional,6707500,0,6707500,58,ST,NA,NA,false,true,false,Male,,,,,,
Alexandar Marwein,http://myneta.info/meghalaya2013/candidate.php?candidate_id=327,MAWKYRWAT (ST),LJP,0,Graduate,862000,0,862000,36,ST,NA,NA,false,false,false,Male,,,,,,
Alexander Laloo Hek,http://myneta.info/meghalaya2013/candidate.php?candidate_id=97,PYNTHORUMKHRAH,INC,0,12th Pass,39490052,0,39490052,14,GEN,NA,NA,false,true,false,Male,http://myneta.info/meghalaya2013/index.php?action=affidavitComparison&myneta_folder2=2008Meghalaya&id1=97&id2=71,39490052,3952890,35537162,899%,PAN was missing last time Party in last election was BJP
Amos Dkhar,http://myneta.info/meghalaya2013/candidate.php?candidate_id=193,KHLIEHRIAT (ST),INC,0,Graduate,52481201,0,52481201,6,ST,NA,NA,false,true,false,Male,,,,,,
Andreas T. Sangma,http://myneta.info/meghalaya2013/candidate.php?candidate_id=70,NORTH TURA (ST),NCP,0,Others,1093155,0,1093155,50,ST,NA,NA,false,false,false,Male,,,,,,
Andrew Charles Gare,http://myneta.info/meghalaya2013/candidate.php?candidate_id=320,RAMBRAI JYRNGAM (ST),IND,1,10th Pass,650000,0,650000,33,ST,NA,NA,false,false,true,Male,,,,,,
Andy Lyngwa,http://myneta.info/meghalaya2013/candidate.php?candidate_id=208,PYNTHORUMKHRAH,BJP,0,10th Pass,3696315,0,3696315,14,GEN,NA,NA,false,true,false,Male,,,,,,
Anil Hajong,http://myneta.info/meghalaya2013/candidate.php?candidate_id=74,RANGSAKONA (ST),BJP,0,8th Pass,471500,0,471500,52,ST,NA,NA,false,true,false,Male,,,,,,
Anvil Lyngdoh,http://myneta.info/meghalaya2013/candidate.php?candidate_id=53,MAWSHYNRUT (ST),IND,0,Graduate,68421113,0,68421113,34,ST,NA,NA,false,true,false,Male,,,,,,
Ardent Miller Basaiawmoit,http://myneta.info/meghalaya2013/candidate.php?candidate_id=108,NONGKREM (ST),HSPDP,0,Graduate,8972153,0,8972153,22,ST,NA,NA,false,true,false,Male,http://myneta.info/meghalaya2013/index.php?action=affidavitComparison&myneta_folder2=2008Meghalaya&id1=108&id2=57,8972153,4438977,4533176,102%,PAN was missing last time Party in last election was UDP
Aris Lyngdoh,http://myneta.info/meghalaya2013/candidate.php?candidate_id=205,UMROI (ST),IND,0,Graduate,304000,0,304000,12,ST,NA,NA,false,true,false,Male,,,,,,
Arjun W. Momin,http://myneta.info/meghalaya2013/candidate.php?candidate_id=354,BAGHMARA (ST),IND,0,Graduate,4333000,0,4333000,60,ST,NA,NA,false,false,false,Male,,,,,,
Arlene M. N. Sangma,http://myneta.info/meghalaya2013/candidate.php?candidate_id=295,CHOKPOT (ST),INC,0,Graduate Professional,15000000,0,15000000,59,ST,NA,NA,false,true,false,Female,,,,,,
Arun N. Marak,http://myneta.info/meghalaya2013/candidate.php?candidate_id=243,SONGSAK (ST),UDP,2,10th Pass,1619012,761292,857720,41,ST,NA,NA,false,true,true,Male,,,,,,
Ashahel D Shira,http://myneta.info/meghalaya2013/candidate.php?candidate_id=337,RAJABALA,IND,0,10th Pass,51995182,296000,51699182,47,GEN,NA,NA,false,true,false,Male,,,,,,
Atul C Marak,http://myneta.info/meghalaya2013/candidate.php?candidate_id=12,SELSELLA (ST),IND,0,10th Pass,5864133,0,5864133,48,ST,NA,NA,false,true,false,Male,,,,,,
Augustine D. Marak,http://myneta.info/meghalaya2013/candidate.php?candidate_id=330,RAKSAMGRE (ST),SP,0,12th Pass,30016873,99000,29917873,44,ST,NA,NA,false,false,false,Male,http://myneta.info/meghalaya2013/index.php?action=affidavitComparison&myneta_folder2=2008Meghalaya&id1=330&id2=107,30016873,1221450,28795423,2357%,Party in last election was INC
Augustine Lakiang,http://myneta.info/meghalaya2013/candidate.php?candidate_id=36,SOUTH SHILLONG,BJP,0,12th Pass,75151950,0,75151950,19,GEN,NA,NA,false,true,false,Male,,,,,,
Badhok Nongmalieh,http://myneta.info/meghalaya2013/candidate.php?candidate_id=27,NONGPOH (ST),IND,0,10th Pass,10730000,0,10730000,9,ST,NA,NA,false,true,false,Male,,,,,,
Ballen A Sangma,http://myneta.info/meghalaya2013/candidate.php?candidate_id=156,GAMBEGRE (ST),NPP,0,10th Pass,7065913,0,7065913,56,ST,NA,NA,false,true,false,Male,,,,,,
Banalari Khongwar,http://myneta.info/meghalaya2013/candidate.php?candidate_id=114,PYNURSLA (ST),UDP,1,8th Pass,225924884,0,225924884,27,ST,NA,NA,false,true,false,Female,,,,,,
Banteidor Lyngdoh,http://myneta.info/meghalaya2013/candidate.php?candidate_id=116,MAWKYNREW (ST),IND,0,8th Pass,3859000,0,3859000,29,ST,NA,NA,false,true,false,Male,,,,,,
Barnabas Nongbah,http://myneta.info/meghalaya2013/candidate.php?candidate_id=1,JIRANG (ST),INC,0,Graduate,44276551,0,44276551,10,ST,NA,NA,false,true,false,Male,,,,,,
Benedict Marak,http://myneta.info/meghalaya2013/candidate.php?candidate_id=332,TIKRIKILLA (ST),SP,0,12th Pass,1840061,145000,1695061,45,ST,NA,NA,false,false,false,Male,,,,,,
Beninstand G Momin,http://myneta.info/meghalaya2013/candidate.php?candidate_id=234,MENDIPATHAR (ST),UDP,0,Graduate,13780711,200000,13580711,38,ST,NA,NA,false,true,false,Male,,,,,,
Besterfield N. Sangma,http://myneta.info/meghalaya2013/candidate.php?candidate_id=77,GAMBEGRE (ST),INC,0,Graduate,623190,0,623190,56,ST,NA,NA,false,true,false,Male,,,,,,
Bhabok Blaze Syiem,http://myneta.info/meghalaya2013/candidate.php?candidate_id=106,NONGTHYMMAI (ST),HSPDP,0,Graduate,35099566,3139074,31960492,21,ST,NA,NA,false,true,false,Male,,,,,,
Bhupendra B. Hajong,http://myneta.info/meghalaya2013/candidate.php?candidate_id=284,SALMANPARA (ST),BJP,0,10th Pass,325920,0,325920,55,ST,NA,NA,false,false,false,Male,,,,,,
Billykid A Sangma,http://myneta.info/meghalaya2013/candidate.php?candidate_id=268,SOUTH TURA (ST),INC,0,12th Pass,5038526,781660,4256866,51,ST,NA,NA,false,true,false,Male,,,,,,
Bindo M. Lanong,http://myneta.info/meghalaya2013/candidate.php?candidate_id=100,EAST SHILLONG (ST),UDP,0,Graduate Professional,10471950,0,10471950,16,ST,NA,NA,false,false,false,Male,http://myneta.info/meghalaya2013/index.php?action=affidavitComparison&myneta_folder2=2008Meghalaya&id1=100&id2=75,10471950,3815000,6656950,174%,
Binod Kumar Joshi,http://myneta.info/meghalaya2013/candidate.php?candidate_id=307,SOUTH SHILLONG,SP,0,Graduate Professional,15615000,0,15615000,19,GEN,NA,NA,false,true,false,Male,,,,,,
Binoy Kumar Ghosh,http://myneta.info/meghalaya2013/candidate.php?candidate_id=334,PHULBARI,IND,1,10th Pass,31894316,3113739,28780577,46,GEN,NA,NA,false,true,false,Male,,,,,,
Bluebell R. Sangma,http://myneta.info/meghalaya2013/candidate.php?candidate_id=83,CHOKPOT (ST),NCP,0,Graduate,8231568,0,8231568,59,ST,NA,NA,false,true,false,Female,,,,,,
Bokstar Lyngdoh Nongrang,http://myneta.info/meghalaya2013/candidate.php?candidate_id=310,MAIRANG (ST),MDP,0,8th Pass,774009,0,774009,30,ST,NA,NA,false,false,false,Male,,,,,,
