candidate_name,url,constituency,party,criminal_cases,education,assets,liabilities,net_assets,ac_no,reservations,district,sub_region,filed_itr,declared_pan,serious_criminal_cases,gender
A. NYIAMNYEI,http://myneta.info/2008Nagaland/candidate.php?candidate_id=170,Moka,INC,0,10th Pass,14258024,2138726,12119298,48,ST,MON,NA,,false,false,Male
A. YENTSAO ODYUO,http://myneta.info/2008Nagaland/candidate.php?candidate_id=137,Wokha,NPF,0,Post Graduate,2640000,0,2640000,38,ST,WOKHA,NA,,false,false,Male
ACHUBU,http://myneta.info/2008Nagaland/candidate.php?candidate_id=46,Western Angami,INC,0,Graduate,555000,0,555000,8,ST,KOHIMA,NA,,false,false,Male
ACHUMBEMO KIKON,http://myneta.info/2008Nagaland/candidate.php?candidate_id=122,Bhandari,LJP,0,Graduate Professional,277812,0,277812,40,ST,WOKHA,NA,,false,false,Male
AKANG,http://myneta.info/2008Nagaland/candidate.php?candidate_id=109,Impur,NPF,0,Not Given,67105000,0,67105000,23,ST,MOKOKCHUNG,NA,,false,false,Male
AKHEI ACHUMI,http://myneta.info/2008Nagaland/candidate.php?candidate_id=10,Dimapur-III,IND,0,Graduate,500000,0,500000,3,ST,DIMAPUR,NA,,false,false,Male
ALOH,http://myneta.info/2008Nagaland/candidate.php?candidate_id=146,Tizit,INC,0,10th Pass,1930000,0,1930000,41,ST,MON,NA,,false,false,Male
AOCHUBA,http://myneta.info/2008Nagaland/candidate.php?candidate_id=102,Monguya,NPF,0,Graduate Professional,66600000,0,66600000,25,ST,MOKOKCHUNG,NA,,false,false,Male
AOLEPDEN,http://myneta.info/2008Nagaland/candidate.php?candidate_id=95,Mokokchung Town,IND,0,Post Graduate,18950000,0,18950000,27,ST,MOKOKCHUNG,NA,,false,false,Male
ASU KEYHO,http://myneta.info/2008Nagaland/candidate.php?candidate_id=47,Western Angami,IND,0,Graduate,11850000,0,11850000,8,ST,KOHIMA,NA,,false,false,Male
ATOMI,http://myneta.info/2008Nagaland/candidate.php?candidate_id=2,Dimapur-I,NPF,0,Post Graduate,11903478,0,11903478,1,GEN,DIMAPUR,NA,,false,false,Male
AZHETO ZHIMOMI,http://myneta.info/2008Nagaland/candidate.php?candidate_id=7,Dimapur-III,INC,0,10th Pass,19139947,0,19139947,3,ST,DIMAPUR,NA,,false,false,Male
B.P. HANGHU,http://myneta.info/2008Nagaland/candidate.php?candidate_id=168,Aboi,INC,1,10th Pass,2420000,0,2420000,47,ST,MON,NA,,false,true,Male
B.S. NGANLANG,http://myneta.info/2008Nagaland/candidate.php?candidate_id=182,Tamlu,INC,0,Not Given,10000,0,10000,49,ST,LONGLENG,NA,,false,false,Male
BONGKHAO,http://myneta.info/2008Nagaland/candidate.php?candidate_id=173,Tobu,INC,0,Post Graduate,793574,0,793574,55,ST,MON,NA,,false,false,Male
C. APOK JAMIR,http://myneta.info/2008Nagaland/candidate.php?candidate_id=94,Mokokchung Town,INC,0,Graduate Professional,62030000,0,62030000,27,ST,MOKOKCHUNG,NA,,false,false,Male
C. KIKON,http://myneta.info/2008Nagaland/candidate.php?candidate_id=123,Bhandari,BJP,0,Post Graduate,18000000,0,18000000,40,ST,WOKHA,NA,,false,false,Male
C.L. JOHN,http://myneta.info/2008Nagaland/candidate.php?candidate_id=159,Tehok,NPF,0,8th Pass,750000,0,750000,45,ST,MON,NA,,false,false,Male
C.M. CHANG,http://myneta.info/2008Nagaland/candidate.php?candidate_id=186,Noksen,NPF,0,Graduate,1850000,0,1850000,51,ST,TUENSANG,NA,,false,false,Male
CHANGLEMBA,http://myneta.info/2008Nagaland/candidate.php?candidate_id=187,Noksen,RJD,0,12th Pass,750000,0,750000,51,ST,TUENSANG,NA,,false,false,Male
CHENNYEM,http://myneta.info/2008Nagaland/candidate.php?candidate_id=161,Tehok,RJD,0,12th Pass,730000,0,730000,45,ST,MON,NA,,false,false,Male
CHINGKONG,http://myneta.info/2008Nagaland/candidate.php?candidate_id=212,Thonoknyu,BJP,0,10th Pass,2300857,0,2300857,57,ST,TUENSANG,NA,,false,false,Male
CHINGWANG,http://myneta.info/2008Nagaland/candidate.php?candidate_id=163,Mon Town,INC,0,Graduate,45387835,2412983,42974852,46,ST,MON,NA,,false,false,Male
CHOTHRONGBA,http://myneta.info/2008Nagaland/candidate.php?candidate_id=26,Siyuchong-Sitimi,IND,0,10th Pass,0,0,0,59,ST,KIPHIRE,NA,,false,false,Male
CHOTISUH SAZO,http://myneta.info/2008Nagaland/candidate.php?candidate_id=76,Chazouba,IND,0,Graduate,232020,0,232020,18,ST,PHEK,NA,,false,false,Male
DEO NUKHU,http://myneta.info/2008Nagaland/candidate.php?candidate_id=73,Chizami,INC,0,Post Graduate,1638970,0,1638970,17,ST,PHEK,NA,,false,false,Male
DEZOTO RHAKHO,http://myneta.info/2008Nagaland/candidate.php?candidate_id=80,Phek,RJD,1,10th Pass,1163000,0,1163000,19,ST,PHEK,NA,,false,false,Male
DOSHEHE Y. SEMA,http://myneta.info/2008Nagaland/candidate.php?candidate_id=55,Atoizu,NPF,0,Post Graduate,5927786,0,5927786,32,ST,ZUNHEBOTO,NA,,false,false,Male
DR. ATHA VIZOL,http://myneta.info/2008Nagaland/candidate.php?candidate_id=40,Southern Angami-II,NPF,0,Graduate Professional,10476994,0,10476994,15,ST,KOHIMA,NA,,false,false,Male
DR. CHUMBEN MURRY,http://myneta.info/2008Nagaland/candidate.php?candidate_id=134,Wokha,NCP,0,Graduate Professional,3147038,0,3147038,38,ST,WOKHA,NA,,false,false,Male
DR. K.C. NIHOSHE,http://myneta.info/2008Nagaland/candidate.php?candidate_id=62,Zunheboto,IND,0,Graduate Professional,1187815,0,1187815,35,ST,ZUNHEBOTO,NA,,false,false,Male
DR. KAKHETO ZHIMOMI,http://myneta.info/2008Nagaland/candidate.php?candidate_id=13,Ghaspani-I,IND,0,Post Graduate,8950000,0,8950000,4,ST,DIMAPUR,NA,,false,false,Male
DR. KUVEZOCHI,http://myneta.info/2008Nagaland/candidate.php?candidate_id=81,Phek,INC,0,Graduate Professional,1473796,0,1473796,19,ST,PHEK,NA,,false,false,Male
DR. N.L. AIMONG,http://myneta.info/2008Nagaland/candidate.php?candidate_id=210,Thonoknyu,JD(S),0,Doctorate,2205000,0,2205000,57,ST,TUENSANG,NA,,false,false,Male
