candidate_name,url,constituency,party,criminal_cases,education,assets,liabilities,net_assets,ac_no,reservations,district,sub_region,filed_itr,declared_pan,serious_criminal_cases,gender,recontest_url,recontest_assets_this,recontest_assets_last,recontest_assets_change,recontest_assets_change_pct,recontest_remarks
Mhonbemo Lotha,http://myneta.info/nagaland2013/candidate.php?candidate_id=179,SANIS,IND,0,10th Pass,2552094,0,2552094,39,ST,WOKHA,NA,false,true,false,Male,,,,,,
Nkhao Lotha,http://myneta.info/nagaland2013/candidate.php?candidate_id=180,SANIS,RJD,0,10th Pass,6238391,0,6238391,39,ST,WOKHA,NA,false,false,false,Male,,,,,,
A. Imtilemba Sangtam,http://myneta.info/nagaland2013/candidate.php?candidate_id=186,LONGKHIM CHARE,NCP,0,Graduate,2062016,0,2062016,52,ST,TUENSANG,NA,false,true,false,Male,,,,,,
Achumbemo Kikon,http://myneta.info/nagaland2013/candidate.php?candidate_id=142,BHANDARI,IND,0,Graduate Professional,1300000,0,1300000,40,ST,WOKHA,NA,false,false,false,Male,,,,,,
Aloh,http://myneta.info/nagaland2013/candidate.php?candidate_id=81,TIZIT,NPF,0,8th Pass,6574000,0,6574000,41,ST,MON,NA,false,false,false,Male,http://myneta.info/nagaland2013/index.php?action=affidavitComparison&myneta_folder2=2008Nagaland&id1=81&id2=146,6574000,1930000,4644000,241%,Age Difference=14  Party in last election was INC
Amenba Yaden,http://myneta.info/nagaland2013/candidate.php?candidate_id=39,TULI,IND,0,12th Pass,31192000,0,31192000,21,ST,MOKOKCHUNG,NA,false,false,false,Male,,,,,,
Asu Keyho,http://myneta.info/nagaland2013/candidate.php?candidate_id=110,WESTERN ANGAMI,INC,0,Graduate,54400000,0,54400000,8,ST,KOHIMA,NA,false,false,false,Male,,,,,,
Atomi K. Zhimomi,http://myneta.info/nagaland2013/candidate.php?candidate_id=25,ZUNHEBOTO,IND,0,Post Graduate,9766000,0,9766000,35,ST,ZUNHEBOTO,NA,false,true,false,Male,,,,,,
Azheto,http://myneta.info/nagaland2013/candidate.php?candidate_id=3,DIMAPUR-III,NPF,0,10th Pass,23183975,0,23183975,3,ST,DIMAPUR,NA,false,true,false,Male,http://myneta.info/nagaland2013/index.php?action=affidavitComparison&myneta_folder2=2008Nagaland&id1=3&id2=219,23183975,19109954,4074021,21%,Age Difference=3 PAN was missing last time
B. Longnyei,http://myneta.info/nagaland2013/candidate.php?candidate_id=66,TAMLU,NCP,0,Graduate Professional,1230000,0,1230000,49,ST,LONGLENG,NA,false,false,false,Male,,,,,,
B. Phongshak Phom,http://myneta.info/nagaland2013/candidate.php?candidate_id=68,TAMLU,IND,0,Graduate,825000,0,825000,49,ST,LONGLENG,NA,false,true,false,Male,,,,,,
B.S. Nganlang,http://myneta.info/nagaland2013/candidate.php?candidate_id=67,TAMLU,JD(U),0,Post Graduate,2020000,0,2020000,49,ST,LONGLENG,NA,false,false,false,Male,,,,,,
Bongkhao,http://myneta.info/nagaland2013/candidate.php?candidate_id=143,TOBU,INC,0,Graduate,171000,0,171000,55,ST,MON,NA,false,false,false,Male,,,,,,
C. Apok Jamir,http://myneta.info/nagaland2013/candidate.php?candidate_id=27,MOKOKCHUNG TOWN,INC,0,Graduate Professional,67073103,0,67073103,27,ST,MOKOKCHUNG,NA,false,true,false,Male,http://myneta.info/nagaland2013/index.php?action=affidavitComparison&myneta_folder2=2008Nagaland&id1=27&id2=94,67073103,62030000,5043103,8%,PAN was missing last time
C. Kipili Sangtam,http://myneta.info/nagaland2013/candidate.php?candidate_id=105,SEYOCHUNG SITIMI,NPF,0,10th Pass,5000937,0,5000937,59,ST,KIPHIRE,NA,false,false,false,Male,,,,,,
