candidate_name,url,constituency,party,criminal_cases,education,assets,liabilities,net_assets,ac_no,reservations
ABDUL HACHIB,http://myneta.info/tripura2008/candidate.php?candidate_id=135,Kadamtala,JD(U),0,8th Pass,20350,0,20350,55,GEN
ABDUL MATIN,http://myneta.info/tripura2008/candidate.php?candidate_id=178,Kailasahar,JD(U),0,8th Pass,7000,0,7000,53,GEN
ABDUL MATIN CHOUDHURY,http://myneta.info/tripura2008/candidate.php?candidate_id=140,Kurti,IND,0,Literate,375000,0,375000,54,GEN
ABDUL ROB,http://myneta.info/tripura2008/candidate.php?candidate_id=142,Kurti,IND,0,8th Pass,11000,0,11000,54,GEN
ADHIR SARKAR,http://myneta.info/tripura2008/candidate.php?candidate_id=225,Khowai,IND,0,5th Pass,0,0,0,24,GEN
AGHORE DEBBARMA,http://myneta.info/tripura2008/candidate.php?candidate_id=226,Pramodenagar,CPM,0,Graduate,66423,250000,-183577,26,ST
ALAK DEBBARMA,http://myneta.info/tripura2008/candidate.php?candidate_id=239,Ramchandraghat,IND,0,10th Pass,12000,0,12000,23,ST
AMAL MALLIK,http://myneta.info/tripura2008/candidate.php?candidate_id=70,Belonia,INC,0,Graduate,1735980,0,1735980,36,GEN
AMITABHA DATTA,http://myneta.info/tripura2008/candidate.php?candidate_id=122,Dharmanagar,CPM,0,Graduate Professional,4238447,500000,3738447,56,GEN
AMIYA KUMAR DEBBARMA,http://myneta.info/tripura2008/candidate.php?candidate_id=216,Asharambari,INPT,0,Graduate,1036443,0,1036443,25,ST
ANANTA DEBBARMA,http://myneta.info/tripura2008/candidate.php?candidate_id=235,Ramchandraghat,INPT,0,10th Pass,1102000,60000,1042000,23,ST
ANIL SARKAR,http://myneta.info/tripura2008/candidate.php?candidate_id=111,Pratapgarh,CPM,0,Post Graduate,2671800,500000,2171800,13,SC
ANIMESH DEBBARMA,http://myneta.info/tripura2008/candidate.php?candidate_id=234,Ramchandraghat,IND,0,Graduate Professional,290000,500000,-210000,23,ST
ANIMESH DEBBARMA,http://myneta.info/tripura2008/candidate.php?candidate_id=227,Pramodenagar,IND,0,Graduate Professional,640006,500000,140006,26,ST
ANJAN SUKLA BAIDYA,http://myneta.info/tripura2008/candidate.php?candidate_id=126,Dharmanagar,IND,0,Graduate,661205,0,661205,56,GEN
APURBA NATH,http://myneta.info/tripura2008/candidate.php?candidate_id=136,Kadamtala,IND,0,12th Pass,31000,0,31000,55,GEN
ARUN KUMAR CHAKMA,http://myneta.info/tripura2008/candidate.php?candidate_id=208,Pencharthal,CPM,0,Graduate,947066,500000,447066,58,ST
ASHISH CHAKRABORTY,http://myneta.info/tripura2008/candidate.php?candidate_id=271,Dhanpur,AITC,0,10th Pass,24000,0,24000,22,GEN
ASHIT DEBBARMA,http://myneta.info/tripura2008/candidate.php?candidate_id=219,Asharambari,IND,0,10th Pass,0,0,0,25,ST
ASHOK DEBBARMA,http://myneta.info/tripura2008/candidate.php?candidate_id=101,Golaghati,INC,0,Graduate,3449115,790000,2659115,17,ST
ASHOK KUMAR BAIDYA,http://myneta.info/tripura2008/candidate.php?candidate_id=290,Teliamura,INC,0,Graduate,1615639,231328,1384311,29,GEN
ASHUTUSH DAS,http://myneta.info/tripura2008/candidate.php?candidate_id=276,Nalchar,AMB,0,8th Pass,665000,0,665000,20,SC
BABUL CHANDRA PAL,http://myneta.info/tripura2008/candidate.php?candidate_id=71,Belonia,CPI(ML)(L),0,8th Pass,156799,0,156799,36,GEN
BABUL SARKAR,http://myneta.info/tripura2008/candidate.php?candidate_id=108,Kamalasagar,IND,0,12th Pass,0,0,0,15,GEN
BADAL CHOUDHURY,http://myneta.info/tripura2008/candidate.php?candidate_id=75,Hrishyamukh,CPM,0,12th Pass,2696076,465000,2231076,38,GEN
BAHAR MIA KHANDAKAR,http://myneta.info/tripura2008/candidate.php?candidate_id=267,Boxanagar,IND,0,Illiterate,4000,0,4000,19,GEN
BASANA ADHIKARI,http://myneta.info/tripura2008/candidate.php?candidate_id=299,Kakraban,BJP,0,Literate,117000,0,117000,34,GEN
BASANTI SINHA,http://myneta.info/tripura2008/candidate.php?candidate_id=18,Banamalipur,AITC,0,10th Pass,46155,0,46155,9,GEN
BASIRUN REANG,http://myneta.info/tripura2008/candidate.php?candidate_id=214,Pencharthal,CPI(ML)(L),0,5th Pass,5000,0,5000,58,ST
BASU DEV MAJUMDER,http://myneta.info/tripura2008/candidate.php?candidate_id=69,Belonia,CPM,0,Graduate,2220794,600000,1620794,36,GEN
BASUDEB GHOSH,http://myneta.info/tripura2008/candidate.php?candidate_id=169,Fatikroy,CPI(ML)(L),0,5th Pass,380000,0,380000,51,GEN
BHAGABAN DAS,http://myneta.info/tripura2008/candidate.php?candidate_id=181,Pabiachhara,BJP,0,5th Pass,70000,0,70000,50,SC
BHANULAL SAHA,http://myneta.info/tripura2008/candidate.php?candidate_id=92,Bishalgarh,CPM,0,Graduate Professional,714810,0,714810,16,GEN
BIBHASH BASAK,http://myneta.info/tripura2008/candidate.php?candidate_id=251,Sabroom,PDS,0,12th Pass,5400,0,5400,41,GEN
BIBHU KUMARI DEVI,http://myneta.info/tripura2008/candidate.php?candidate_id=301,Matarbari,INC,0,Graduate,65713382,0,65713382,33,GEN
BIBHU LAL DEY,http://myneta.info/tripura2008/candidate.php?candidate_id=307,Radhakishorepur,IND,0,8th Pass,701098,0,701098,32,GEN
BIDHU BHUSAN MALAKAR,http://myneta.info/tripura2008/candidate.php?candidate_id=179,Pabiachhara,CPM,0,12th Pass,461912,0,461912,50,SC
BIDHYASAGAR DEBBARMA,http://myneta.info/tripura2008/candidate.php?candidate_id=99,Charilam,IND,0,10th Pass,66206,0,66206,18,ST
BIDYUT DEBBARMA,http://myneta.info/tripura2008/candidate.php?candidate_id=228,Pramodenagar,INPT,0,12th Pass,443600,0,443600,26,ST
BIJITA NATH,http://myneta.info/tripura2008/candidate.php?candidate_id=132,Kadamtala,CPM,0,Graduate,147000,0,147000,55,GEN
BIJOY ROY,http://myneta.info/tripura2008/candidate.php?candidate_id=165,Fatikroy,CPM,0,Graduate,1090945,850000,240945,51,GEN
BIKASH CHANDRA DAS,http://myneta.info/tripura2008/candidate.php?candidate_id=80,Rajnagar,INC,0,Graduate,1135000,0,1135000,35,SC
