candidate_name,url,constituency,party,criminal_cases,education,assets,liabilities,net_assets,ac_no,reservations,district,sub_district,filed_itr,declared_pan,serious_criminal_cases,gender,recontest_url,recontest_assets_this,recontest_assets_last,recontest_assets_change,recontest_assets_change_pct,recontest_remarks
Abdul Matin Choudhury,http://myneta.info/tripura2013/candidate.php?candidate_id=42,KADAMTALA-KURTI,INC,0,Literate,1926264,0,1926264,54,GEN,North Tripura,Tripura East,false,false,false,Male,NA,NA,NA,NA,NA,NA
Abul Kalam,http://myneta.info/tripura2013/candidate.php?candidate_id=137,DHANPUR,BJP,0,8th Pass,193912,0,193912,23,GEN,Sipahijala,Tripura West,false,true,false,Male,NA,NA,NA,NA,NA,NA
Adbul Kayum,http://myneta.info/tripura2013/candidate.php?candidate_id=213,KADAMTALA-KURTI,JD(U),0,8th Pass,721020,0,721020,54,GEN,North Tripura,Tripura East,false,true,false,Male,NA,NA,NA,NA,NA,NA
Advocate Bidyut Ghosh,http://myneta.info/tripura2013/candidate.php?candidate_id=52,RAMNAGAR,BJP,2,Post Graduate,4170570,450000,3720570,7,GEN,West Tripura,Tripura West,false,true,false,Male,NA,NA,NA,NA,NA,NA
Aghore Debbarma,http://myneta.info/tripura2013/candidate.php?candidate_id=98,ASHARAMBARI (ST),CPI(M),0,Graduate,3651199,1061517,2589682,26,ST,Khowai,Tripura East,false,false,false,Male,http://myneta.info/tripura2013/index.php?action=affidavitComparison&myneta_folder2=tripura2008&id1=98&id2=226,3651199,66423,3584776,5397%,Party in last election was CPM
Aghore Debbarma,http://myneta.info/tripura2013/candidate.php?candidate_id=157,MATARBARI,IPFT,0,12th Pass,720645,293000,427645,32,GEN,Gomati,Tripura West,false,false,false,Male,NA,NA,NA,NA,NA,NA
Ahindra Kr. Bhattacharjee,http://myneta.info/tripura2013/candidate.php?candidate_id=76,KAMALPUR,BJP,0,Post Graduate,39300,0,39300,45,GEN,Dhalai,Tripura East,false,false,false,Male,NA,NA,NA,NA,NA,NA
Amal Basu Chakma,http://myneta.info/tripura2013/candidate.php?candidate_id=199,CHAWMANU (ST),SP,0,8th Pass,9000,6800,2200,49,ST,Dhalai,Tripura East,false,false,false,Male,NA,NA,NA,NA,NA,NA
Amal Mallik,http://myneta.info/tripura2013/candidate.php?candidate_id=27,BELONIA,INC,0,Graduate,4025454,185583,3839871,35,GEN,South Tripura,Tripura West,true,true,false,Male,NA,NA,NA,NA,NA,NA
Amal Sinha,http://myneta.info/tripura2013/candidate.php?candidate_id=268,KAILASHAHAR,CPI(ML)(L),0,12th Pass,10000,0,10000,53,GEN,Unakoti,Tripura East,false,false,false,Male,NA,NA,NA,NA,NA,NA
Amitabha Datta,http://myneta.info/tripura2013/candidate.php?candidate_id=216,DHARMANAGAR,CPI(M),1,Graduate Professional,6302210,900000,5402210,56,GEN,North Tripura,Tripura East,true,true,false,Male,NA,NA,NA,NA,NA,NA
Amiya Kumar Debbarma,http://myneta.info/tripura2013/candidate.php?candidate_id=145,ASHARAMBARI (ST),INPT,0,Graduate,512563,501000,11563,26,ST,Khowai,Tripura East,false,true,false,Male,NA,NA,NA,NA,NA,NA
Anadi Sarkar,http://myneta.info/tripura2013/candidate.php?candidate_id=77,SURMA (SC),BJP,0,10th Pass,348000,0,348000,46,SC,Dhalai,Tripura East,false,false,false,Male,NA,NA,NA,NA,NA,NA
Ananta Debbarma,http://myneta.info/tripura2013/candidate.php?candidate_id=141,RAMCHANDRAGHAT (ST),INPT,0,12th Pass,1458827,55000,1403827,24,ST,Khowai,Tripura East,false,true,false,Male,NA,NA,NA,NA,NA,NA
