candidate_name,url,constituency,party,criminal_cases,education,assets,liabilities,net_assets,ac_no,reservations,district,sub_region,filed_itr,declared_pan,serious_criminal_cases,gender,recontest_url,recontest_assets_this,recontest_assets_last,recontest_assets_change,recontest_assets_change_pct,recontest_remarks
Abhijit Sarkar,http://myneta.info/tripura2018/candidate.php?candidate_id=6033,MATARBARI,INC,0,Post Graduate,1112667,0,1112667,32,ST,Gomati,Tripura West,false,true,false,Male,,,,,,
Aghore Deb Barma,http://myneta.info/tripura2018/candidate.php?candidate_id=5785,ASHARAMBARI,CPI(M),0,Graduate,5788300,2105212,3683088,26,ST,Khowai,Tripura East,false,false,false,Male,http://myneta.info/tripura2018/index.php?action=affidavitComparison&myneta_folder2=tripura2013&id1=5785&id2=98,5788300,3651199,2137101,59%,
Ajit Kumar Das,http://myneta.info/tripura2018/candidate.php?candidate_id=5868,PANISAGAR,CPI(M),0,10th Pass,1685531,0,1685531,58,GEN,North Tripura,Tripura East,false,false,false,Male,,,,,,
Ajoy Chandra Das,http://myneta.info/tripura2018/candidate.php?candidate_id=5846,KHOWAI,INC,0,Graduate,1481431,0,1481431,25,GEN,Khowai,Tripura East,true,true,false,Male,,,,,,
Amal Chakraborty,http://myneta.info/tripura2018/candidate.php?candidate_id=5767,BANAMALIPUR,CPI(M),0,Post Graduate,3857459,0,3857459,9,GEN,West Tripura,Tripura West,false,true,false,Male,,,,,,
Amalendu Banik,http://myneta.info/tripura2018/candidate.php?candidate_id=5947,BELONIA,IND,0,Graduate Professional,1623959,0,1623959,35,GEN,South Tripura,Tripura West,false,false,false,Male,,,,,,
Amit Rakshit,http://myneta.info/tripura2018/candidate.php?candidate_id=5932,KHOWAI,BJP,0,Graduate,70611,0,70611,25,GEN,Khowai,Tripura East,false,true,false,Male,,,,,,
Amiya Kumar Debbarma,http://myneta.info/tripura2018/candidate.php?candidate_id=5897,TAKARJALA,Indigenous Nationalist Party of Twipra,0,Graduate,3263900,0,3263900,12,ST,West Tripura,Tripura West,false,true,false,Male,,,,,,
Ananta Urang,http://myneta.info/tripura2018/candidate.php?candidate_id=5829,SIMNA,TPP,0,10th Pass,1000,0,1000,1,ST,West Tripura,Tripura West,false,true,false,Male,,,,,,
Anantalal Jamatia,http://myneta.info/tripura2018/candidate.php?candidate_id=5939,BAGMA,INC,0,8th Pass,332000,0,332000,30,ST,South Tripura,Tripura West,false,true,false,Male,,,,,,
Anil Chakma,http://myneta.info/tripura2018/candidate.php?candidate_id=6072,PENCHARTHAL,CPI(M),0,8th Pass,1724992,0,1724992,59,ST,North Tripura,Tripura East,false,false,false,Male,,,,,,
Animesh Debbarma,http://myneta.info/tripura2018/candidate.php?candidate_id=5844,RAMCHANDRAGHAT,IND,0,Graduate Professional,1760000,200000,1560000,24,ST,Khowai,Tripura East,true,false,false,Male,,,,,,
Anjan Das,http://myneta.info/tripura2018/candidate.php?candidate_id=5810,SURMA,CPI(M),1,Post Graduate,1864319,0,1864319,46,SC,Dhalai,Tripura East,false,true,false,Male,http://myneta.info/tripura2018/index.php?action=affidavitComparison&myneta_folder2=tripura2013&id1=5810&id2=310,1864319,1817768,46551,3%,Age Difference=3
Ankya Mog Choudhuri,http://myneta.info/tripura2018/candidate.php?candidate_id=5953,JOLAIBARI,BJP,0,Post Graduate,312383,333693,-21310,38,ST,South Tripura,Tripura East,false,true,false,Male,,,,,,
Arabinda Teli,http://myneta.info/tripura2018/candidate.php?candidate_id=6001,BAGBASSA,CPI(ML)(L),0,10th Pass,195535,4097,191438,55,GEN,North Tripura,Tripura East,false,false,false,Male,,,,,,
Arjun Das,http://myneta.info/tripura2018/candidate.php?candidate_id=5902,PRATAPGARH,INC,0,12th Pass,87049,0,87049,13,SC,West Tripura,Tripura West,false,true,false,Male,,,,,,
Arjun Debbarma,http://myneta.info/tripura2018/candidate.php?candidate_id=5921,CHARILAM,INC,0,Graduate,50500,0,50500,19,ST,Sipahijala,Tripura West,false,true,false,Male,,,,,,
Arun Bhowmik,http://myneta.info/tripura2018/candidate.php?candidate_id=5908,KAMALASAGAR,BJP,0,Post Graduate,46048076,0,46048076,15,GEN,West Tripura,Tripura West,true,true,false,Male,,,,,,
