State_Name,Year,month,Assembly_No,DelimID,Constituency_No,Position,Candidate,Sex,Party,Votes,Age,Candidate_Type,Valid_Votes,Electors,Constituency_Name,Constituency_Type,District_Name,Sub_Region,N_Cand,Turnout_Percentage,Vote_Share_Percentage,Deposit_Lost,Margin_Percentage,ENOP
Himachal_Pradesh,2012,2,12,4,1,1,HANS RAJ,M,BJP,24978,29,SC,48544,61120,CHURAH,SC,CHAMBA,BEAS RIVER REGION,3,79.42,51.45,no,4.55,2.08
Himachal_Pradesh,2012,2,12,4,1,2,SURINDER BHARDWAJ,M,INC,22767,64,SC,48544,61120,CHURAH,SC,CHAMBA,BEAS RIVER REGION,3,79.42,46.9,no,45.25,2.08
Himachal_Pradesh,2012,2,12,4,1,3,KISHAN CHAND,M,BSP,799,37,SC,48544,61120,CHURAH,SC,CHAMBA,BEAS RIVER REGION,3,79.42,1.65,yes,0,2.08
Himachal_Pradesh,2012,2,12,4,2,5,MADAN LAL BARYAL,M,NCP,454,61,ST,48199,63710,BHARMOUR,ST,CHAMBA,BEAS RIVER REGION,5,75.65,0.94,yes,0,2.17
Himachal_Pradesh,2012,2,12,4,2,4,KISHORI LAL,M,BSP,817,41,ST,48199,63710,BHARMOUR,ST,CHAMBA,BEAS RIVER REGION,5,75.65,1.7,yes,0.75,2.17
Himachal_Pradesh,2012,2,12,4,2,2,JIA LAL,M,BJP,21284,48,ST,48199,63710,BHARMOUR,ST,CHAMBA,BEAS RIVER REGION,5,75.65,44.16,no,42.31,2.17
Himachal_Pradesh,2012,2,12,4,2,3,MAHINDER SINGH,M,IND,893,41,ST,48199,63710,BHARMOUR,ST,CHAMBA,BEAS RIVER REGION,5,75.65,1.85,yes,0.16,2.17
Himachal_Pradesh,2012,2,12,4,2,1,THAKUR SINGH BHARMOURI,M,INC,24751,65,ST,48199,63710,BHARMOUR,ST,CHAMBA,BEAS RIVER REGION,5,75.65,51.35,no,7.19,2.17
Himachal_Pradesh,2012,2,12,4,3,7,C.L.THAKUR,M,IND,354,41,GEN,51022,68283,CHAMBA,GEN,CHAMBA,BEAS RIVER REGION,8,74.72,0.69,yes,0.34,3.12
Himachal_Pradesh,2012,2,12,4,3,6,ANITA THAKUR,F,IND,388,50,ST,51022,68283,CHAMBA,GEN,CHAMBA,BEAS RIVER REGION,8,74.72,0.76,yes,0.07,3.12
Himachal_Pradesh,2012,2,12,4,3,3,RAJ SINGH,M,IND,10813,39,GEN,51022,68283,CHAMBA,GEN,CHAMBA,BEAS RIVER REGION,8,74.72,21.19,no,18.63,3.12
Himachal_Pradesh,2012,2,12,4,3,1,B. K. CHAUHAN,M,BJP,19714,65,GEN,51022,68283,CHAMBA,GEN,CHAMBA,BEAS RIVER REGION,8,74.72,38.64,no,3.79,3.12
Himachal_Pradesh,2012,2,12,4,3,8,RUMESH KUMAR,M,SP,181,37,ST,51022,68283,CHAMBA,GEN,CHAMBA,BEAS RIVER REGION,8,74.72,0.35,yes,0,3.12
